individual	chr19:58306216:58312166:cluster54292	chr19:58306216:58312197:cluster54292	chr19:58312462:58314748:cluster54292	chr19:58312462:58314755:cluster54292
GTEX-R53T	27	0	23	22
GTEX-1IDJD	112	8	151	0
GTEX-1IDJC	44	4	67	0
GTEX-ZYY3	76	4	95	0
GTEX-14JIY	48	4	57	0
GTEX-147F3	31	2	41	0
GTEX-YEC4	56	5	80	0
GTEX-YB5E	54	3	65	0
GTEX-SUCS	55	3	79	0
GTEX-1QW4Y	65	5	93	0
GTEX-1KD4Q	51	4	73	0
GTEX-12WSM	45	3	52	0
GTEX-YF7O	61	4	92	0
GTEX-14PJO	99	9	122	0
GTEX-WHPG	50	5	77	0
GTEX-1KXAM	106	11	149	0
GTEX-13OW5	27	3	41	0
GTEX-ZQG8	82	9	104	0
GTEX-1GN1V	44	5	57	0
GTEX-XBED	34	3	49	0
GTEX-14BMV	39	4	59	0
GTEX-U4B1	49	2	72	0
GTEX-146FR	56	3	66	0
GTEX-1B8KE	31	4	45	0
GTEX-14JG6	47	6	72	0
GTEX-X4XX	63	5	88	0
GTEX-1S5VW	74	7	103	0
GTEX-1C64N	56	6	86	0
GTEX-16YQH	42	2	57	0
GTEX-15SHU	55	4	67	0
GTEX-14753	28	1	41	0
GTEX-11EMC	55	7	79	0
GTEX-15UF7	77	4	97	0
GTEX-113JC	33	4	45	0
GTEX-13RTK	43	5	66	0
GTEX-14PJ4	56	3	75	0
GTEX-1F75B	93	7	110	0
GTEX-1QP6S	32	2	49	0
GTEX-131YS	46	5	68	0
GTEX-14PJN	42	5	69	0
GTEX-1B933	35	4	42	0
GTEX-11VI4	81	6	130	0
GTEX-XUW1	32	2	43	0
GTEX-18A7B	69	4	100	0
GTEX-XBEW	78	8	98	0
GTEX-145LU	35	2	42	0
GTEX-13X6J	48	3	56	0
GTEX-1LNCM	23	3	38	0
GTEX-1KD5A	59	5	79	0
GTEX-1GF9W	38	3	62	0
GTEX-131XG	67	4	88	0
GTEX-1GN1W	50	5	70	0
GTEX-1RAZR	118	12	165	0
GTEX-1211K	51	4	69	0
GTEX-1ICG6	135	13	189	0
GTEX-TMMY	69	8	102	0
GTEX-PLZ5	29	4	44	0
GTEX-1C2JI	49	2	61	0
GTEX-1399T	41	4	57	0
GTEX-13O3Q	34	2	44	0
