individual	chr14:91199905:91204706:cluster9556	chr14:91199905:91215405:cluster9556	chr14:91204825:91215405:cluster9556	chr14:91204867:91215405:cluster9556
GTEX-131XF	130	2	70	43
GTEX-132NY	303	13	268	6
GTEX-14ABY	377	13	311	3
GTEX-UPJH	201	7	195	1
GTEX-11P82	356	8	271	5
GTEX-YEC4	163	8	127	1
GTEX-YB5E	195	5	155	1
GTEX-ZYT6	245	7	222	1
GTEX-1QW4Y	324	14	281	2
GTEX-15EO6	448	22	384	3
GTEX-YF7O	247	6	227	1
GTEX-13X6I	110	2	87	2
GTEX-1CAMR	285	12	241	2
GTEX-1KXAM	215	9	198	1
GTEX-14A6H	143	7	135	1
GTEX-11EQ9	188	4	176	2
GTEX-13W46	200	7	164	1
GTEX-1F88E	292	8	258	2
GTEX-139T4	296	12	295	5
GTEX-1K9T9	220	6	168	2
GTEX-14C38	113	6	97	1
GTEX-XBED	105	3	85	0
GTEX-ZF28	106	2	101	1
GTEX-XPT6	301	8	264	2
GTEX-1F75W	299	16	276	6
GTEX-146FR	191	5	141	2
GTEX-1KANA	271	11	227	2
GTEX-1JN76	209	5	153	2
GTEX-X4XX	258	12	238	2
GTEX-S33H	212	8	172	0
GTEX-13JVG	314	6	257	2
GTEX-1CB4G	279	7	255	2
GTEX-P78B	365	22	326	5
GTEX-13S7M	119	7	98	1
GTEX-1122O	83	4	63	1
GTEX-1LB8K	454	12	378	4
GTEX-15SHU	399	13	329	3
GTEX-T5JW	199	7	183	2
GTEX-13PL6	237	10	227	2
GTEX-13FTX	128	3	104	1
GTEX-14DAR	279	11	211	1
GTEX-11EMC	335	8	313	4
GTEX-1399R	171	4	141	1
GTEX-13CF2	281	9	269	3
GTEX-1QP6S	391	12	313	2
GTEX-131YS	314	14	309	2
GTEX-14PJN	251	6	203	1
GTEX-QV31	84	2	80	1
GTEX-WZTO	551	18	525	3
GTEX-1GZ2Q	418	9	384	5
GTEX-1313W	477	17	361	5
GTEX-1JKYN	107	4	87	0
GTEX-18A7B	306	11	252	3
GTEX-XBEW	403	12	350	8
GTEX-183FY	155	5	136	1
GTEX-111FC	313	10	264	4
GTEX-1NUQO	244	9	219	0
GTEX-ZUA1	431	18	355	2
GTEX-1GF9W	266	11	194	2
GTEX-13FTZ	270	15	257	4
GTEX-1LGOU	308	16	277	3
GTEX-1L5NE	163	5	137	2
