individual	chr8:66454157:66456817:cluster47968	chr8:66454157:66457070:cluster47968	chr8:66456895:66457070:cluster47968	chr8:66456895:66460308:cluster47968	chr8:66457166:66459452:cluster47968	chr8:66457166:66459902:cluster47968	chr8:66457166:66460308:cluster47968	chr8:66460094:66460308:cluster47968
GTEX-15CHC	69	2	69	0	24	2	73	7
GTEX-1IDJD	75	2	71	0	0	1	64	0
GTEX-1IDJC	167	3	166	0	2	8	193	2
GTEX-14ABY	170	3	167	4	0	2	165	0
GTEX-147F3	72	3	72	0	1	1	80	2
GTEX-1KD4Q	132	6	129	0	0	0	146	0
GTEX-YF7O	104	3	132	0	0	1	133	2
GTEX-1QMI2	199	4	215	1	0	1	225	2
GTEX-13X6I	58	3	42	0	0	2	63	2
GTEX-WHPG	116	0	93	1	0	1	132	3
GTEX-1KXAM	199	8	183	0	0	4	207	4
GTEX-13OVJ	121	5	103	2	0	2	124	2
GTEX-13W46	96	8	103	0	0	3	127	0
GTEX-13OW5	89	3	79	0	0	0	87	0
GTEX-ZQG8	171	2	180	0	0	1	195	4
GTEX-1K9T9	60	2	53	1	0	0	66	0
GTEX-1C475	111	2	108	0	0	2	118	0
GTEX-14BMV	189	5	170	1	0	0	220	1
GTEX-1F75W	67	5	79	0	0	3	99	0
GTEX-1KANA	95	3	76	0	0	0	98	0
GTEX-R55D	125	3	120	0	0	5	138	0
GTEX-X4XX	135	8	133	0	1	0	167	0
GTEX-1RQEC	255	9	235	0	1	0	292	0
GTEX-1C64N	151	7	154	0	0	1	195	3
GTEX-1122O	78	0	65	0	0	2	75	0
GTEX-ZAB5	58	2	64	0	0	2	87	0
GTEX-1LB8K	152	2	133	2	0	0	162	3
GTEX-15SHU	177	8	183	0	0	1	229	0
GTEX-T5JW	123	4	98	0	0	1	151	1
GTEX-TMZS	62	4	63	2	0	3	76	0
GTEX-14753	107	2	99	0	1	5	95	2
GTEX-13FTX	153	6	133	0	0	4	171	0
GTEX-14DAR	111	2	102	1	0	1	112	2
GTEX-RWS6	266	4	215	0	0	3	291	4
GTEX-ZDXO	76	5	76	1	0	0	79	1
GTEX-1PPGY	148	2	156	0	0	2	190	0
GTEX-1A32A	133	2	132	0	0	2	157	0
GTEX-11NUK	128	5	120	0	0	2	146	0
GTEX-131YS	194	9	196	0	0	0	204	0
GTEX-14PJN	106	1	86	2	0	5	110	3
GTEX-12696	49	1	48	0	0	3	51	1
GTEX-XQ8I	49	3	59	0	1	1	63	0
GTEX-13W3W	64	3	78	1	0	2	92	0
GTEX-1AX9K	131	3	110	1	1	3	121	3
GTEX-1313W	322	12	329	0	0	2	359	3
GTEX-1GMR3	160	10	159	0	0	0	161	2
GTEX-18A7B	120	2	142	1	1	0	152	4
GTEX-145LU	265	9	277	0	0	0	302	1
GTEX-1LNCM	111	8	110	0	0	2	126	0
GTEX-1KD5A	374	15	356	0	0	4	427	2
GTEX-1LSNL	131	7	113	0	0	0	138	0
GTEX-ZDYS	58	4	49	2	0	1	58	1
GTEX-1GF9W	52	2	40	0	0	3	56	2
GTEX-18A6Q	206	5	195	2	0	0	217	1
GTEX-13FTZ	102	1	101	3	0	0	123	2
GTEX-1LGOU	153	9	155	0	0	0	185	0
GTEX-1L5NE	62	0	53	0	0	0	72	1
GTEX-1MCYP	94	4	96	0	0	4	92	2
GTEX-13FTY	174	9	162	0	0	0	203	0
GTEX-15ETS	144	4	152	2	0	7	142	5
