individual	chr11:72109928:72110088:cluster46897	chr11:72109928:72110097:cluster46897
GTEX-QDT8	167	21
GTEX-1IDJD	208	0
GTEX-1IDJC	149	0
GTEX-132NY	259	0
GTEX-13OVL	231	0
GTEX-139TU	388	0
GTEX-11P82	270	0
GTEX-QEG4	81	0
GTEX-14JIY	302	0
GTEX-R55E	152	0
GTEX-YEC4	195	0
GTEX-YB5E	132	0
GTEX-SUCS	192	0
GTEX-ZYT6	195	0
GTEX-1QW4Y	303	0
GTEX-Y8E4	240	0
GTEX-1KD4Q	220	0
GTEX-12WSM	218	0
GTEX-15EO6	229	0
GTEX-YF7O	158	0
GTEX-1QMI2	195	0
GTEX-13X6I	93	0
GTEX-14PJO	132	0
GTEX-WHPG	174	0
GTEX-1CAMR	143	0
GTEX-1AX8Z	172	0
GTEX-1KXAM	173	0
GTEX-14A6H	140	0
GTEX-13PL7	147	0
GTEX-13OVJ	95	0
GTEX-13W46	187	0
GTEX-13OW5	184	0
GTEX-16MTA	144	0
GTEX-ZQG8	282	0
GTEX-1F88E	134	0
GTEX-U3ZG	140	0
GTEX-139T4	175	0
GTEX-1K9T9	189	0
GTEX-13NZA	216	0
GTEX-1GN1V	230	0
GTEX-14C38	174	0
GTEX-1C475	201	0
GTEX-XBED	96	0
GTEX-ZF28	158	0
GTEX-14BMV	210	0
GTEX-XPT6	229	0
GTEX-U4B1	57	0
GTEX-1F75W	238	0
GTEX-146FR	193	0
GTEX-1AX9I	183	0
GTEX-17F96	427	0
GTEX-1B8KE	55	0
GTEX-ZVT2	123	0
GTEX-14JG6	156	0
GTEX-1KANA	299	0
GTEX-R55D	153	0
GTEX-1JN76	126	0
GTEX-X4XX	187	0
GTEX-1RQEC	300	0
GTEX-Y5V5	323	0
GTEX-1S5VW	326	0
GTEX-16YQH	276	0
GTEX-14PQA	96	0
GTEX-S33H	198	0
GTEX-13JVG	153	0
GTEX-ZPIC	80	0
GTEX-1CB4G	168	0
GTEX-SIU8	143	0
GTEX-P78B	135	0
GTEX-13S7M	83	0
GTEX-1122O	107	0
GTEX-ZAB5	100	0
GTEX-1LB8K	271	0
GTEX-15SHU	250	0
GTEX-17MFQ	87	0
GTEX-T5JW	103	0
GTEX-TMZS	129	0
GTEX-1LC47	220	0
GTEX-14753	172	0
GTEX-11DXX	128	0
GTEX-139T6	183	0
GTEX-1MJK3	138	0
GTEX-13PL6	158	0
GTEX-12ZZZ	199	0
GTEX-13FTX	132	0
GTEX-14DAR	208	0
GTEX-15UF6	212	0
GTEX-RWS6	119	0
GTEX-ZDXO	159	0
GTEX-1I6K7	243	0
GTEX-1399R	162	0
GTEX-15UF7	152	0
GTEX-113JC	234	0
GTEX-P4PP	146	0
GTEX-1PPGY	320	0
GTEX-13CF2	190	0
GTEX-13RTK	156	0
GTEX-ZXG5	261	0
GTEX-1CB4H	90	0
GTEX-PWN1	44	0
GTEX-1A32A	139	0
GTEX-14PJ4	140	0
GTEX-1OFPY	98	0
GTEX-1F75B	263	0
GTEX-1QP6S	207	0
GTEX-11NUK	228	0
GTEX-131YS	195	0
GTEX-14PJN	117	0
GTEX-12696	138	0
GTEX-XQ8I	87	0
GTEX-13W3W	222	0
GTEX-QV31	89	0
GTEX-1AX9K	168	0
GTEX-1B933	172	0
GTEX-11VI4	146	0
GTEX-XUW1	79	0
GTEX-WZTO	238	0
GTEX-1GZ2Q	222	0
GTEX-1313W	300	0
GTEX-12ZZY	169	0
GTEX-XQ3S	177	0
GTEX-1GMR3	209	0
GTEX-1C6WA	267	0
GTEX-OIZI	111	0
GTEX-1JKYN	83	0
GTEX-18A7B	261	0
GTEX-XBEW	280	0
GTEX-R53T	149	0
GTEX-183FY	109	0
GTEX-145LU	215	0
GTEX-111FC	222	0
GTEX-13X6J	261	0
GTEX-1LNCM	135	0
GTEX-1KD5A	272	0
GTEX-1LSNL	176	0
GTEX-1S83E	319	0
GTEX-UTHO	108	0
GTEX-ZDYS	130	0
GTEX-ZLV1	183	0
GTEX-1NUQO	227	0
GTEX-OHPN	261	0
GTEX-ZUA1	284	0
GTEX-1GF9W	107	0
GTEX-18A6Q	280	0
GTEX-13FTZ	239	0
GTEX-17EUY	77	0
GTEX-1LGOU	156	0
GTEX-1L5NE	116	0
GTEX-1I4MK	150	0
GTEX-X8HC	164	0
GTEX-169BO	328	0
GTEX-11EM3	182	0
GTEX-1MCYP	116	0
GTEX-131XG	274	0
GTEX-1JMQJ	238	0
GTEX-13FTY	240	0
GTEX-16NPX	150	0
GTEX-15ETS	180	0
GTEX-1PPH7	260	0
GTEX-1212Z	324	0
GTEX-1F5PL	184	0
GTEX-WK11	214	0
GTEX-1GPI7	176	0
GTEX-1GN1W	160	0
GTEX-1RAZR	307	0
GTEX-1S82P	86	0
GTEX-Y8DK	217	0
GTEX-OHPL	210	0
GTEX-1QPFJ	106	0
GTEX-12C56	180	0
GTEX-1211K	131	0
GTEX-TSE9	110	0
GTEX-ZYFG	159	0
GTEX-W5WG	176	0
GTEX-1ICG6	218	0
GTEX-TMMY	130	0
GTEX-1N2DW	209	0
GTEX-PLZ5	119	0
GTEX-SN8G	274	0
