individual	chr1:228368871:228369136:cluster60293	chr1:228368894:228369049:cluster60293	chr1:228368894:228369136:cluster60293	chr1:228368894:228369942:cluster60293	chr1:228369162:228369904:cluster60293	chr1:228369162:228369942:cluster60293
GTEX-1GN1W	2	31	473	428	3	469
GTEX-1IDJC	8	0	1337	0	5	1197
GTEX-13OVL	3	0	660	0	3	596
GTEX-UPJH	3	0	431	0	4	369
GTEX-11P82	7	0	800	0	2	698
GTEX-14JIY	3	0	580	0	3	507
GTEX-R55E	3	0	754	0	5	662
GTEX-147F3	1	0	533	0	1	465
GTEX-YEC4	3	0	868	0	5	793
GTEX-YB5E	2	0	672	0	4	653
GTEX-1KD4Q	3	0	489	0	1	453
GTEX-12WSM	4	0	544	0	3	460
GTEX-13X6I	4	0	428	0	2	361
GTEX-14PJO	1	0	327	0	2	301
GTEX-1CAMR	3	0	677	0	3	612
GTEX-1KXAM	11	0	1401	0	8	1234
GTEX-11EQ9	4	0	882	0	6	762
GTEX-13W46	5	0	806	0	7	725
GTEX-13OW5	2	0	551	0	3	487
GTEX-ZQG8	3	0	982	0	3	880
GTEX-1GN1V	6	0	915	0	6	815
GTEX-1F75W	3	0	392	0	1	370
GTEX-1AX9I	2	0	509	0	3	472
GTEX-17F96	2	0	1103	0	4	968
GTEX-ZVT2	5	0	543	0	3	471
GTEX-14JG6	1	0	557	0	4	508
GTEX-1KANA	1	0	950	0	6	841
GTEX-1JN76	2	0	522	0	5	484
GTEX-1RQEC	4	0	770	0	5	702
GTEX-Y5V5	7	0	848	0	5	761
GTEX-14PQA	1	0	331	0	0	301
GTEX-S33H	5	0	1158	0	5	995
GTEX-SIU8	4	0	536	0	1	509
GTEX-13S7M	3	0	353	0	2	318
GTEX-1122O	4	0	911	0	5	796
GTEX-1LC47	5	0	726	0	2	679
GTEX-1MJK3	3	0	496	0	4	447
GTEX-13PL6	4	0	845	0	5	700
GTEX-12ZZZ	3	0	681	0	4	593
GTEX-13FTX	0	0	383	0	2	342
GTEX-14DAR	4	0	914	0	1	812
GTEX-ZDXO	2	0	352	0	1	323
GTEX-11EMC	4	0	659	0	1	557
GTEX-1399R	2	0	416	0	2	370
GTEX-113JC	4	0	555	0	2	492
GTEX-13RTK	3	0	770	0	7	670
GTEX-ZXG5	4	0	813	0	3	717
GTEX-14PJ4	4	0	685	0	2	624
GTEX-131YS	5	0	857	0	3	747
GTEX-14PJN	3	0	683	0	1	602
GTEX-13W3W	2	0	605	0	4	534
GTEX-1AX9K	3	0	587	0	6	535
GTEX-1B933	1	0	723	0	2	656
GTEX-XUW1	3	0	817	0	2	751
GTEX-1313W	6	0	905	0	1	822
GTEX-XQ3S	2	0	539	0	1	497
GTEX-1GMR3	7	0	890	0	2	767
GTEX-1C6WA	2	0	916	0	2	826
GTEX-OIZI	0	0	424	0	3	373
GTEX-XUZC	1	0	699	0	2	650
GTEX-18A7B	1	0	732	0	3	680
GTEX-XBEW	2	0	1097	0	4	996
GTEX-R53T	2	0	628	0	4	552
GTEX-111FC	3	0	744	0	3	628
GTEX-13X6J	5	0	809	0	4	711
GTEX-1LNCM	3	0	507	0	3	482
GTEX-1KD5A	4	0	1261	0	2	1142
GTEX-UTHO	5	0	633	0	1	562
GTEX-ZLV1	3	0	834	0	6	754
GTEX-ZUA1	3	0	727	0	5	645
GTEX-1GF9W	2	0	344	0	0	302
GTEX-17EUY	2	0	771	0	6	714
GTEX-1I4MK	9	0	1362	0	6	1189
GTEX-1MCYP	3	0	1295	0	7	1157
GTEX-16NPX	3	0	672	0	2	635
GTEX-15ETS	3	0	1671	0	9	1522
GTEX-1PPH7	2	0	1069	0	3	923
GTEX-1F5PL	1	0	747	0	3	694
GTEX-WK11	4	0	1130	0	7	1021
GTEX-Y8DK	5	0	954	0	4	874
GTEX-OHPL	3	0	982	0	6	942
GTEX-1QPFJ	5	0	1001	0	5	884
GTEX-TSE9	2	0	372	0	0	319
GTEX-ZYFG	5	0	734	0	1	657
GTEX-W5WG	5	0	903	0	4	808
GTEX-1ICG6	3	0	488	0	2	457
GTEX-TMMY	8	0	2574	0	21	2358
GTEX-1N2DW	7	0	1006	0	1	904
GTEX-13O3O	5	0	722	0	6	666
GTEX-1C2JI	7	0	970	0	8	845
GTEX-18D9A	4	0	1426	0	12	1276
GTEX-ZV6S	2	0	902	0	4	768
GTEX-WEY5	5	0	1216	0	10	1077
GTEX-14BMU	1	0	815	0	4	693
GTEX-1399T	3	0	797	0	3	729
GTEX-11ZUS	3	0	629	0	1	560
GTEX-1B97J	2	0	1647	0	11	1465
GTEX-1F75A	4	0	664	0	5	598
GTEX-139UW	4	0	644	0	2	621
GTEX-13N2G	7	0	1464	0	10	1307
GTEX-13QBU	2	0	491	0	4	434
GTEX-13U4I	2	0	627	0	1	541
GTEX-13G51	2	0	408	0	1	352
GTEX-WYJK	5	0	1706	0	9	1642
GTEX-ZDTS	2	0	502	0	1	437
GTEX-R3RS	3	0	754	0	4	731
GTEX-1A3MX	4	0	665	0	2	595
GTEX-XOT4	4	0	953	0	3	860
GTEX-1IDFM	2	0	791	0	1	694
GTEX-17GQL	7	0	997	0	2	910
GTEX-1FIGZ	3	0	765	0	5	670
GTEX-15RIG	2	0	663	0	3	611
GTEX-WRHK	7	0	1367	0	10	1272
GTEX-QEG5	1	0	478	0	3	437
GTEX-17HII	0	0	330	0	2	297
GTEX-1E1VI	2	0	613	0	1	543
GTEX-11ZVC	6	0	706	0	2	608
GTEX-13RTL	7	0	1042	0	5	937
GTEX-1JMQI	1	0	274	0	2	256
GTEX-1R46S	0	0	356	0	2	311
GTEX-ZV68	5	0	1143	0	1	1008
GTEX-1P4AB	2	0	507	0	1	461
GTEX-17EVQ	2	0	551	0	5	498
GTEX-ZF3C	1	0	617	0	2	533
GTEX-Y111	5	0	906	0	5	826
GTEX-1GMRU	7	0	856	0	5	740
GTEX-1269C	4	0	742	0	3	623
GTEX-O5YT	6	0	1162	0	7	1081
GTEX-1R9PM	1	0	648	0	4	574
GTEX-18D9U	5	0	1069	0	10	954
GTEX-1LSNM	6	0	1440	0	10	1280
GTEX-1MUQO	4	0	805	0	6	720
GTEX-1RAZA	8	0	1281	0	7	1180
GTEX-13OVH	6	0	605	0	4	547
GTEX-1EU9M	2	0	761	0	4	661
GTEX-U3ZN	11	0	1454	0	6	1315
GTEX-11ZTS	4	0	669	0	2	575
GTEX-WYVS	5	0	1015	0	5	993
GTEX-16BQI	7	0	1210	0	6	1081
GTEX-117YW	4	0	694	0	2	609
GTEX-16MT8	5	0	956	0	7	836
GTEX-1F7RK	6	0	638	0	3	570
GTEX-YJ8O	1	0	581	0	2	520
GTEX-OOBK	3	0	719	0	2	663
GTEX-1QEPI	6	0	713	0	3	658
GTEX-ZC5H	4	0	692	0	2	585
GTEX-1EWIQ	1	0	584	0	4	508
GTEX-Y5LM	0	0	201	0	1	189
GTEX-1A8FM	3	0	627	0	2	567
GTEX-1JN6P	2	0	639	0	3	602
GTEX-P4PQ	3	0	774	0	3	728
GTEX-1AMEY	10	0	1740	0	9	1623
GTEX-11LCK	2	0	576	0	5	515
GTEX-RTLS	2	0	608	0	5	534
GTEX-14E6D	3	0	793	0	5	670
GTEX-XBEC	4	0	406	0	2	352
GTEX-1QAET	2	0	466	0	0	427
GTEX-15CHC	4	0	768	0	2	699
GTEX-13O21	0	0	469	0	3	413
GTEX-13PVR	1	0	476	0	1	413
GTEX-1314G	4	0	1666	0	4	1461
GTEX-PLZ6	2	0	417	0	0	362
GTEX-1399U	3	0	924	0	8	832
GTEX-ZE7O	1	0	337	0	0	309
GTEX-1PDJ9	5	0	676	0	2	621
GTEX-QVUS	0	0	439	0	3	387
GTEX-15CHR	4	0	666	0	3	610
GTEX-132Q8	3	0	798	0	2	718
GTEX-13112	2	0	584	0	3	490
GTEX-18A7A	3	0	935	0	2	861
GTEX-ZAK1	4	0	674	0	2	641
GTEX-1PBJJ	3	0	654	0	5	548
GTEX-R55G	0	0	169	0	0	149
GTEX-145MH	3	0	671	0	4	588
GTEX-1E2YA	4	0	668	0	2	611
GTEX-16XZY	2	0	404	0	1	382
GTEX-11GSP	2	0	591	0	1	519
GTEX-12WSG	5	0	611	0	4	548
GTEX-12WSJ	4	0	493	0	2	428
GTEX-1A3MV	2	0	1126	0	7	1012
GTEX-1LVAM	8	0	1219	0	4	1050
GTEX-14PJ5	3	0	1131	0	9	1039
GTEX-133LE	2	0	719	0	1	633
GTEX-1K2DU	5	0	994	0	2	882
GTEX-14PII	2	0	641	0	6	553
GTEX-15ER7	4	0	1840	0	6	1691
GTEX-17HHE	5	0	1001	1	5	910
GTEX-WOFM	7	0	1072	0	10	995
GTEX-15SHV	6	0	830	0	4	763
GTEX-1128S	3	0	813	0	2	732
GTEX-1QP66	4	0	967	0	2	881
GTEX-1GZHY	5	0	946	0	2	823
GTEX-15SB6	4	0	1537	0	11	1393
GTEX-144GL	3	0	628	0	1	536
GTEX-13RTJ	1	0	379	0	2	356
GTEX-14PJ6	3	0	965	0	2	883
GTEX-1MCQQ	2	0	567	0	5	528
GTEX-1GF9U	2	0	767	0	3	675
GTEX-1CB4E	2	0	707	0	5	685
GTEX-139YR	3	0	589	0	4	496
GTEX-ZVZP	4	0	933	0	4	850
GTEX-11ONC	6	0	752	0	2	654
GTEX-11ZTT	5	0	1260	0	5	1077
GTEX-1GMR8	5	0	911	0	2	825
GTEX-1GN1U	2	0	423	0	3	347
GTEX-111YS	7	0	951	0	6	820
GTEX-14H4A	2	0	580	0	2	527
GTEX-14PK6	2	0	860	0	4	757
