individual	chr11:74006379:74006917:cluster66020	chr11:74006379:74006929:cluster66020	chr11:74006379:74008978:cluster66020	chr11:74006933:74008978:cluster66020	chr11:74007137:74008978:cluster66020
GTEX-15RIF	1146	139	115	0	1000
GTEX-1IDJD	367	1	0	2	286
GTEX-132NY	216	0	0	1	169
GTEX-UPJH	563	0	0	2	422
GTEX-11P82	353	0	0	1	279
GTEX-14JIY	195	0	0	1	156
GTEX-147F3	477	0	0	0	367
GTEX-YB5E	942	1	0	5	754
GTEX-1QW4Y	1635	2	0	0	1289
GTEX-1KD4Q	150	0	0	0	108
GTEX-12WSM	209	0	0	0	166
GTEX-15EO6	936	0	0	4	765
GTEX-13X6I	261	0	0	0	197
GTEX-1KXAM	562	0	0	1	455
GTEX-13PL7	143	0	0	0	116
GTEX-13W46	642	0	0	3	506
GTEX-13OW5	441	0	0	2	358
GTEX-U3ZG	156	0	0	0	117
GTEX-139T4	8	0	0	0	4
GTEX-13NZA	181	0	0	0	142
GTEX-1C475	905	0	1	2	697
GTEX-XBED	127	0	0	0	96
GTEX-14BMV	76	0	0	0	61
GTEX-XPT6	740	1	0	4	577
GTEX-U4B1	890	2	0	0	679
GTEX-1F75W	186	0	0	1	134
GTEX-146FR	607	0	0	1	495
GTEX-1AX9I	361	0	0	1	280
GTEX-1JN76	616	2	0	1	476
GTEX-1RQEC	311	0	0	0	252
GTEX-16YQH	130	0	0	0	107
GTEX-14PQA	1007	1	0	1	762
GTEX-13JVG	453	0	0	1	331
GTEX-SIU8	45	0	0	0	30
GTEX-P78B	773	2	1	2	592
GTEX-13S7M	54	0	0	0	48
GTEX-1122O	587	2	0	3	474
GTEX-ZAB5	726	2	0	2	603
GTEX-11DXX	978	1	0	5	798
GTEX-1MJK3	1204	1	0	2	938
GTEX-12ZZZ	95	0	0	0	85
GTEX-14DAR	346	0	0	1	274
GTEX-15UF6	1211	1	0	6	983
GTEX-131XW	188	0	0	1	149
GTEX-11EMC	568	0	0	1	450
GTEX-1399R	502	0	0	0	397
GTEX-15UF7	1100	0	0	4	818
GTEX-P4PP	35	0	0	0	29
GTEX-1PPGY	652	2	0	1	518
GTEX-13CF2	110	0	0	0	86
GTEX-PWN1	293	1	0	1	234
GTEX-1A32A	315	0	0	0	250
GTEX-14PJ4	1723	4	0	4	1323
GTEX-1QP6S	373	0	0	1	288
GTEX-14PJN	280	1	0	1	201
GTEX-QV31	185	0	0	0	150
GTEX-1AX9K	235	0	0	0	186
GTEX-1B933	165	0	0	0	121
GTEX-1313W	158	0	0	1	128
GTEX-XQ3S	461	0	0	1	354
GTEX-1GMR3	524	0	0	1	392
GTEX-18A7B	954	1	1	1	734
GTEX-183FY	1225	4	0	3	993
GTEX-1KD5A	1030	2	0	3	828
GTEX-ZDYS	123	0	0	0	95
GTEX-1GF9W	609	0	0	2	453
GTEX-18A6Q	191	0	0	0	142
GTEX-13FTY	173	0	0	1	131
GTEX-1212Z	665	0	0	2	542
GTEX-WK11	354	0	0	0	276
GTEX-1GPI7	1165	1	1	4	988
GTEX-1GN1W	262	0	0	1	218
GTEX-Y8DK	187	0	0	1	152
GTEX-OHPL	215	0	0	1	181
GTEX-TSE9	1173	1	0	3	909
GTEX-W5WG	79	0	0	0	57
GTEX-1N2DW	80	0	0	0	71
GTEX-QEL4	347	0	0	1	264
GTEX-T5JC	238	0	0	1	191
GTEX-14BMU	901	2	0	2	760
GTEX-1399T	173	0	0	0	145
GTEX-1F75A	245	0	0	0	190
GTEX-13N2G	1311	0	0	3	991
GTEX-146FQ	274	0	0	0	210
GTEX-13QBU	934	1	0	3	712
GTEX-XGQ4	430	1	0	1	316
GTEX-13G51	86	0	0	0	64
GTEX-1A3MX	1785	2	0	5	1322
GTEX-XOT4	263	0	0	1	198
GTEX-1IDFM	66	0	0	0	50
GTEX-17GQL	916	0	0	2	748
GTEX-WRHK	1477	4	1	3	1185
GTEX-1C6VR	271	0	0	1	225
GTEX-13FH7	156	0	0	0	125
GTEX-Y3I4	232	0	0	0	186
GTEX-1269C	270	0	0	0	211
GTEX-1AMFI	1130	1	0	6	877
GTEX-18D9U	475	1	0	1	409
GTEX-1192X	1009	2	0	2	757
GTEX-1MUQO	1262	1	1	2	1017
GTEX-11ZTS	83	0	0	0	72
GTEX-111VG	199	0	0	0	167
GTEX-1F6IF	44	0	0	0	34
GTEX-1AX9J	1181	2	0	3	874
GTEX-1F7RK	90	0	0	0	70
GTEX-YJ8O	77	0	0	0	59
GTEX-1QEPI	336	0	0	0	251
GTEX-15CHQ	92	0	0	0	62
