individual	chr7:128849517:128850384:cluster14560	chr7:128849543:128850384:cluster14560	chr7:128849578:128849976:cluster14560	chr7:128849578:128850384:cluster14560	chr7:128849578:128850803:cluster14560	chr7:128850074:128850384:cluster14560	chr7:128850483:128850803:cluster14560
GTEX-13VXU	50	116	31	1371	0	27	1938
GTEX-1IDJD	0	1	195	11328	0	202	13469
GTEX-1IDJC	0	2	74	4030	0	78	4914
GTEX-13OVL	0	3	37	1769	0	43	2320
GTEX-QEG4	0	1	29	1505	0	29	1971
GTEX-YEC4	0	0	31	1820	0	27	2277
GTEX-YB5E	0	0	52	3293	1	46	3921
GTEX-ZYT6	0	0	47	1820	0	51	2287
GTEX-1QW4Y	0	0	49	2490	0	75	2980
GTEX-1KD4Q	0	1	60	4607	0	93	5459
GTEX-15EO6	0	0	49	2411	0	61	3103
GTEX-13X6I	0	0	31	1133	0	29	1333
GTEX-14A6H	0	0	22	1497	0	23	1764
GTEX-13PL7	0	0	26	1278	0	25	1643
GTEX-11EQ9	2	0	60	3996	0	80	4774
GTEX-13W46	0	0	25	1731	0	27	1998
GTEX-ZQG8	0	1	43	2154	0	57	2458
GTEX-1F88E	0	0	15	600	0	13	667
GTEX-1K9T9	0	0	30	1465	0	28	1746
GTEX-14C38	0	0	77	4500	0	78	5606
GTEX-1C475	0	1	61	2784	0	77	3303
GTEX-ZF28	0	0	26	1165	0	31	1403
GTEX-XPT6	0	1	40	2172	0	42	2416
GTEX-1AX9I	0	2	28	1533	0	41	1917
GTEX-14JG6	0	0	47	2216	0	37	2935
GTEX-R55D	0	1	72	3673	0	81	4182
GTEX-1JN76	0	1	19	2038	0	39	2548
GTEX-Y5V5	0	0	52	2083	1	59	2593
GTEX-1C64N	0	1	39	1592	0	49	1937
GTEX-16YQH	0	1	22	1386	0	34	1695
GTEX-S33H	0	1	39	3452	0	70	4098
GTEX-ZPIC	0	1	35	1594	0	36	1876
GTEX-1CB4G	0	0	40	1552	0	36	2049
GTEX-P78B	0	0	38	1748	0	49	2200
GTEX-13S7M	0	1	11	662	0	18	840
GTEX-1122O	0	0	21	1315	0	14	1589
GTEX-1LB8K	0	0	33	1797	0	35	2207
GTEX-17MFQ	0	0	23	1533	0	30	1811
GTEX-11TTK	0	1	41	2178	0	59	2485
GTEX-TMZS	0	0	9	450	0	12	539
GTEX-1LC47	0	1	92	7256	0	128	8546
GTEX-11DXX	0	0	76	4419	0	73	5273
GTEX-139T6	0	1	46	3060	1	46	3643
GTEX-13PL6	0	0	52	1825	0	50	2353
GTEX-14DAR	0	0	33	1874	0	36	2345
GTEX-15UF6	0	0	19	902	0	23	1081
GTEX-RWS6	0	1	32	1985	0	28	2353
GTEX-1I6K7	0	3	116	5399	0	94	6645
GTEX-1399R	0	0	48	2231	0	70	2674
GTEX-113JC	0	0	31	1284	0	40	1631
GTEX-1PPGY	0	2	57	2922	0	70	3377
GTEX-ZXG5	0	0	34	1281	0	36	1588
GTEX-14PJ4	0	2	43	2749	0	46	3462
GTEX-1QP6S	0	0	38	2253	2	58	2594
GTEX-131YS	0	0	53	2380	0	52	2818
GTEX-14PJN	0	0	37	1633	0	33	1984
GTEX-147F4	0	0	22	1616	0	23	2044
GTEX-QV31	0	0	39	1377	0	33	1698
GTEX-1AX9K	0	1	48	2213	0	33	2571
GTEX-1B933	0	0	48	2173	0	61	2613
GTEX-11VI4	0	0	52	3155	0	66	3733
GTEX-XUW1	0	0	43	1809	0	42	2142
GTEX-1313W	0	0	87	3101	0	81	3917
GTEX-12ZZY	0	0	30	1330	0	28	1751
GTEX-1GMR3	0	0	53	2366	0	66	2959
GTEX-1C6WA	0	0	44	2099	0	46	2405
GTEX-183FY	0	1	50	2781	0	34	3348
GTEX-13X6J	0	0	31	1234	0	35	1608
GTEX-ZDYS	0	1	36	1955	0	33	2236
GTEX-ZLV1	0	0	75	3769	2	64	4310
GTEX-OHPN	0	0	17	788	0	12	1027
GTEX-18A6Q	0	0	40	2293	0	52	2913
GTEX-1I4MK	0	0	82	5296	0	108	6425
GTEX-X8HC	0	0	25	1646	0	20	1930
GTEX-169BO	0	0	33	1191	0	31	1432
GTEX-11EM3	0	0	29	2062	0	32	2598
GTEX-16NPX	0	0	45	2438	0	64	3025
GTEX-15ETS	0	0	52	3903	0	78	4854
GTEX-1PPH7	0	0	67	3225	1	74	3919
GTEX-1212Z	0	2	44	2375	0	54	3054
GTEX-1F5PL	0	1	37	2693	0	45	3371
GTEX-1GN1W	0	1	67	3042	0	63	3736
GTEX-1S82P	0	0	39	2883	0	57	3431
GTEX-OHPL	0	2	68	3477	2	58	4078
GTEX-1QPFJ	0	0	24	1503	0	23	1752
GTEX-TSE9	0	0	25	1768	0	23	2169
GTEX-ZYFG	0	0	33	2099	0	35	2702
GTEX-1ICG6	0	0	39	1703	0	37	2234
GTEX-1C2JI	1	0	49	2453	0	45	3057
GTEX-1K2DA	0	1	82	4638	0	99	5762
GTEX-QEL4	0	0	30	1424	0	28	1663
GTEX-WEY5	0	3	73	3766	0	66	4628
GTEX-1399T	0	0	24	1487	0	44	1789
GTEX-1QP9N	0	0	55	2682	0	63	3070
