individual	chr19:1242609:1244097:cluster9827	chr19:1242609:1244118:cluster9827	chr19:1244185:1244315:cluster9827	chr19:1244185:1244319:cluster9827
GTEX-13QIC	1420	71	1812	5
GTEX-14ABY	2016	0	2480	6
GTEX-13OVL	1684	0	1936	6
GTEX-139TU	1989	0	2346	3
GTEX-ZYY3	1411	0	1659	5
GTEX-UPJH	1426	0	1638	4
GTEX-12WSM	1892	0	2281	3
GTEX-15EO6	2030	0	2320	4
GTEX-1QMI2	2138	0	2440	5
GTEX-14PJO	1614	0	1989	4
GTEX-WHPG	2254	0	2629	8
GTEX-1KXAM	1922	0	2258	3
GTEX-14A6H	937	0	1101	1
GTEX-11EQ9	1088	0	1282	3
GTEX-13W46	1503	0	1850	4
GTEX-1F88E	2598	0	3104	4
GTEX-139T4	1779	0	2138	5
GTEX-13NZA	2029	0	2451	6
GTEX-1GN1V	2169	0	2520	8
GTEX-14C38	1342	0	1636	3
GTEX-XBED	1467	0	1722	6
GTEX-ZF28	877	0	1022	1
GTEX-U4B1	1547	0	1863	4
GTEX-17F96	1615	0	1887	5
GTEX-14JG6	1375	0	1619	3
GTEX-1JN76	1583	0	1873	4
GTEX-Y5V5	1204	0	1386	4
GTEX-1S5VW	3240	0	3890	13
GTEX-1C64N	1939	0	2312	6
GTEX-16YQH	2207	0	2536	5
GTEX-S33H	2296	0	2717	6
GTEX-ZPIC	1222	0	1396	2
GTEX-P78B	1288	0	1513	3
GTEX-ZAB5	1190	0	1395	2
GTEX-1LB8K	2948	0	3541	11
GTEX-1LC47	2093	0	2566	7
GTEX-14753	1949	0	2293	7
GTEX-139T6	1204	0	1476	3
GTEX-1MJK3	1582	0	1813	3
GTEX-14DAR	1336	0	1578	5
GTEX-RWS6	1076	0	1313	2
GTEX-1I6K7	2202	0	2613	5
GTEX-113JC	1278	0	1487	5
GTEX-ZXG5	1346	0	1604	3
GTEX-1CB4H	977	0	1160	3
GTEX-1A32A	1409	0	1639	2
GTEX-1C6VQ	1762	0	2087	4
GTEX-14PJ4	1163	0	1344	5
GTEX-1QP6S	3005	0	3493	7
GTEX-11NUK	1725	0	2025	4
GTEX-14PJN	963	0	1158	1
GTEX-XUW1	1194	0	1364	3
GTEX-WZTO	2637	0	3170	8
GTEX-1313W	3157	0	3669	7
GTEX-1C6WA	2980	0	3572	9
GTEX-XUZC	1916	0	2360	6
GTEX-1LNCM	1615	0	1932	2
GTEX-1KD5A	2882	0	3440	9
GTEX-ZLV1	1904	0	2172	6
GTEX-1NUQO	2492	0	2867	6
GTEX-OHPN	3298	0	3824	5
GTEX-18A6Q	3157	0	3597	7
GTEX-17EUY	1169	0	1335	3
GTEX-1LGOU	3246	0	3894	7
GTEX-X8HC	1244	0	1430	4
GTEX-169BO	2542	0	3108	6
GTEX-11EM3	1228	0	1488	5
GTEX-13FTY	1382	0	1610	3
GTEX-16NPX	1517	0	1829	3
GTEX-15ETS	1926	0	2246	3
GTEX-1PPH7	3031	0	3645	5
GTEX-WK11	2443	0	2981	4
GTEX-1GPI7	1682	0	1986	4
GTEX-1GN1W	2324	0	2704	7
GTEX-1S82P	1545	0	1866	3
GTEX-Y8DK	2945	0	3413	5
GTEX-1211K	1166	0	1346	3
GTEX-ZYFG	1624	0	1997	5
GTEX-T5JC	4183	0	5081	11
GTEX-ZF2S	1720	0	2002	5
GTEX-WEY5	3817	0	4428	8
GTEX-14BMU	1325	0	1600	4
GTEX-11ZUS	1965	0	2273	3
