individual	chr1:100149097:100149366:cluster32121	chr1:100149097:100152385:cluster32121	chr1:100149435:100152385:cluster32121
GTEX-1C4CL	16	220	14
GTEX-14ABY	4	589	6
GTEX-UPJH	1	208	1
GTEX-14JIY	5	837	7
GTEX-147F3	2	188	1
GTEX-1KD4Q	5	634	3
GTEX-15EO6	1	201	1
GTEX-WHPG	3	306	3
GTEX-1AX8Z	3	408	4
GTEX-14A6H	3	375	3
GTEX-11EQ9	1	94	1
GTEX-ZQG8	1	169	1
GTEX-1F88E	1	189	2
GTEX-139T4	1	292	3
GTEX-13NZA	4	609	6
GTEX-1F75W	4	696	5
GTEX-1KANA	1	259	1
GTEX-Y5V5	2	267	1
GTEX-1S5VW	3	631	7
GTEX-1C64N	4	707	5
GTEX-S33H	5	604	6
GTEX-SIU8	3	408	3
GTEX-1122O	0	28	0
GTEX-1LB8K	4	669	5
GTEX-15SHU	1	258	2
GTEX-17MFQ	1	186	1
GTEX-TMZS	2	192	1
GTEX-12ZZZ	5	649	5
GTEX-13FTX	0	37	0
GTEX-15UF7	2	401	3
GTEX-1PPGY	7	748	5
GTEX-1CB4H	0	25	0
GTEX-1QP6S	3	602	7
GTEX-131YS	2	582	5
GTEX-XQ8I	0	27	0
GTEX-1B933	4	834	6
GTEX-XUW1	1	80	1
GTEX-WZTO	4	1062	9
GTEX-1313W	7	1032	11
GTEX-12ZZY	3	530	4
GTEX-1GMR3	2	544	5
GTEX-XBEW	4	401	4
GTEX-145LU	7	913	7
GTEX-111FC	3	450	3
GTEX-1S83E	1	162	1
GTEX-UTHO	1	187	2
GTEX-1NUQO	1	151	1
GTEX-ZUA1	6	709	8
GTEX-1JMQJ	6	698	7
GTEX-13FTY	4	656	6
GTEX-16NPX	2	405	2
GTEX-1212Z	3	639	6
GTEX-12C56	1	217	2
GTEX-PLZ5	2	297	3
GTEX-18D9A	1	125	1
GTEX-U8T8	1	197	1
GTEX-T5JC	9	1116	8
GTEX-1QP9N	3	318	2
GTEX-11ZUS	5	655	4
GTEX-1B97J	2	234	3
GTEX-1F75A	7	1239	7
GTEX-14LZ3	4	462	4
GTEX-WYJK	1	165	1
GTEX-ZDTS	2	398	2
GTEX-11ZVC	3	520	5
GTEX-17HGU	2	225	2
GTEX-11UD2	3	377	2
GTEX-1KWVE	7	890	5
GTEX-Y111	4	535	4
GTEX-1269C	3	497	2
GTEX-U3ZN	12	1254	11
GTEX-11ZTS	2	613	4
GTEX-145MO	1	231	1
GTEX-16BQI	2	231	2
GTEX-Q2AG	1	96	1
GTEX-1F7RK	9	1037	7
GTEX-17KNJ	1	168	1
GTEX-15RIF	1	376	3
GTEX-1GN73	5	1214	9
GTEX-14E6D	4	699	6
GTEX-XBEC	2	312	1
GTEX-YB5K	1	186	1
GTEX-ZE7O	6	915	4
GTEX-13SLW	2	268	2
GTEX-15CHR	1	250	2
GTEX-18A7A	5	686	8
GTEX-ZAK1	2	554	3
GTEX-1GZ4I	2	677	5
GTEX-1QP2A	2	188	2
GTEX-R55G	0	20	0
GTEX-16XZY	2	271	2
GTEX-12WSG	1	356	3
GTEX-12WSJ	0	36	0
GTEX-1LVAM	1	281	2
GTEX-ZAB4	1	327	2
GTEX-15ER7	6	1269	11
GTEX-ZPCL	2	255	1
GTEX-U3ZM	1	163	2
GTEX-13VXU	7	963	6
GTEX-T6MN	1	239	3
GTEX-18465	5	928	6
GTEX-139YR	1	146	1
GTEX-1445S	2	313	1
GTEX-15SKB	2	207	2
GTEX-1BAJH	3	481	3
GTEX-ZVZP	0	32	0
GTEX-WY7C	3	373	4
GTEX-12KS4	1	194	1
GTEX-13111	1	151	1
GTEX-13QJ3	3	342	4
GTEX-13OVK	1	234	2
GTEX-WRHU	7	1100	7
GTEX-YECK	4	1029	6
GTEX-1LG7Y	3	387	4
GTEX-1GN2E	3	634	4
GTEX-1JMQK	0	28	0
GTEX-14E6E	1	170	1
GTEX-1B8SF	7	942	6
GTEX-11P81	1	139	1
GTEX-12WSF	4	507	3
GTEX-1CB4I	1	190	1
GTEX-Q734	1	170	2
GTEX-1B932	2	341	2
GTEX-1EX96	2	376	3
GTEX-14DAQ	6	850	5
GTEX-WL46	6	961	8
GTEX-1GF9V	5	588	6
GTEX-12WSN	1	141	2
GTEX-RUSQ	0	13	0
GTEX-1JKYR	1	336	2
GTEX-Q2AI	0	42	0
GTEX-1477Z	1	156	1
GTEX-14BIM	1	272	2
GTEX-XAJ8	1	208	1
GTEX-13NZB	1	175	1
GTEX-17HHY	3	636	3
GTEX-11GS4	3	646	4
GTEX-1QP67	2	178	1
GTEX-ZVT3	3	356	2
GTEX-OXRN	1	220	2
