individual	chr22:31105692:31105930:cluster11995	chr22:31105692:31107377:cluster11995	chr22:31105965:31107377:cluster11995	chr22:31106115:31107377:cluster11995
GTEX-11DXX	99	92	76	4
GTEX-1IDJD	217	0	226	6
GTEX-132NY	83	0	84	3
GTEX-14ABY	44	0	45	2
GTEX-139TU	69	0	73	3
GTEX-UPJH	121	0	125	4
GTEX-R55E	33	0	41	1
GTEX-147F3	106	0	118	2
GTEX-ZYT6	55	0	58	1
GTEX-1QW4Y	212	0	243	6
GTEX-12WSM	62	0	67	1
GTEX-YF7O	87	0	99	2
GTEX-13X6I	247	0	273	10
GTEX-1KXAM	563	0	648	21
GTEX-14C38	67	0	79	2
GTEX-ZF28	204	0	247	6
GTEX-XPT6	196	0	202	5
GTEX-1F75W	109	0	124	3
GTEX-17F96	327	0	357	10
GTEX-14JG6	127	0	154	3
GTEX-1KANA	98	0	121	4
GTEX-Y5V5	180	0	187	6
GTEX-1LB8K	52	0	58	2
GTEX-T5JW	129	0	150	4
GTEX-1LC47	542	0	622	13
GTEX-12ZZZ	93	0	111	2
GTEX-15UF6	245	0	282	10
GTEX-1399R	47	0	55	1
GTEX-X4XY	119	0	135	4
GTEX-1PPGY	98	0	102	3
GTEX-ZXG5	134	0	160	5
GTEX-1C6VQ	205	0	235	4
GTEX-14PJ4	186	0	193	6
GTEX-12696	126	0	140	5
GTEX-147F4	33	0	35	1
GTEX-XUW1	97	0	121	4
GTEX-WZTO	101	0	124	4
GTEX-12ZZY	55	0	70	2
GTEX-18A7B	276	0	301	10
GTEX-1LNCM	95	0	96	3
GTEX-1KD5A	126	0	139	3
GTEX-1LSNL	42	0	52	2
GTEX-ZUA1	43	0	43	1
GTEX-1LGOU	71	0	87	3
GTEX-13FTY	151	0	165	5
GTEX-15ETS	235	0	257	5
GTEX-1F5PL	183	0	208	6
GTEX-1GN1W	82	0	94	3
GTEX-12C56	135	0	149	5
GTEX-1211K	75	0	91	2
GTEX-TSE9	153	0	177	7
GTEX-ZYFG	78	0	86	3
GTEX-W5WG	95	0	97	2
GTEX-1N2DW	168	0	178	4
GTEX-SN8G	234	0	245	6
GTEX-1K2DA	226	0	243	9
GTEX-1LH75	463	0	519	19
GTEX-ZF2S	155	0	164	6
GTEX-1B97J	452	0	511	12
GTEX-14LZ3	171	0	189	3
GTEX-13QBU	47	0	54	2
GTEX-13U4I	148	0	182	5
GTEX-13G51	55	0	64	1
GTEX-RNOR	51	0	55	1
GTEX-WYJK	464	0	514	12
GTEX-R3RS	158	0	163	4
GTEX-1B97I	93	0	104	2
GTEX-1A3MX	228	0	272	9
GTEX-1FIGZ	61	0	66	2
GTEX-WRHK	239	0	255	5
GTEX-QEG5	75	0	77	2
GTEX-17HII	45	0	53	1
GTEX-15G1A	327	0	356	11
GTEX-ZZ64	137	0	151	6
GTEX-1C6VR	66	0	76	2
GTEX-11OF3	57	0	60	1
GTEX-ZV68	94	0	106	4
GTEX-11UD2	142	0	147	4
GTEX-1KWVE	61	0	68	1
GTEX-17EVQ	352	0	387	7
GTEX-ZF3C	184	0	198	7
GTEX-18A67	194	0	210	5
GTEX-1GMRU	97	0	115	2
GTEX-1A3MW	175	0	183	5
GTEX-X261	148	0	166	4
GTEX-1269C	40	0	37	1
GTEX-1AMFI	226	0	263	7
GTEX-11ZU8	253	0	273	6
GTEX-1MUQO	221	0	252	9
GTEX-1RAZA	291	0	352	8
GTEX-13OVH	185	0	197	5
GTEX-1EU9M	138	0	153	5
GTEX-145MO	158	0	195	6
GTEX-16BQI	120	0	141	3
GTEX-16MT8	470	0	512	11
GTEX-ZWKS	109	0	116	3
GTEX-Q2AG	14	0	16	0
GTEX-1F7RK	59	0	62	2
GTEX-YJ8O	41	0	49	1
GTEX-1QEPI	195	0	205	8
GTEX-1LVAO	444	0	507	16
GTEX-1EWIQ	100	0	107	2
GTEX-Y5LM	160	0	171	5
GTEX-11EI6	166	0	193	5
GTEX-17KNJ	132	0	162	5
GTEX-XPVG	208	0	232	8
GTEX-ZT9X	190	0	214	6
GTEX-P4PQ	120	0	126	4
GTEX-1IDJF	414	0	473	16
GTEX-183WM	341	0	376	9
GTEX-11LCK	65	0	69	1
GTEX-OXRP	20	0	26	1
GTEX-18A66	260	0	277	7
GTEX-XBEC	72	0	78	2
GTEX-1QAET	154	0	168	5
GTEX-15CHC	105	0	113	3
GTEX-1RB15	189	0	228	5
GTEX-13PVR	70	0	75	2
GTEX-ZTPG	135	0	158	4
GTEX-1399U	92	0	101	4
GTEX-ZE7O	217	0	235	8
GTEX-16GPK	49	0	51	1
GTEX-132Q8	433	0	467	9
GTEX-11TT1	16	0	18	1
GTEX-WHSB	294	0	327	12
GTEX-1GZ4I	215	0	226	6
GTEX-1PBJJ	255	0	304	7
GTEX-13OW8	95	0	102	2
GTEX-145MH	43	0	44	1
GTEX-16XZY	104	0	119	2
GTEX-1F52S	250	0	279	11
GTEX-11GSP	50	0	52	1
GTEX-1IDJE	249	0	292	9
GTEX-144GM	201	0	208	5
GTEX-133LE	103	0	126	3
GTEX-X5EB	74	0	80	1
GTEX-15ER7	163	0	195	5
GTEX-13OW6	42	0	53	1
GTEX-17HHE	199	0	209	4
GTEX-1R7EU	213	0	243	5
GTEX-1C4CL	175	0	213	5
GTEX-13VXU	45	0	51	2
GTEX-T6MN	48	0	46	1
GTEX-13PLJ	82	0	90	4
GTEX-1QP66	329	0	356	8
GTEX-1GZHY	52	0	65	1
GTEX-147JS	66	0	78	2
GTEX-144GL	96	0	111	2
GTEX-13RTJ	160	0	177	7
GTEX-R55C	54	0	56	1
GTEX-1MCQQ	111	0	129	3
GTEX-OXRL	156	0	157	5
GTEX-11NSD	120	0	140	3
GTEX-14PJM	48	0	49	2
GTEX-117XS	66	0	76	2
GTEX-1445S	248	0	262	8
GTEX-U8XE	112	0	121	3
GTEX-1BAJH	41	0	48	2
GTEX-11ONC	151	0	163	3
GTEX-14LLW	204	0	219	8
GTEX-1GMR8	168	0	201	6
GTEX-1GPI6	100	0	116	2
GTEX-111YS	51	0	59	2
GTEX-13111	61	0	76	2
GTEX-XMD2	79	0	86	3
GTEX-1B8L1	45	0	52	2
GTEX-13QJ3	284	0	342	10
GTEX-ZA64	168	0	202	6
GTEX-1JJ6O	92	0	112	3
GTEX-13OVK	220	0	252	8
GTEX-WRHU	86	0	88	2
GTEX-13OVG	86	0	91	4
GTEX-WHSE	119	0	131	3
GTEX-OIZF	153	0	160	3
GTEX-1GN2E	42	0	40	1
GTEX-15DZA	175	0	186	6
GTEX-ZGAY	341	0	383	10
GTEX-17EVP	36	0	45	1
GTEX-147GR	62	0	66	1
GTEX-11P81	67	0	76	3
GTEX-1R9K5	688	0	776	17
GTEX-12WSF	116	0	130	4
GTEX-1R9JW	331	0	372	11
GTEX-QESD	20	0	24	1
GTEX-1399S	339	0	358	11
GTEX-11O72	110	0	136	3
GTEX-13X6K	107	0	131	3
GTEX-1A8G7	93	0	102	3
GTEX-QDVJ	102	0	104	2
GTEX-1EX96	79	0	84	3
GTEX-RM2N	67	0	72	1
GTEX-WFG7	35	0	37	1
GTEX-12WSN	36	0	44	1
GTEX-PX3G	145	0	152	4
GTEX-13FHO	94	0	109	2
GTEX-1JKYR	85	0	96	3
GTEX-1477Z	168	0	175	6
GTEX-17F98	124	0	135	3
GTEX-1GTWX	167	0	188	5
GTEX-VJWN	217	0	230	7
GTEX-111CU	55	0	62	1
GTEX-PW2O	35	0	42	1
GTEX-XAJ8	100	0	108	3
GTEX-17F97	204	0	228	8
GTEX-ZVE2	468	0	484	12
GTEX-13PVQ	35	0	36	1
GTEX-Z9EW	107	0	115	2
GTEX-ZVT3	58	0	63	1
