individual	chr3:15724524:15735410:cluster52704	chr3:15724524:15751750:cluster52704	chr3:15735497:15737033:cluster52704	chr3:15735497:15751750:cluster52704	chr3:15737233:15751750:cluster52704	chr3:15737233:15766234:cluster52704	chr3:15751820:15766234:cluster52704
GTEX-16NPX	32	15	32	0	35	0	28
GTEX-1IDJC	71	0	67	9	73	3	51
GTEX-13OVL	29	0	30	3	26	1	18
GTEX-ZYY3	61	0	62	3	67	1	54
GTEX-14JIY	29	0	26	0	34	1	25
GTEX-YEC4	50	0	51	7	42	2	35
GTEX-ZYT6	23	0	27	2	22	1	18
GTEX-YF7O	43	0	44	3	51	1	43
GTEX-14PJO	19	0	22	1	17	1	20
GTEX-WHPG	72	0	79	5	73	3	70
GTEX-1CAMR	58	0	52	6	62	5	57
GTEX-11EQ9	45	0	36	3	48	0	38
GTEX-ZQG8	23	0	34	3	30	1	27
GTEX-1F88E	16	0	20	1	18	0	17
GTEX-1K9T9	10	0	16	1	18	1	9
GTEX-13NZA	19	0	25	1	24	1	13
GTEX-1GN1V	32	0	22	3	29	1	18
GTEX-1C475	85	0	85	5	90	5	56
GTEX-14BMV	16	0	16	1	13	1	13
GTEX-17F96	101	0	91	7	87	5	65
GTEX-ZVT2	48	0	38	4	34	1	33
GTEX-1KANA	64	0	51	5	60	4	49
GTEX-1JN76	48	0	51	3	55	4	52
GTEX-X4XX	61	0	75	4	63	5	57
GTEX-Y5V5	80	0	85	5	91	3	59
GTEX-14PQA	26	0	24	3	27	1	26
GTEX-S33H	63	0	61	7	63	5	51
GTEX-13JVG	27	0	17	2	19	1	21
GTEX-SIU8	35	0	32	4	36	0	25
GTEX-ZAB5	66	0	69	5	63	5	65
GTEX-17MFQ	42	0	36	6	48	2	26
GTEX-1LC47	37	0	36	2	47	1	29
GTEX-14753	33	0	30	4	35	1	34
GTEX-139T6	55	0	44	3	47	0	35
GTEX-12ZZZ	15	0	14	2	14	0	10
GTEX-14DAR	52	0	47	5	54	3	43
GTEX-ZDXO	21	0	22	1	19	2	11
GTEX-131XW	19	0	21	3	24	2	20
GTEX-1399R	52	0	46	5	48	0	32
GTEX-15UF7	93	0	95	13	107	4	83
GTEX-113JC	21	0	25	3	29	0	22
GTEX-P4PP	51	0	43	2	50	3	40
GTEX-ZXG5	34	0	37	5	37	2	22
GTEX-1CB4H	28	0	27	3	31	1	29
GTEX-1C6VQ	33	0	29	3	31	1	32
GTEX-1OFPY	31	0	36	4	37	3	23
GTEX-1F75B	77	0	75	2	75	2	63
GTEX-131YS	29	0	30	2	31	1	21
GTEX-XUW1	36	0	31	5	42	1	27
GTEX-1C6WA	103	0	94	7	103	6	92
GTEX-18A7B	45	0	46	5	37	1	39
GTEX-183FY	49	0	58	5	61	4	54
GTEX-145LU	19	0	22	2	19	0	18
GTEX-13X6J	51	0	39	5	51	0	43
GTEX-1KD5A	24	0	23	2	32	0	17
GTEX-1S83E	80	0	87	9	83	4	75
GTEX-1NUQO	65	0	69	7	70	2	53
GTEX-13FTZ	35	0	31	2	34	2	27
GTEX-1LGOU	51	0	47	4	63	3	35
GTEX-11EM3	42	0	34	5	31	2	27
GTEX-1PPH7	43	0	55	6	57	2	34
GTEX-1212Z	34	0	37	2	33	0	29
GTEX-1F5PL	95	0	94	13	99	1	74
GTEX-1GN1W	99	0	104	14	93	3	71
GTEX-1S82P	22	0	19	2	18	0	22
GTEX-1QPFJ	26	0	21	2	34	1	21
GTEX-1211K	77	0	74	10	72	1	62
GTEX-ZYFG	65	0	68	5	62	1	59
GTEX-13O3O	40	0	37	2	43	0	35
GTEX-1K2DA	169	0	150	21	146	6	138
GTEX-ZV6S	69	0	78	11	84	2	69
GTEX-131XF	39	0	34	2	33	0	34
GTEX-1F75A	44	0	37	1	40	1	34
GTEX-P44G	39	0	40	3	53	2	40
GTEX-14LZ3	25	0	27	5	32	1	23
GTEX-13N2G	55	0	57	4	67	2	42
GTEX-13G51	11	0	10	1	15	0	7
GTEX-1A3MX	74	0	78	7	83	3	69
GTEX-11GSO	31	0	27	0	26	1	23
GTEX-QEG5	52	0	45	3	52	4	42
GTEX-11ZVC	44	0	52	2	55	2	38
GTEX-QV44	74	0	92	8	83	3	61
GTEX-11OF3	36	0	35	6	38	0	30
GTEX-PWCY	63	0	66	5	59	2	53
GTEX-14BIL	26	0	29	1	34	0	21
GTEX-1A3MW	41	0	41	4	34	0	32
GTEX-YEC3	75	0	85	7	73	3	55
GTEX-1R9PN	69	0	81	7	83	4	52
GTEX-1AMFI	81	0	73	9	87	5	56
GTEX-11ZU8	21	0	14	1	23	0	17
GTEX-18D9U	97	0	89	13	80	5	69
GTEX-1LSNM	69	0	82	4	76	5	58
GTEX-WYVS	40	0	45	5	41	2	37
GTEX-16BQI	86	0	80	6	77	0	67
GTEX-117YW	51	0	56	4	55	3	38
GTEX-YJ8O	18	0	11	1	16	0	11
GTEX-OOBK	15	0	17	2	24	0	18
GTEX-1LVAO	18	0	16	0	16	1	9
GTEX-1EWIQ	46	0	49	5	41	0	31
GTEX-11EI6	31	0	35	5	38	2	26
GTEX-15RIF	66	0	53	4	72	2	50
GTEX-1M5QR	75	0	84	10	84	5	58
GTEX-ZT9X	66	0	67	6	88	3	55
GTEX-183WM	13	0	17	2	21	1	15
GTEX-RTLS	37	0	31	6	37	1	31
GTEX-14E6D	39	0	31	2	32	3	26
GTEX-1S82Y	79	0	69	6	70	2	48
GTEX-15CHC	22	0	26	2	17	0	16
GTEX-1QCLZ	47	0	56	3	62	3	37
GTEX-1RB15	24	0	21	1	17	1	20
GTEX-PLZ6	23	0	24	1	26	1	15
GTEX-15CHR	37	0	37	4	36	2	34
GTEX-132Q8	16	0	16	1	16	2	15
GTEX-WHSB	100	0	87	11	89	2	74
GTEX-1GZ4I	34	0	35	3	35	1	26
GTEX-1PBJJ	47	0	42	4	53	3	36
GTEX-16XZY	22	0	21	3	16	0	15
GTEX-13X6H	31	0	29	4	38	2	24
GTEX-11GSP	29	0	27	2	22	0	22
GTEX-12WSG	17	0	14	2	19	0	14
GTEX-1F5PK	75	0	77	8	92	3	65
GTEX-144GM	36	0	48	5	42	3	42
GTEX-16XZZ	65	0	63	3	78	1	59
GTEX-13OW6	19	0	16	0	21	0	17
GTEX-17HHE	64	0	62	7	64	1	61
GTEX-ZPCL	43	0	43	4	36	1	23
GTEX-WOFM	71	0	72	10	66	5	62
GTEX-1A8G6	30	0	40	3	36	2	25
GTEX-WFON	51	0	51	9	62	3	51
GTEX-13VXU	32	0	32	3	32	2	25
GTEX-13PLJ	8	0	6	0	5	0	4
GTEX-14PJ2	51	0	52	7	48	2	46
GTEX-RN64	32	0	26	3	40	2	26
GTEX-1QP66	87	0	82	6	94	2	78
GTEX-13RTJ	65	0	60	8	71	5	43
GTEX-OXRL	47	0	43	4	50	2	39
GTEX-11NSD	29	0	37	2	34	3	28
GTEX-14PJM	28	0	26	4	28	3	24
GTEX-1MA7W	40	0	49	7	40	3	36
GTEX-15SKB	42	0	33	3	51	3	31
GTEX-1BAJH	26	0	23	3	27	0	14
GTEX-11ZTT	40	0	39	3	49	1	34
GTEX-12KS4	33	0	34	4	28	3	28
GTEX-1GMR8	50	0	48	3	46	3	43
GTEX-Z93S	32	0	38	6	38	1	29
GTEX-111YS	68	0	72	6	63	3	57
GTEX-144FL	33	0	40	2	38	0	32
GTEX-11XUK	43	0	35	5	38	1	22
GTEX-13OVK	43	0	34	4	38	1	29
GTEX-Y8LW	60	0	46	3	68	3	46
GTEX-12ZZX	36	0	27	1	34	2	32
GTEX-YECK	6	0	8	0	8	0	7
GTEX-WHSE	34	0	45	2	36	3	36
GTEX-1LG7Y	29	0	29	4	28	0	24
GTEX-1JMQK	32	0	21	2	35	2	23
GTEX-ZGAY	104	0	109	14	99	3	91
GTEX-1B8SF	48	0	41	3	58	3	37
GTEX-13CF3	44	0	43	7	40	2	36
GTEX-1F48J	61	0	70	7	62	2	45
GTEX-16NPV	14	0	11	0	18	1	12
GTEX-1399S	67	0	68	6	61	2	54
GTEX-P4QT	133	1	114	14	144	6	113
GTEX-TKQ2	56	0	55	6	49	4	35
GTEX-14DAQ	52	0	55	3	48	2	43
GTEX-1RAZQ	86	0	76	12	72	3	65
GTEX-PX3G	24	0	19	1	26	2	17
GTEX-17F98	74	0	69	7	87	1	56
GTEX-Y5V6	91	0	79	7	67	5	67
GTEX-111CU	54	0	49	6	42	1	42
GTEX-ZF29	81	0	81	11	71	1	62
GTEX-1CB4J	67	0	70	4	60	3	59
GTEX-17F97	29	0	25	2	22	1	16
GTEX-13PVQ	21	0	29	3	29	1	21
GTEX-XV7Q	30	0	40	2	33	2	31
