individual	chr12:14882280:14882972:cluster30334	chr12:14882280:14884213:cluster30334	chr12:14883047:14884213:cluster30334	chr12:14884245:14885731:cluster30334	chr12:14884245:14885750:cluster30334
GTEX-T8EM	625	0	311	252	170
GTEX-1IDJC	1077	5	858	883	2
GTEX-YEC4	426	1	294	340	0
GTEX-YB5E	519	2	366	420	0
GTEX-1QW4Y	1099	5	835	859	1
GTEX-Y8E4	411	3	315	334	0
GTEX-1AX8Z	242	2	171	201	0
GTEX-1KXAM	323	1	208	229	0
GTEX-13OVJ	450	2	295	333	0
GTEX-13OW5	209	0	154	165	0
GTEX-139T4	3989	12	2761	2980	6
GTEX-14C38	118	1	86	93	0
GTEX-1C475	1041	4	732	821	0
GTEX-ZF28	1318	3	966	929	2
GTEX-14BMV	310	0	215	241	0
GTEX-XPT6	515	1	384	369	0
GTEX-146FR	671	3	478	535	0
GTEX-1B8KE	173	0	121	134	0
GTEX-ZVT2	371	2	278	315	0
GTEX-1KANA	405	3	305	334	0
GTEX-1JN76	175	1	137	122	0
GTEX-1RQEC	809	2	616	616	0
GTEX-1S5VW	423	2	287	289	0
GTEX-14PQA	711	4	530	526	0
GTEX-S33H	805	4	563	612	0
GTEX-1122O	280	0	216	232	0
GTEX-1LB8K	149	0	101	119	0
GTEX-15SHU	447	1	350	353	1
GTEX-TMZS	191	0	142	142	0
GTEX-1LC47	948	0	707	746	1
GTEX-139T6	450	2	331	356	0
GTEX-ZDXO	921	4	641	632	1
GTEX-131XW	234	0	155	176	0
GTEX-1399R	221	0	163	159	0
GTEX-P4PP	773	3	600	641	0
GTEX-13CF2	714	2	487	503	0
GTEX-13RTK	315	0	222	232	1
GTEX-1A32A	1717	8	1171	1219	3
GTEX-1C6VQ	1252	8	901	1009	3
GTEX-1OFPY	1005	4	676	756	1
GTEX-1F75B	577	0	428	460	1
GTEX-1QP6S	323	1	249	236	0
GTEX-1AX9K	328	1	237	258	0
GTEX-1B933	555	1	421	430	0
GTEX-1GZ2Q	430	1	309	338	0
GTEX-12ZZY	352	1	266	287	0
GTEX-1JKYN	40	0	25	30	0
GTEX-XUZC	168	0	118	122	0
GTEX-18A7B	3441	17	2597	2867	3
GTEX-183FY	281	0	193	212	0
GTEX-1KD5A	846	2	579	593	0
GTEX-1S83E	634	1	460	490	0
GTEX-ZDYS	884	3	665	716	1
GTEX-1NUQO	456	1	365	352	1
