individual	chr19:54456245:54456325:cluster11271	chr19:54456245:54456636:cluster11271	chr19:54456465:54456636:cluster11271
GTEX-1EWIQ	141	18	89
GTEX-1IDJD	303	0	184
GTEX-132NY	172	0	106
GTEX-11P82	194	0	123
GTEX-QEG4	64	0	41
GTEX-YEC4	138	0	86
GTEX-ZYT6	112	0	66
GTEX-1QW4Y	197	0	120
GTEX-1KD4Q	181	0	110
GTEX-YF7O	164	0	100
GTEX-14PJO	138	0	88
GTEX-11EQ9	90	0	54
GTEX-13OVJ	149	0	94
GTEX-13OW5	127	0	80
GTEX-ZQG8	214	0	137
GTEX-1F88E	346	0	229
GTEX-U3ZG	301	0	197
GTEX-1GN1V	175	0	114
GTEX-14BMV	94	0	57
GTEX-XPT6	189	0	125
GTEX-ZVT2	113	0	74
GTEX-1KANA	175	0	106
GTEX-Y5V5	235	0	156
GTEX-1C64N	262	0	174
GTEX-16YQH	130	0	80
GTEX-13JVG	258	0	159
GTEX-ZPIC	118	0	73
GTEX-SIU8	160	0	96
GTEX-1122O	168	0	107
GTEX-ZAB5	182	0	112
GTEX-1LC47	467	0	291
GTEX-14753	115	0	76
GTEX-1MJK3	96	0	60
GTEX-12ZZZ	95	0	57
GTEX-13FTX	136	0	81
GTEX-ZDXO	89	0	56
GTEX-1I6K7	149	0	97
GTEX-ZXG5	148	0	89
GTEX-1OFPY	134	0	88
GTEX-1QP6S	193	0	127
GTEX-14PJN	127	0	76
GTEX-XUW1	147	0	91
GTEX-1GZ2Q	200	0	130
GTEX-1313W	139	0	92
GTEX-12ZZY	95	0	60
GTEX-XQ3S	114	0	68
GTEX-1C6WA	216	0	142
GTEX-111FC	147	0	93
GTEX-1KD5A	199	0	130
GTEX-1S83E	191	0	124
GTEX-ZDYS	130	0	84
GTEX-1NUQO	136	0	91
GTEX-18A6Q	132	0	87
GTEX-13FTY	198	0	127
GTEX-16NPX	177	0	108
GTEX-1212Z	162	0	107
GTEX-TSE9	159	0	99
GTEX-1C2JI	126	0	77
GTEX-18D9A	155	0	102
GTEX-U8T8	263	0	163
GTEX-ZF2S	234	0	155
GTEX-13N2G	230	0	152
GTEX-13QBU	153	0	94
GTEX-PLZ4	213	0	134
GTEX-1IDFM	328	0	199
GTEX-11GSO	115	0	71
GTEX-1FIGZ	96	0	64
GTEX-1E1VI	91	0	54
GTEX-1C6VR	145	0	92
GTEX-1R46S	242	0	151
GTEX-1P4AB	173	0	107
GTEX-1M4P7	202	0	130
GTEX-ZF3C	201	0	132
GTEX-Y111	188	0	125
GTEX-14BIL	112	0	67
GTEX-18A67	192	0	119
GTEX-13FH7	130	0	80
GTEX-O5YT	118	0	79
GTEX-1R9PM	144	0	91
GTEX-1LSNM	171	0	108
GTEX-1MUQO	181	0	117
GTEX-15D79	111	0	74
GTEX-1EU9M	205	0	123
GTEX-WYVS	224	0	138
GTEX-13N1W	142	0	87
GTEX-Q2AG	44	0	28
GTEX-1R9K4	212	0	138
GTEX-15CHQ	265	0	162
GTEX-Y9LG	212	0	140
GTEX-Y5LM	47	0	32
GTEX-11EI6	200	0	120
GTEX-QDT8	296	0	192
GTEX-1A8FM	193	0	122
GTEX-15RIF	82	0	48
GTEX-XPVG	277	0	177
GTEX-1JN6P	143	0	88
GTEX-P4PQ	279	0	172
GTEX-1IDJF	263	0	159
GTEX-RTLS	122	0	78
GTEX-OXRP	23	0	15
GTEX-14E6D	118	0	70
GTEX-XBEC	153	0	99
GTEX-1QAET	276	0	175
GTEX-13O21	166	0	101
GTEX-1RB15	112	0	71
GTEX-1PIEJ	129	0	86
GTEX-132Q8	301	0	186
GTEX-WHSB	240	0	149
GTEX-1GZ4I	454	0	275
GTEX-13OW8	126	0	82
GTEX-R55G	44	0	26
GTEX-16XZY	157	0	94
GTEX-144GM	125	0	82
GTEX-1LVAM	169	0	101
GTEX-1R9PO	309	0	201
GTEX-1K2DU	268	0	174
GTEX-ZAB4	260	0	169
GTEX-14PII	186	0	113
GTEX-13OW6	126	0	81
GTEX-WOFM	278	0	176
GTEX-1R7EU	275	0	181
GTEX-1C4CL	94	0	62
GTEX-14PN4	171	0	103
GTEX-13VXU	148	0	98
GTEX-15SHV	168	0	110
GTEX-14PJ2	205	0	134
GTEX-RN64	83	0	49
GTEX-1QP66	522	0	318
GTEX-1JN1M	390	0	242
GTEX-QCQG	267	0	170
GTEX-13RTJ	278	0	181
GTEX-1GF9U	194	0	119
GTEX-OXRL	106	0	68
GTEX-1BAJH	141	0	94
GTEX-WY7C	171	0	104
GTEX-11ZTT	212	0	130
GTEX-1GPI6	128	0	77
GTEX-1GN1U	118	0	76
GTEX-1B8L1	86	0	51
GTEX-1PIIG	135	0	90
GTEX-REY6	122	0	72
GTEX-1JJ6O	271	0	166
GTEX-WRHU	254	0	168
GTEX-13OVG	160	0	96
GTEX-YECK	92	0	56
GTEX-WHSE	192	0	126
GTEX-1GN2E	110	0	70
GTEX-ZZPU	127	0	81
GTEX-13D11	126	0	84
GTEX-ZP4G	201	0	130
GTEX-1R9K5	419	0	257
GTEX-12WSF	112	0	67
GTEX-15DCD	339	0	212
GTEX-SE5C	219	0	146
GTEX-13X6K	263	0	170
GTEX-1B932	261	0	159
GTEX-1EX96	63	0	37
GTEX-ZEX8	196	0	119
GTEX-15RIE	81	0	49
GTEX-13FHO	170	0	101
GTEX-1R7EV	156	0	97
GTEX-1ICLY	199	0	123
GTEX-1JKYR	121	0	77
GTEX-1477Z	255	0	158
GTEX-17F98	121	0	73
GTEX-111CU	167	0	100
GTEX-1CB4J	328	0	201
GTEX-13NZB	109	0	67
GTEX-1QP28	93	0	59
