individual	chr3:81642990:81646392:cluster19163	chr3:81642990:81648856:cluster19163	chr3:81642990:81649796:cluster19163	chr3:81646482:81648856:cluster19163	chr3:81646482:81649796:cluster19163	chr3:81646504:81648856:cluster19163	chr3:81648991:81649796:cluster19163
GTEX-1ICLZ	40	2	8	21	6	0	26
GTEX-1IDJC	429	13	0	414	0	4	442
GTEX-139TU	172	2	0	167	0	1	164
GTEX-YEC4	202	3	0	192	0	1	192
GTEX-1QW4Y	448	9	0	381	0	9	347
GTEX-12WSM	132	1	0	103	0	1	109
GTEX-15EO6	676	27	0	601	0	9	590
GTEX-YF7O	338	12	0	291	0	7	288
GTEX-1QMI2	129	2	0	111	0	0	122
GTEX-WHPG	354	8	0	323	0	2	306
GTEX-1CAMR	981	36	0	913	0	16	856
GTEX-1AX8Z	173	3	0	168	0	4	169
GTEX-14A6H	291	13	0	292	0	3	282
GTEX-13OW5	79	3	0	81	0	1	86
GTEX-16MTA	812	30	0	734	0	1	730
GTEX-1GN1V	105	1	0	84	0	1	86
GTEX-XBED	114	3	0	102	0	1	117
GTEX-146FR	626	13	0	513	0	7	578
GTEX-17F96	826	33	0	790	0	16	849
GTEX-1KANA	877	18	0	818	0	6	723
GTEX-X4XX	155	4	0	129	0	1	131
GTEX-Y5V5	429	11	0	347	0	4	349
GTEX-1C64N	253	5	0	230	0	3	199
GTEX-S33H	258	6	0	245	0	3	254
GTEX-1CB4G	134	2	0	133	0	1	135
GTEX-P78B	516	8	0	466	0	3	454
GTEX-ZAB5	230	4	0	238	0	2	219
GTEX-15SHU	201	3	0	197	0	3	186
GTEX-17MFQ	148	4	0	146	0	1	153
GTEX-T5JW	444	12	0	447	0	7	476
GTEX-1LC47	302	10	0	269	0	7	276
GTEX-11DXX	552	16	0	522	0	8	535
GTEX-139T6	443	10	0	449	0	4	437
GTEX-13PL6	59	1	0	54	0	0	50
GTEX-12ZZZ	172	5	0	148	0	2	169
GTEX-14DAR	610	21	0	568	0	9	571
GTEX-1I6K7	479	12	0	393	0	4	379
GTEX-ZXG5	260	5	0	218	0	1	225
GTEX-1CB4H	140	4	0	112	0	3	138
GTEX-1A32A	116	5	0	96	0	1	100
GTEX-1OFPY	219	8	0	220	0	2	229
GTEX-1F75B	204	10	0	191	0	2	196
GTEX-1QP6S	169	3	0	142	0	0	159
GTEX-147F4	126	2	0	100	0	0	102
GTEX-13W3W	553	11	0	491	0	11	499
GTEX-1AX9K	441	16	0	390	0	5	394
GTEX-11VI4	712	26	0	635	0	5	704
GTEX-1313W	131	5	0	141	0	3	135
