individual	chr12:55688957:55692785:cluster26857	chr12:55688957:55692844:cluster26857	chr12:55688957:55693141:cluster26857	chr12:55692975:55693141:cluster26857	chr12:55692975:55693213:cluster26857	chr12:55692975:55694039:cluster26857
GTEX-ZVE1	0	146	0	155	16	1
GTEX-14ABY	2	359	0	459	0	5
GTEX-13OVL	0	373	0	494	0	4
GTEX-139TU	0	369	0	490	2	3
GTEX-UPJH	0	249	0	280	0	2
GTEX-11P82	1	178	0	235	0	2
GTEX-YEC4	0	317	0	426	0	4
GTEX-SUCS	0	439	0	511	0	4
GTEX-1QW4Y	0	495	0	577	0	3
GTEX-1KD4Q	0	426	0	548	2	6
GTEX-14PJO	0	83	0	98	0	0
GTEX-1CAMR	0	107	0	135	0	0
GTEX-13W46	2	329	1	390	0	3
GTEX-13OW5	0	130	0	165	0	1
GTEX-16MTA	2	473	1	643	0	2
GTEX-ZQG8	3	552	0	705	0	6
GTEX-1F88E	1	325	0	455	1	2
GTEX-U3ZG	0	239	0	303	0	3
GTEX-1K9T9	1	214	0	271	0	2
GTEX-14C38	0	71	0	95	0	1
GTEX-1F75W	1	381	0	494	0	5
GTEX-146FR	0	337	0	412	0	1
GTEX-1KANA	0	490	0	657	1	4
GTEX-1RQEC	0	583	0	763	0	6
GTEX-16YQH	0	560	0	663	0	4
GTEX-SIU8	0	308	1	398	0	5
GTEX-1122O	0	285	0	355	0	4
GTEX-15SHU	1	679	1	833	1	11
GTEX-17MFQ	0	203	1	249	0	1
GTEX-TMZS	0	145	0	157	0	1
GTEX-1LC47	1	422	0	493	0	2
GTEX-14753	1	367	0	502	1	4
GTEX-11DXX	0	319	1	446	0	3
GTEX-12ZZZ	2	474	0	603	1	5
GTEX-15UF6	0	126	0	172	0	1
GTEX-ZDXO	0	418	0	480	1	3
GTEX-131XW	1	236	0	279	1	3
GTEX-1399R	0	82	0	110	0	0
GTEX-X4XY	0	132	0	164	0	0
GTEX-1A32A	0	338	1	473	0	3
GTEX-1C6VQ	0	219	0	251	1	2
GTEX-1QP6S	0	374	0	498	0	4
GTEX-14PJN	0	321	0	409	0	2
GTEX-XQ8I	0	171	0	217	0	0
GTEX-13W3W	0	115	0	155	0	1
GTEX-QV31	0	201	0	227	0	1
GTEX-WZTO	0	368	0	476	0	4
GTEX-1JKYN	0	83	0	92	0	0
GTEX-18A7B	0	412	0	504	2	4
GTEX-183FY	1	364	1	465	1	3
GTEX-145LU	0	314	0	389	0	4
GTEX-13X6J	1	411	0	493	0	4
GTEX-1LSNL	0	369	1	439	0	2
GTEX-1GF9W	0	50	0	67	0	0
GTEX-18A6Q	1	521	0	670	0	5
GTEX-X8HC	0	198	0	238	1	2
GTEX-11EM3	0	297	0	350	1	1
GTEX-16NPX	0	324	0	439	1	2
GTEX-1F5PL	0	339	0	448	0	4
GTEX-1GPI7	0	391	1	507	0	6
GTEX-1GN1W	0	285	0	363	1	1
GTEX-1S82P	0	319	0	406	0	4
GTEX-Y8DK	0	471	0	571	0	3
GTEX-W5WG	0	280	0	351	0	2
GTEX-1C2JI	0	491	1	556	0	4
GTEX-18D9A	2	457	0	545	0	3
GTEX-QEL4	0	102	0	127	0	0
GTEX-WEY5	0	693	3	856	2	9
GTEX-14LZ3	1	416	0	513	0	4
GTEX-13O3Q	0	403	2	478	0	5
GTEX-13N2G	0	625	1	725	0	3
GTEX-146FQ	0	918	0	1148	3	8
GTEX-13QBU	0	260	0	326	1	4
GTEX-XGQ4	1	329	0	397	1	3
GTEX-13G51	1	354	1	419	0	2
GTEX-RNOR	0	436	0	514	2	4
GTEX-R3RS	0	503	1	613	0	3
GTEX-1B97I	0	289	0	329	1	1
GTEX-1A3MX	0	250	0	298	1	2
GTEX-XOT4	0	472	0	599	0	2
GTEX-WRHK	1	831	1	1001	1	2
GTEX-1E1VI	1	360	0	425	0	5
GTEX-13RTL	0	433	0	508	0	2
GTEX-1C6VR	1	359	0	477	0	3
GTEX-11OF3	1	471	1	563	0	8
GTEX-ZV68	0	357	0	470	1	3
GTEX-ZF3C	0	158	0	179	0	1
GTEX-PWCY	0	457	1	608	0	4
GTEX-X261	0	177	0	213	0	0
GTEX-Y3I4	1	423	1	525	1	4
GTEX-1AMFI	1	572	2	654	0	4
GTEX-S32W	0	119	0	153	0	2
GTEX-1LVA9	2	517	0	611	0	4
GTEX-1192X	0	190	0	229	0	0
GTEX-15D79	2	442	1	502	0	3
GTEX-1EU9M	0	551	0	703	2	8
GTEX-11ZTS	0	234	0	322	0	2
GTEX-16BQI	2	633	1	738	1	7
GTEX-1AX9J	0	285	1	367	0	3
GTEX-1F7RK	0	357	1	474	0	2
GTEX-1R9K4	0	682	3	865	1	7
GTEX-OOBK	0	241	0	299	0	1
GTEX-1QEPI	0	664	0	884	1	8
GTEX-ZC5H	0	90	0	116	0	1
GTEX-Y9LG	0	263	1	298	0	3
GTEX-1EWIQ	0	444	1	573	0	5
GTEX-1ICLZ	0	140	0	179	0	0
GTEX-15RIF	2	502	1	586	1	2
GTEX-1M5QR	1	415	1	534	0	5
GTEX-V955	2	502	0	640	0	7
GTEX-1JN6P	0	287	0	394	0	3
GTEX-P4PQ	0	192	0	219	1	2
GTEX-1IDJF	1	616	0	840	1	5
GTEX-11LCK	0	260	1	365	1	3
GTEX-1S82Y	2	934	1	1146	3	8
GTEX-18A66	0	357	0	471	0	5
GTEX-15CHC	0	319	0	390	1	4
GTEX-1RB15	0	337	0	424	1	5
GTEX-1314G	1	505	0	611	0	3
GTEX-YB5K	0	614	3	769	1	8
GTEX-16GPK	1	287	0	387	0	1
GTEX-15CHR	1	449	1	522	0	2
GTEX-ZAK1	1	252	1	314	0	2
GTEX-1QP2A	0	392	1	543	0	3
GTEX-12WSJ	1	211	0	284	0	1
GTEX-1LVAM	0	443	0	558	0	2
GTEX-133LE	0	287	0	336	0	1
GTEX-16XZZ	0	205	0	255	0	3
GTEX-1K2DU	0	157	0	208	0	3
GTEX-14PII	0	460	0	569	0	2
GTEX-13OW6	0	238	0	294	0	4
GTEX-ZPCL	1	436	2	557	0	2
GTEX-1LG7Z	2	546	0	711	0	8
GTEX-U3ZM	0	344	0	390	0	3
GTEX-13PLJ	1	425	0	499	1	7
GTEX-14PJ2	0	162	0	211	0	0
GTEX-1GZHY	1	329	0	443	0	5
GTEX-1JN1M	0	339	0	425	0	5
GTEX-147JS	0	233	1	291	0	3
GTEX-15SB6	1	499	0	639	0	6
GTEX-1MCQQ	1	493	1	610	1	1
GTEX-11NSD	1	215	0	247	0	1
GTEX-14PJM	0	281	0	322	0	2
GTEX-1B8KZ	0	505	0	604	0	4
GTEX-11ONC	0	290	1	381	0	2
GTEX-12WSL	1	380	0	509	0	3
GTEX-1GPI6	0	290	0	397	0	4
GTEX-1GN1U	0	182	1	245	0	2
GTEX-X4EO	0	528	0	618	2	4
GTEX-14PK6	0	180	0	209	0	1
GTEX-XMD2	0	178	0	215	0	2
GTEX-1B8L1	0	213	0	289	1	1
GTEX-14JG1	0	278	0	341	0	3
GTEX-ZA64	0	370	0	455	0	2
GTEX-17JCI	1	395	0	482	1	5
GTEX-WRHU	2	615	0	697	0	6
