individual	chr1:32222630:32224034:cluster41092	chr1:32222630:32228499:cluster41092	chr1:32224475:32226171:cluster41092	chr1:32224475:32228499:cluster41092	chr1:32226283:32228499:cluster41092	chr1:32226320:32226403:cluster41092	chr1:32226320:32228499:cluster41092	chr1:32226530:32228499:cluster41092	chr1:32226530:32228727:cluster41092	chr1:32228609:32228727:cluster41092	chr1:32228816:32229135:cluster41092	chr1:32228816:32230927:cluster41092	chr1:32229208:32230927:cluster41092
GTEX-WYJK	472	4	673	14	9	753	0	779	75	662	947	4	789
GTEX-11P82	574	4	906	3	9	1087	0	1137	0	1370	1288	4	977
GTEX-QEG4	187	0	269	0	1	314	0	315	0	385	314	0	257
GTEX-14JIY	224	2	333	9	2	399	1	461	0	596	482	2	363
GTEX-YEC4	206	3	274	3	2	360	1	395	0	480	385	3	325
GTEX-SUCS	413	4	595	3	3	734	2	722	0	824	698	4	577
GTEX-Y8E4	576	4	780	4	5	934	0	989	0	1218	1083	9	746
GTEX-1KD4Q	270	5	406	9	2	485	2	465	0	523	533	4	411
GTEX-12WSM	178	1	242	4	0	298	0	323	0	395	353	3	268
GTEX-15EO6	475	2	641	8	8	738	3	793	0	951	852	5	632
GTEX-13X6I	260	2	356	2	1	456	0	460	0	550	513	3	422
GTEX-WHPG	392	3	509	4	5	635	2	663	0	803	675	0	604
GTEX-1CAMR	311	1	463	6	0	538	3	524	0	683	642	3	549
GTEX-1AX8Z	490	4	675	8	10	811	0	792	0	929	857	4	615
GTEX-1KXAM	690	7	936	9	14	965	2	1021	0	1318	1179	2	887
GTEX-13PL7	420	7	553	4	0	619	0	718	0	873	715	0	572
GTEX-13OVJ	376	4	600	15	9	671	5	721	0	944	811	3	583
GTEX-13W46	435	8	571	11	1	724	3	707	0	946	820	2	587
GTEX-13OW5	219	2	338	5	0	365	0	439	0	457	419	3	303
GTEX-16MTA	366	4	469	8	0	593	0	656	0	854	730	2	559
GTEX-ZQG8	554	1	703	5	4	788	1	906	0	1153	1012	2	772
GTEX-1K9T9	178	0	281	3	2	284	0	349	0	388	386	0	298
GTEX-1GN1V	285	1	367	2	3	462	0	458	0	533	480	2	412
GTEX-XBED	244	2	344	3	4	452	2	453	0	500	459	2	382
GTEX-14BMV	202	0	317	5	0	356	1	403	0	495	443	1	327
GTEX-XPT6	575	0	766	2	3	845	3	931	0	1171	1027	2	803
GTEX-U4B1	291	2	367	4	3	432	0	493	0	513	455	1	427
GTEX-1F75W	319	3	472	4	3	546	0	548	0	679	629	6	552
GTEX-146FR	439	1	615	4	1	655	3	711	0	896	723	4	537
GTEX-1AX9I	216	2	334	5	1	382	1	424	0	457	408	2	397
GTEX-17F96	811	9	1018	3	0	1169	1	1297	0	1682	1436	6	1044
GTEX-ZVT2	436	4	524	5	3	576	1	677	0	796	694	0	550
GTEX-14JG6	333	4	451	4	2	489	1	535	0	662	540	7	418
GTEX-1RQEC	383	7	555	2	3	544	3	623	0	769	663	2	553
GTEX-Y5V5	525	6	604	11	9	711	0	771	0	995	799	4	621
GTEX-1C64N	554	4	655	9	6	735	4	855	0	1167	994	2	813
GTEX-16YQH	282	1	334	5	4	404	2	410	0	557	541	1	362
GTEX-14PQA	655	7	844	2	8	1011	1	1067	0	1329	1224	0	1020
GTEX-S33H	379	3	517	3	4	613	1	656	0	781	731	3	554
GTEX-P78B	467	1	611	6	3	790	1	773	0	1037	839	0	653
GTEX-13S7M	143	1	205	4	2	219	0	248	0	316	253	2	204
GTEX-1122O	374	6	425	7	2	531	2	583	0	725	538	1	448
GTEX-15SHU	315	2	395	0	2	426	0	533	0	617	514	2	429
GTEX-TMZS	138	0	186	1	1	195	0	234	0	279	227	1	166
GTEX-1LC47	690	8	989	14	12	1093	0	1176	0	1397	1301	0	1079
GTEX-14753	349	1	434	3	7	536	2	543	0	743	618	4	483
GTEX-11DXX	498	0	670	12	6	736	0	835	0	979	796	0	626
GTEX-139T6	374	4	447	11	3	544	0	588	0	704	553	2	469
GTEX-1MJK3	372	0	589	10	3	595	3	664	0	772	734	4	591
GTEX-12ZZZ	185	1	238	3	0	296	0	289	0	383	313	3	251
GTEX-13FTX	300	0	466	6	3	570	0	609	0	662	658	2	506
GTEX-14DAR	305	1	450	4	0	568	2	626	0	757	654	3	496
GTEX-RWS6	257	2	322	6	5	384	0	393	0	437	419	1	372
GTEX-1399R	319	3	449	1	5	574	0	567	0	725	590	3	441
GTEX-15UF7	678	13	901	6	11	972	3	1020	0	1305	1144	1	917
GTEX-13CF2	235	4	315	5	3	341	1	351	0	483	393	1	320
GTEX-13RTK	340	4	393	7	4	506	2	536	0	689	545	1	458
GTEX-1C6VQ	556	2	706	9	5	845	5	865	0	1121	913	3	679
GTEX-1F75B	464	6	528	8	5	672	2	743	0	913	781	2	657
GTEX-1QP6S	283	5	397	1	2	453	0	445	0	550	498	0	456
GTEX-11NUK	271	2	319	6	1	341	0	392	0	522	419	0	316
GTEX-147F4	245	1	337	6	0	399	1	411	0	536	407	1	349
GTEX-13W3W	298	2	386	9	1	502	2	558	0	654	568	2	447
GTEX-1AX9K	273	3	408	1	1	493	1	541	0	595	508	4	448
GTEX-1GZ2Q	242	1	285	2	3	367	3	439	0	458	410	2	360
GTEX-1313W	286	1	394	4	0	513	0	477	0	641	497	1	404
GTEX-1C6WA	303	1	385	0	2	486	2	479	0	615	552	3	408
GTEX-18A7B	458	3	488	4	7	601	1	658	0	839	697	1	546
GTEX-XBEW	649	7	761	8	3	1004	3	1120	0	1256	1087	6	976
GTEX-145LU	275	1	341	6	0	393	1	414	0	587	445	1	343
GTEX-13X6J	299	5	401	6	5	475	0	500	0	576	455	0	376
GTEX-UTHO	355	2	534	9	2	641	1	731	0	857	738	0	606
GTEX-ZDYS	195	0	250	6	2	276	3	297	0	403	350	3	247
GTEX-ZLV1	542	7	727	5	0	891	4	971	0	1115	910	1	711
GTEX-18A6Q	294	2	437	7	2	490	3	482	0	573	520	4	418
GTEX-13FTZ	220	0	331	8	2	367	1	407	0	512	433	1	320
GTEX-17EUY	392	2	525	7	0	672	0	697	0	835	710	6	640
GTEX-1LGOU	383	2	510	4	7	549	0	623	0	702	672	2	571
GTEX-16NPX	319	4	369	1	3	467	0	525	0	663	530	2	462
GTEX-15ETS	583	5	765	8	4	848	3	822	0	975	948	5	801
GTEX-1212Z	389	3	524	4	5	588	1	683	0	775	754	1	543
GTEX-TSE9	358	2	432	5	2	579	1	552	0	691	571	2	420
GTEX-W5WG	348	2	510	4	2	604	0	620	0	814	729	3	523
GTEX-1N2DW	339	1	472	2	5	567	2	566	0	686	648	0	448
GTEX-1C2JI	380	7	472	6	5	550	4	600	0	692	610	1	476
GTEX-1K2DA	872	11	1128	12	4	1308	7	1417	0	1694	1628	5	1371
GTEX-18D9A	515	5	666	14	7	761	4	814	0	992	911	5	675
GTEX-1LH75	294	3	445	5	6	470	3	452	0	585	573	0	441
GTEX-U8T8	320	1	404	11	5	459	0	546	0	675	573	0	509
GTEX-T5JC	294	1	406	5	5	523	0	569	0	708	634	3	499
GTEX-ZF2S	448	0	519	6	1	654	1	679	0	874	771	3	559
GTEX-ZV6S	552	4	678	6	2	817	5	925	0	1095	983	6	748
GTEX-14BMU	420	4	500	7	2	659	0	728	0	838	693	4	519
GTEX-1399T	209	2	261	0	3	354	0	361	0	432	355	1	282
GTEX-1B97J	678	13	794	11	7	962	4	1060	0	1279	1077	4	855
GTEX-131XF	308	1	448	6	2	521	0	536	0	672	601	0	538
GTEX-1F75A	387	0	463	4	1	578	1	620	0	732	665	2	600
GTEX-14LZ3	351	3	490	4	1	586	2	668	0	769	636	1	564
GTEX-139UW	303	0	426	7	5	519	2	553	0	745	576	1	477
GTEX-13N2G	617	5	762	5	3	842	4	917	0	1161	895	1	750
GTEX-146FQ	538	4	713	5	3	811	3	940	0	1209	905	4	747
GTEX-13U4I	359	0	446	8	2	585	1	642	0	731	637	4	500
GTEX-ZDTS	224	3	275	5	2	348	2	357	0	417	325	0	279
GTEX-1B97I	426	3	545	7	3	610	1	611	0	721	608	1	522
GTEX-1A3MX	462	5	619	7	10	690	6	744	0	863	767	5	624
GTEX-XOT4	297	3	397	4	0	524	0	523	0	593	561	4	444
GTEX-11GSO	230	0	323	5	4	386	0	405	0	499	405	2	332
GTEX-WRHK	525	5	707	14	8	862	6	839	0	1026	907	1	753
GTEX-13FTW	278	5	365	4	5	440	0	459	0	637	492	2	367
GTEX-11ZVC	410	2	523	5	5	575	4	642	0	743	628	0	463
GTEX-1339X	533	5	692	11	6	800	3	903	0	1252	946	5	721
GTEX-13RTL	413	5	463	10	1	523	1	607	0	771	600	0	521
GTEX-15G1A	747	10	955	26	5	1003	9	1133	0	1468	1286	7	1019
GTEX-ZZ64	343	3	419	6	1	508	2	514	0	736	581	1	451
