individual	chr1:183137827:183140404:cluster24139	chr1:183137827:183142534:cluster24139	chr1:183138822:183140404:cluster24139	chr1:183140503:183142534:cluster24139
GTEX-1GZ2Q	61	38	0	82
GTEX-14ABY	117	0	0	131
GTEX-139TU	122	0	0	132
GTEX-11P82	152	0	0	167
GTEX-14JIY	120	0	0	128
GTEX-147F3	145	0	0	152
GTEX-1QW4Y	206	0	0	225
GTEX-1KD4Q	144	0	0	154
GTEX-12WSM	77	0	0	84
GTEX-YF7O	204	0	0	225
GTEX-1QMI2	111	0	0	121
GTEX-13X6I	285	0	0	309
GTEX-WHPG	208	0	0	218
GTEX-13OVJ	96	0	0	106
GTEX-16MTA	173	0	0	181
GTEX-ZQG8	138	0	0	145
GTEX-1F88E	216	0	0	238
GTEX-U3ZG	84	0	0	91
GTEX-139T4	269	0	0	275
GTEX-1K9T9	83	0	0	85
GTEX-13NZA	86	0	0	98
GTEX-14C38	70	0	0	79
GTEX-1C475	230	0	0	261
GTEX-XPT6	165	0	0	170
GTEX-1AX9I	148	0	0	166
GTEX-ZVT2	184	0	0	194
GTEX-14PQA	191	0	0	214
GTEX-1CB4G	107	0	0	116
GTEX-SIU8	78	0	0	86
GTEX-17MFQ	168	0	0	186
GTEX-11DXX	191	0	0	194
GTEX-14DAR	140	0	0	151
GTEX-ZDXO	120	0	0	127
GTEX-11EMC	123	0	0	138
GTEX-15UF7	474	0	0	507
GTEX-113JC	101	0	0	111
GTEX-P4PP	251	0	0	284
GTEX-1PPGY	157	0	0	169
GTEX-13CF2	143	0	0	148
GTEX-PWN1	87	0	0	90
GTEX-1C6VQ	253	0	0	267
GTEX-1AX9K	154	0	0	171
GTEX-11VI4	159	0	0	167
GTEX-XUW1	132	0	0	144
GTEX-1GMR3	113	0	0	119
GTEX-1C6WA	303	0	0	328
GTEX-R53T	82	0	0	82
GTEX-UTHO	189	0	0	197
GTEX-ZLV1	246	0	0	261
GTEX-13FTZ	124	0	0	134
GTEX-X8HC	212	0	0	235
GTEX-11EM3	142	0	0	147
GTEX-1MCYP	302	0	0	326
GTEX-1212Z	121	0	0	135
GTEX-1F5PL	219	0	0	233
GTEX-1RAZR	237	0	0	253
GTEX-Y8DK	120	0	0	127
GTEX-1QPFJ	284	0	0	293
GTEX-12C56	170	0	0	175
GTEX-TSE9	243	0	0	275
GTEX-1N2DW	120	0	0	134
GTEX-13O3O	123	0	0	133
GTEX-1C2JI	205	0	0	226
GTEX-1K2DA	377	0	0	399
GTEX-ZV6S	222	0	0	231
GTEX-WEY5	233	0	0	251
GTEX-P44G	176	0	0	191
GTEX-146FQ	271	0	0	279
GTEX-1B97I	167	0	0	170
GTEX-PLZ4	84	0	0	91
GTEX-17GQL	287	0	0	318
GTEX-1FIGZ	127	0	0	144
GTEX-OXRK	100	0	0	112
GTEX-13FTW	124	0	0	134
GTEX-QEG5	140	0	0	150
GTEX-1P4AB	277	0	0	293
GTEX-1A3MW	189	0	0	211
GTEX-YEC3	226	0	0	231
GTEX-Y3I4	104	0	0	110
GTEX-1AMFI	260	0	0	280
GTEX-11ZU8	154	0	0	166
GTEX-16BQI	156	0	0	168
GTEX-111VG	128	0	0	140
GTEX-Q2AG	45	0	0	49
GTEX-1AX9J	140	0	0	160
GTEX-1QEPI	180	0	0	196
GTEX-QDT8	238	0	0	248
GTEX-V1D1	137	0	0	150
GTEX-XPVG	154	0	0	157
GTEX-1JN6P	111	0	0	127
GTEX-P4PQ	202	0	0	223
GTEX-1IDJF	249	0	0	279
GTEX-183WM	278	0	0	290
GTEX-11LCK	163	0	0	179
GTEX-1314G	142	0	0	162
GTEX-1399U	132	0	0	135
GTEX-YB5K	112	0	0	120
GTEX-ZE7O	174	0	0	187
GTEX-QDVN	281	0	0	297
GTEX-13112	104	0	0	111
GTEX-18A7A	84	0	0	86
GTEX-WOFL	476	0	0	494
GTEX-1PBJJ	143	0	0	152
GTEX-1QP2A	156	0	0	170
GTEX-R55G	92	0	0	102
GTEX-145MH	85	0	0	87
GTEX-1E2YA	143	0	0	163
GTEX-16XZY	113	0	0	123
GTEX-1A3MV	155	0	0	168
GTEX-133LE	138	0	0	153
GTEX-1R9PO	214	0	0	220
GTEX-X5EB	79	0	0	83
GTEX-ZAB4	161	0	0	164
GTEX-14PII	249	0	0	280
GTEX-T8EM	326	0	0	342
GTEX-13OW6	66	0	0	75
GTEX-17HHE	146	0	0	154
GTEX-WOFM	204	0	0	214
GTEX-14PN4	164	0	0	181
GTEX-WFON	180	0	0	191
GTEX-15SHV	219	0	0	239
GTEX-13PLJ	107	0	0	112
GTEX-1JN1M	144	0	0	154
GTEX-R55C	63	0	0	64
GTEX-1MCQQ	174	0	0	181
GTEX-OXRL	95	0	0	106
GTEX-14PJM	76	0	0	88
GTEX-1EH9U	140	0	0	154
GTEX-1MA7W	203	0	0	224
GTEX-WY7C	240	0	0	250
GTEX-13QIC	61	0	0	66
GTEX-11ZTT	117	0	0	131
GTEX-Z93S	142	0	0	144
GTEX-1GN1U	157	0	0	164
GTEX-111YS	164	0	0	179
GTEX-14PK6	97	0	0	105
GTEX-1CAMQ	130	0	0	139
GTEX-144FL	353	0	0	393
GTEX-1B8L1	70	0	0	80
GTEX-13QJ3	181	0	0	206
GTEX-1PIIG	93	0	0	95
GTEX-17JCI	84	0	0	84
GTEX-1JJ6O	255	0	0	288
GTEX-13OVK	151	0	0	155
GTEX-WRHU	256	0	0	261
GTEX-1F88F	82	0	0	88
GTEX-OIZF	130	0	0	140
GTEX-1GN2E	81	0	0	83
GTEX-ZZPU	189	0	0	208
GTEX-ZP4G	138	0	0	151
GTEX-17EVP	88	0	0	101
GTEX-147GR	82	0	0	83
GTEX-16NPV	171	0	0	188
GTEX-P4QT	196	0	0	215
GTEX-WWTW	125	0	0	136
GTEX-Q734	138	0	0	142
GTEX-1A8G7	153	0	0	166
GTEX-TKQ2	173	0	0	181
GTEX-RM2N	194	0	0	206
GTEX-14DAQ	134	0	0	144
GTEX-ZEX8	330	0	0	370
GTEX-15RIE	140	0	0	156
GTEX-12WSN	98	0	0	106
GTEX-146FH	115	0	0	125
GTEX-U3ZH	188	0	0	213
GTEX-1JKYR	157	0	0	177
GTEX-17F98	109	0	0	118
GTEX-1GTWX	137	0	0	155
GTEX-PW2O	59	0	0	67
GTEX-15UKP	159	0	0	170
GTEX-17F97	147	0	0	168
GTEX-ZVE2	193	0	0	216
GTEX-13PVQ	99	0	0	113
GTEX-17HHY	86	0	0	87
GTEX-1QP67	170	0	0	193
