individual	chr15:40335700:40335784:cluster33050	chr15:40335700:40336574:cluster33050	chr15:40335826:40336574:cluster33050	chr15:40335888:40336574:cluster33050
GTEX-11GSO	17	21	14	0
GTEX-1IDJD	119	7	92	6
GTEX-UPJH	48	4	39	2
GTEX-14JIY	57	2	36	2
GTEX-YB5E	133	6	110	7
GTEX-SUCS	109	6	66	6
GTEX-1QW4Y	77	6	57	4
GTEX-12WSM	48	2	28	1
GTEX-15EO6	76	2	56	2
GTEX-1CAMR	79	6	63	5
GTEX-ZQG8	95	4	61	4
GTEX-1F88E	31	2	22	2
GTEX-1K9T9	65	4	45	2
GTEX-ZF28	72	3	59	2
GTEX-U4B1	57	1	38	2
GTEX-1F75W	88	3	52	4
GTEX-146FR	73	3	59	2
GTEX-17F96	102	4	66	5
GTEX-1KANA	147	9	107	9
GTEX-1JN76	81	4	50	3
GTEX-1CB4G	88	5	55	3
GTEX-TMZS	38	3	32	1
GTEX-139T6	86	4	57	3
GTEX-1I6K7	108	5	83	5
GTEX-131XW	96	4	61	5
GTEX-13RTK	73	5	45	3
GTEX-1CB4H	21	1	16	2
GTEX-PWN1	45	2	26	2
GTEX-11NUK	66	3	49	4
GTEX-131YS	84	7	62	3
GTEX-11VI4	82	6	55	5
GTEX-1GZ2Q	83	5	57	6
GTEX-12ZZY	80	3	61	5
GTEX-XBEW	119	9	82	5
GTEX-145LU	72	5	54	2
GTEX-111FC	81	6	63	4
GTEX-13X6J	114	6	83	6
GTEX-UTHO	48	4	36	2
GTEX-1NUQO	93	3	70	4
GTEX-ZUA1	97	7	70	2
GTEX-1GF9W	32	2	23	0
GTEX-17EUY	54	2	39	3
GTEX-1LGOU	77	2	54	4
GTEX-16NPX	94	4	70	2
GTEX-W5WG	117	4	79	6
GTEX-1N2DW	74	6	46	3
GTEX-18D9A	57	2	42	3
GTEX-1LH75	42	1	30	3
GTEX-U8T8	74	6	55	2
GTEX-11ZUS	80	6	50	2
GTEX-131XF	45	2	34	2
GTEX-139UW	56	3	34	1
GTEX-13N2G	129	6	92	7
GTEX-146FQ	37	3	24	2
GTEX-13QBU	67	3	38	2
GTEX-13G51	69	6	58	3
GTEX-WYJK	62	4	40	2
GTEX-1B97I	85	6	65	2
GTEX-1E1VI	82	6	59	2
GTEX-13RTL	87	6	63	3
GTEX-ZZ64	61	4	38	3
GTEX-11OF3	88	6	68	6
GTEX-ZV68	86	5	54	2
GTEX-1P4AB	48	2	38	2
GTEX-1KWVE	94	5	74	4
GTEX-1M4P7	41	2	35	2
GTEX-PWCY	160	5	107	7
GTEX-SJXC	91	3	74	4
GTEX-1A3MW	48	2	30	2
GTEX-X261	77	2	50	4
GTEX-OIZH	94	3	73	3
GTEX-1LSNM	72	3	43	4
GTEX-1RAZA	131	5	97	5
GTEX-11ZTS	37	3	34	2
GTEX-145MO	81	4	62	3
GTEX-WYVS	90	6	61	6
GTEX-16BQI	76	3	52	4
GTEX-13N1W	77	4	51	5
GTEX-117YW	47	3	41	2
GTEX-1R9K4	73	5	44	4
GTEX-YJ8O	44	3	32	1
GTEX-ZC5H	47	3	40	3
GTEX-Y5LM	9	1	5	0
GTEX-XPVG	123	5	92	4
GTEX-183WM	26	2	18	2
GTEX-OXRP	22	0	14	1
GTEX-18A66	91	4	65	4
GTEX-13O21	118	3	83	5
GTEX-1RB15	96	5	67	2
GTEX-1314G	83	3	53	4
GTEX-1399U	56	3	44	2
GTEX-ZE7O	9	0	6	0
GTEX-1PIEJ	108	4	80	4
GTEX-18A7A	101	4	79	5
GTEX-1PBJJ	29	1	23	2
GTEX-1QP2A	62	3	53	2
GTEX-145MH	67	2	45	3
GTEX-OIZG	115	5	80	4
GTEX-11GSP	53	3	32	3
GTEX-12WSG	41	3	30	2
