individual	chr8:30689319:30692969:cluster55574	chr8:30689319:30696380:cluster55574	chr8:30693055:30696380:cluster55574
GTEX-1C4CL	220	60	212
GTEX-1IDJC	91	0	88
GTEX-139TU	64	0	64
GTEX-R55E	40	0	40
GTEX-147F3	43	0	46
GTEX-1KD4Q	69	0	70
GTEX-1QMI2	47	0	43
GTEX-14PJO	186	0	187
GTEX-WHPG	116	0	117
GTEX-1KXAM	192	0	204
GTEX-14A6H	134	0	144
GTEX-ZQG8	57	0	62
GTEX-1F88E	36	0	37
GTEX-1GN1V	30	0	27
GTEX-14C38	27	0	30
GTEX-ZF28	109	0	112
GTEX-14BMV	41	0	46
GTEX-XPT6	192	1	212
GTEX-U4B1	75	0	70
GTEX-17F96	163	1	175
GTEX-ZVT2	116	0	118
GTEX-1S5VW	62	0	67
GTEX-16YQH	49	0	51
GTEX-14PQA	88	0	97
GTEX-1CB4G	45	0	52
GTEX-SIU8	26	0	26
GTEX-P78B	140	0	143
GTEX-ZAB5	133	0	145
GTEX-1LB8K	48	0	54
GTEX-TMZS	12	0	15
GTEX-1LC47	112	0	112
GTEX-14753	56	0	52
GTEX-11DXX	163	0	162
GTEX-15UF6	56	0	57
GTEX-RWS6	41	0	48
GTEX-ZDXO	77	0	78
GTEX-1I6K7	70	0	65
GTEX-15UF7	174	0	172
GTEX-113JC	28	0	33
GTEX-P4PP	77	0	74
GTEX-13CF2	32	0	35
GTEX-ZXG5	84	0	93
GTEX-1CB4H	21	0	21
GTEX-14PJ4	130	0	143
GTEX-131YS	29	0	35
GTEX-12696	29	0	34
GTEX-XQ8I	30	0	31
GTEX-147F4	35	0	39
GTEX-QV31	28	0	27
GTEX-1GZ2Q	29	0	35
GTEX-12ZZY	35	0	32
GTEX-1C6WA	60	0	60
GTEX-OIZI	54	0	56
GTEX-18A7B	57	0	59
GTEX-183FY	219	1	237
GTEX-145LU	41	0	48
GTEX-111FC	36	0	33
GTEX-1LNCM	32	0	36
GTEX-1LSNL	24	0	23
GTEX-UTHO	40	0	40
GTEX-ZLV1	112	0	122
GTEX-OHPN	69	0	73
GTEX-1GF9W	69	0	69
GTEX-1LGOU	54	0	63
GTEX-1I4MK	114	0	128
GTEX-X8HC	161	0	156
GTEX-169BO	86	0	98
GTEX-11EM3	87	0	90
GTEX-1MCYP	310	2	315
GTEX-131XG	80	0	83
GTEX-16NPX	66	0	61
GTEX-15ETS	160	1	164
GTEX-1PPH7	42	0	47
GTEX-WK11	73	0	76
GTEX-W5WG	44	0	43
GTEX-TMMY	380	2	377
GTEX-SN8G	142	0	145
GTEX-1K2DA	406	1	447
GTEX-1LH75	32	0	37
GTEX-ZF2S	51	0	58
GTEX-14BMU	56	0	62
GTEX-1399T	32	0	32
GTEX-1F75A	100	0	105
GTEX-P44G	15	0	14
GTEX-139UW	37	0	44
GTEX-13QBU	162	0	162
GTEX-XGQ4	61	0	61
GTEX-ZDTS	27	0	33
GTEX-1B97I	143	0	143
GTEX-XOT4	36	0	32
GTEX-1FIGZ	99	0	109
GTEX-OXRK	85	0	86
GTEX-17HII	44	0	51
GTEX-13RTL	82	0	83
GTEX-15G1A	184	0	182
GTEX-QV44	86	0	92
GTEX-11OF3	64	0	65
GTEX-1R46S	61	0	61
