individual	chr2:74527059:74527248:cluster40908	chr2:74527121:74527248:cluster40908	chr2:74527585:74527736:cluster40908	chr2:74527590:74527736:cluster40908
GTEX-12KS4	135	14	23	80
GTEX-1IDJD	556	57	0	474
GTEX-1IDJC	464	37	0	408
GTEX-132NY	249	20	0	233
GTEX-14ABY	205	20	0	162
GTEX-13OVL	172	16	0	152
GTEX-UPJH	190	17	0	186
GTEX-147F3	335	30	0	295
GTEX-YB5E	486	53	0	416
GTEX-ZYT6	165	17	0	150
GTEX-1QW4Y	418	46	0	355
GTEX-Y8E4	548	45	0	497
GTEX-15EO6	439	36	0	395
GTEX-13PL7	462	39	0	371
GTEX-11EQ9	355	32	0	330
GTEX-13OVJ	234	23	0	222
GTEX-13OW5	205	16	0	188
GTEX-16MTA	424	45	0	384
GTEX-ZQG8	701	61	0	590
GTEX-U3ZG	281	26	0	249
GTEX-1GN1V	277	32	0	252
GTEX-ZF28	389	35	0	318
GTEX-14BMV	176	18	0	145
GTEX-1F75W	229	26	0	202
GTEX-17F96	765	78	0	631
GTEX-1B8KE	233	22	0	192
GTEX-ZVT2	517	48	0	432
GTEX-1RQEC	324	28	0	257
GTEX-Y5V5	452	47	0	381
GTEX-14PQA	682	72	0	566
GTEX-ZPIC	206	15	0	176
GTEX-P78B	388	33	0	323
GTEX-1122O	373	42	0	320
GTEX-ZAB5	369	38	0	360
GTEX-1LC47	825	70	0	716
GTEX-14753	285	21	0	251
GTEX-139T6	384	29	0	319
GTEX-1MJK3	376	38	0	333
GTEX-131XW	142	14	0	130
GTEX-113JC	141	12	0	128
GTEX-1PPGY	307	23	0	274
GTEX-13CF2	190	20	0	156
GTEX-1A32A	140	14	0	138
GTEX-14PJ4	378	33	0	321
GTEX-1QP6S	188	18	0	160
GTEX-XQ8I	376	32	0	328
GTEX-QV31	156	15	0	131
GTEX-1AX9K	251	20	0	219
GTEX-1B933	157	16	0	156
GTEX-XUW1	282	22	0	256
GTEX-XQ3S	172	15	0	149
GTEX-111FC	187	17	0	146
GTEX-1KD5A	386	41	0	324
GTEX-1S83E	489	49	0	413
GTEX-17EUY	551	61	0	503
GTEX-11EM3	319	30	0	268
GTEX-1JMQJ	248	20	0	208
GTEX-13FTY	270	23	0	221
GTEX-16NPX	212	25	0	186
GTEX-1PPH7	532	46	0	430
GTEX-1GN1W	382	29	0	345
GTEX-1RAZR	516	41	0	432
