individual	chr19:44914949:44916190:cluster10926	chr19:44914949:44919173:cluster10926	chr19:44916325:44919173:cluster10926	chr19:44918802:44919173:cluster10926
GTEX-1CAMR	10	0	6	5
GTEX-14ABY	48	2	57	0
GTEX-139TU	67	4	92	0
GTEX-147F3	7	0	9	0
GTEX-YEC4	18	1	23	0
GTEX-SUCS	12	0	13	0
GTEX-12WSM	12	1	18	0
GTEX-1QMI2	29	2	43	0
GTEX-14PJO	13	0	19	0
GTEX-WHPG	37	2	57	0
GTEX-1AX8Z	12	0	14	0
GTEX-1KXAM	20	1	31	0
GTEX-14A6H	64	1	82	0
GTEX-1F88E	59	3	85	0
GTEX-139T4	36	2	44	0
GTEX-13NZA	13	1	19	0
GTEX-1GN1V	9	0	13	0
GTEX-14C38	15	1	16	0
GTEX-XBED	5	0	7	0
GTEX-14BMV	27	1	29	0
GTEX-XPT6	32	2	39	0
GTEX-ZVT2	9	0	11	0
GTEX-1KANA	15	1	19	0
GTEX-R55D	17	0	22	0
GTEX-Y5V5	220	6	291	0
GTEX-14PQA	31	2	45	0
GTEX-S33H	33	2	39	0
GTEX-1CB4G	30	1	34	0
GTEX-SIU8	17	1	23	0
GTEX-P78B	61	2	78	0
GTEX-11DXX	4	0	4	0
GTEX-13PL6	3	0	4	0
GTEX-12ZZZ	33	2	49	0
GTEX-1I6K7	61	2	70	0
GTEX-X4XY	31	1	42	0
GTEX-P4PP	32	1	37	0
GTEX-13CF2	18	1	28	0
GTEX-13RTK	30	1	37	0
GTEX-ZXG5	43	2	53	0
GTEX-1CB4H	32	2	36	0
GTEX-PWN1	5	0	8	0
GTEX-1A32A	7	0	9	0
GTEX-1OFPY	8	0	8	0
GTEX-1QP6S	33	2	49	0
GTEX-131YS	31	1	39	0
GTEX-14PJN	21	1	25	0
GTEX-12696	13	0	16	0
GTEX-1AX9K	25	1	29	0
GTEX-12ZZY	22	1	30	0
GTEX-1JKYN	15	0	20	0
GTEX-18A7B	44	2	51	0
GTEX-145LU	39	1	49	0
GTEX-111FC	23	1	27	0
GTEX-1LNCM	26	1	33	0
GTEX-1S83E	92	4	114	0
GTEX-ZLV1	8	0	12	0
GTEX-1LGOU	13	1	21	0
GTEX-X8HC	59	3	68	0
GTEX-11EM3	9	0	12	0
GTEX-1MCYP	13	0	16	0
GTEX-13FTY	35	1	48	0
GTEX-16NPX	46	2	58	0
GTEX-1F5PL	35	1	46	0
GTEX-1RAZR	76	4	114	0
GTEX-Y8DK	68	1	85	0
GTEX-12C56	23	1	35	0
GTEX-1211K	69	2	83	0
GTEX-W5WG	42	1	45	0
GTEX-PLZ5	19	1	23	0
GTEX-T5JC	18	0	22	0
GTEX-ZV6S	11	0	17	0
GTEX-WEY5	40	2	46	0
GTEX-1QP9N	14	0	19	0
GTEX-1B97J	38	1	48	0
GTEX-131XF	41	2	60	0
GTEX-14LZ3	68	4	100	0
GTEX-13G51	38	1	50	0
GTEX-R3RS	10	0	15	0
GTEX-1A3MX	124	8	169	0
GTEX-XOT4	11	1	15	0
GTEX-PLZ4	3	0	4	0
GTEX-1FIGZ	5	0	9	0
GTEX-13FTW	17	1	22	0
GTEX-15G1A	72	3	83	0
GTEX-1R46S	15	0	17	0
GTEX-1P4AB	183	6	239	0
GTEX-1M4P7	37	1	57	0
GTEX-ZF3C	61	2	88	0
GTEX-PWCY	15	1	22	0
GTEX-1GMRU	14	1	17	0
GTEX-1A3MW	16	1	17	0
GTEX-OIZH	11	0	17	0
GTEX-Y3I4	17	1	20	0
GTEX-1269C	15	1	16	0
GTEX-1192X	27	1	31	0
GTEX-1LSNM	38	1	41	0
GTEX-13OVH	25	1	29	0
GTEX-1F7RK	49	3	67	0
GTEX-1R9K4	18	1	25	0
GTEX-YJ8O	19	1	31	0
GTEX-1QEPI	85	3	105	0
GTEX-ZC5H	35	1	46	0
GTEX-Y5LM	15	0	18	0
GTEX-QDT8	47	1	53	0
GTEX-V1D1	10	0	13	0
GTEX-15RIF	35	1	43	0
GTEX-1JN6P	25	1	34	0
GTEX-1IDJF	18	1	29	0
GTEX-OXRP	4	0	4	0
GTEX-14E6D	33	1	40	0
GTEX-XBEC	9	0	9	0
GTEX-15CHC	26	1	26	0
GTEX-13O21	67	3	77	0
GTEX-PLZ6	3	0	3	0
GTEX-13112	25	1	28	0
GTEX-11TT1	3	0	3	0
GTEX-16XZY	71	5	96	0
GTEX-12WSJ	8	0	12	0
GTEX-1LVAM	42	1	62	0
GTEX-16XZZ	63	2	84	0
GTEX-15ER7	114	4	161	0
GTEX-RWSA	6	0	9	0
GTEX-1A8G6	38	1	44	0
GTEX-13PLJ	9	0	14	0
GTEX-18465	33	2	45	0
GTEX-1QP66	57	1	74	0
GTEX-1GZHY	29	2	42	0
GTEX-QVJO	26	1	28	0
GTEX-147JS	51	1	64	0
GTEX-QCQG	10	0	13	0
GTEX-13RTJ	80	4	119	0
GTEX-14PJ6	19	1	25	0
GTEX-OXRL	13	0	17	0
GTEX-14PJM	21	1	33	0
GTEX-139YR	31	2	38	0
GTEX-1MA7W	55	3	65	0
GTEX-15SKB	3	0	4	0
GTEX-U8XE	14	0	16	0
GTEX-12WSL	16	1	25	0
GTEX-1GPI6	25	1	34	0
GTEX-Z93S	47	1	60	0
GTEX-13111	45	1	55	0
GTEX-14PK6	8	0	9	0
GTEX-144FL	52	3	74	0
GTEX-REY6	1	0	2	0
GTEX-1JJ6O	13	1	14	0
GTEX-13OVG	11	1	17	0
GTEX-1F88F	42	2	51	0
GTEX-12WSA	21	1	31	0
GTEX-OIZF	21	1	28	0
GTEX-14E6E	15	0	20	0
GTEX-ZP4G	10	0	15	0
GTEX-14C39	19	1	21	0
GTEX-147GR	17	1	21	0
GTEX-11P81	16	0	20	0
GTEX-1CB4I	13	0	17	0
GTEX-15DCD	51	1	63	0
GTEX-QESD	18	1	27	0
GTEX-1399S	54	1	61	0
GTEX-ZEX8	93	2	119	0
GTEX-1GF9V	16	0	20	0
GTEX-PX3G	24	1	28	0
GTEX-13FHO	27	1	32	0
GTEX-RUSQ	2	0	4	0
GTEX-1ICLY	42	1	59	0
GTEX-1JKYR	47	2	71	0
GTEX-Q2AI	3	0	3	0
GTEX-14BIM	7	0	9	0
GTEX-17F98	13	0	17	0
GTEX-111CU	12	1	15	0
GTEX-PW2O	12	0	16	0
GTEX-ZVE2	66	2	92	0
GTEX-13O3P	17	1	24	0
GTEX-11GS4	13	1	18	0
GTEX-OXRN	62	4	92	0
GTEX-1QP28	15	1	22	0
