individual	chr10:113610563:113612234:cluster66143	chr10:113610563:113614183:cluster66143	chr10:113612431:113614183:cluster66143	chr10:113612431:113614839:cluster66143	chr10:113614296:113614839:cluster66143
GTEX-Y8LW	1471	762	977	1	2212
GTEX-1IDJD	5608	10	3888	9	5302
GTEX-1IDJC	4599	4	3289	11	4050
GTEX-139TU	14566	12	10051	28	13536
GTEX-QEG4	4879	0	3485	7	4769
GTEX-14JIY	6525	2	4501	21	6115
GTEX-147F3	954	0	685	3	906
GTEX-ZYT6	5428	0	3539	4	5060
GTEX-Y8E4	5272	2	3391	7	4781
GTEX-1KD4Q	4522	2	3208	3	3989
GTEX-15EO6	6564	4	4401	0	6003
GTEX-14PJO	1848	0	1247	0	1655
GTEX-WHPG	6039	3	4413	8	5580
GTEX-13OVJ	3129	0	2070	5	2855
GTEX-13NZA	5637	2	3802	9	5336
GTEX-XBED	2713	1	1882	1	2343
GTEX-ZF28	4663	2	3394	10	4588
GTEX-1F75W	5675	2	3999	11	4922
GTEX-ZVT2	1348	0	863	0	1214
GTEX-14JG6	3423	1	2119	4	2922
GTEX-1JN76	1840	0	1325	3	1689
GTEX-X4XX	3317	2	2286	1	3006
GTEX-1RQEC	7686	4	5214	9	7378
GTEX-16YQH	4405	1	3113	20	4181
GTEX-13JVG	2820	2	1901	4	2719
GTEX-13S7M	2910	0	2072	5	2752
GTEX-ZAB5	5945	2	3749	5	5142
GTEX-15SHU	7293	0	4619	22	6483
GTEX-17MFQ	2084	0	1342	0	1863
GTEX-11TTK	3701	0	2539	5	3323
GTEX-1LC47	4543	0	3161	5	3922
GTEX-14753	2519	0	1584	4	2220
GTEX-11DXX	2357	0	1576	6	2281
GTEX-1MJK3	2065	2	1335	2	1708
GTEX-13FTX	5033	0	3272	6	4409
GTEX-14DAR	2693	0	1936	3	2584
GTEX-1I6K7	4689	4	3491	12	4526
GTEX-11EMC	3874	5	2649	6	3833
GTEX-1399R	1049	0	718	3	960
GTEX-P4PP	944	0	656	3	928
GTEX-1C6VQ	3240	0	2196	5	2971
GTEX-14PJ4	2148	1	1544	3	2066
GTEX-11NUK	5764	3	3630	9	5059
GTEX-131YS	5115	0	3214	7	4569
GTEX-147F4	3469	0	2316	4	3241
GTEX-1AX9K	2723	0	1799	1	2417
GTEX-1B933	5068	2	3355	8	4355
GTEX-1GZ2Q	6547	0	4476	5	5705
GTEX-1313W	3894	2	2558	10	3506
GTEX-1JKYN	2126	0	1546	1	1963
GTEX-XBEW	2265	1	1547	2	1990
GTEX-183FY	4911	7	3334	3	4778
GTEX-ZDYS	1722	0	1201	4	1659
GTEX-ZLV1	2075	5	1478	3	1966
GTEX-1NUQO	4450	1	3223	10	4144
GTEX-17EUY	1988	3	1276	4	1679
GTEX-1L5NE	2957	1	2026	3	2622
GTEX-1MCYP	900	1	635	0	810
GTEX-16NPX	5656	0	3563	14	4870
GTEX-15ETS	4931	1	3314	6	4609
GTEX-1F5PL	6206	5	4265	22	5856
GTEX-WK11	7437	0	5197	5	6761
GTEX-1GPI7	6261	0	3980	2	5626
GTEX-Y8DK	8444	0	5999	26	7937
GTEX-1211K	2784	0	1861	0	2589
GTEX-TSE9	4872	0	3112	6	4117
GTEX-W5WG	1847	2	1380	2	1726
GTEX-PLZ5	5729	5	3573	9	4883
GTEX-13O3O	5972	0	4084	5	5630
GTEX-1K2DA	5018	2	3227	3	4687
GTEX-ZV6S	1314	0	879	0	1226
GTEX-1QP9N	1509	1	1084	3	1402
GTEX-1B97J	6123	0	4109	5	5502
GTEX-1F75A	6753	2	4528	21	6090
GTEX-14LZ3	4141	0	2643	2	3686
GTEX-13G51	3460	1	2300	6	3243
GTEX-WYJK	5298	3	3706	10	4506
GTEX-ZDTS	4643	1	3214	1	4230
GTEX-1A3MX	3776	3	2527	2	3438
GTEX-PLZ4	1773	0	1224	0	1615
GTEX-17GQL	4846	2	3347	0	4396
GTEX-11GSO	4174	0	2880	8	4031
GTEX-1FIGZ	1999	1	1349	1	1807
GTEX-OXRK	2807	1	1969	1	2727
GTEX-15RIG	2769	4	1972	3	2542
GTEX-13FTW	1638	1	1116	1	1550
GTEX-QEG5	4968	1	3385	9	4617
GTEX-1C6VR	3978	0	2688	5	3568
GTEX-1JMQI	3712	1	2332	3	3149
GTEX-11UD2	4253	3	2709	6	3761
GTEX-1KWVE	4949	0	3329	9	4479
GTEX-1CB4F	3024	2	2151	7	2668
GTEX-ZF3C	3531	0	2523	4	3426
GTEX-18A67	5895	4	3836	7	5511
GTEX-1GMRU	8491	2	5586	14	7523
GTEX-X261	2397	0	1616	4	2085
GTEX-Y3I4	3149	0	2178	3	3047
GTEX-11ZU8	1752	2	1255	3	1622
GTEX-1MUQO	3461	0	2554	7	3352
GTEX-1EU9M	7607	3	4875	10	6476
GTEX-11ZTS	2542	1	1674	5	2390
GTEX-WYVS	4025	0	2839	9	3619
GTEX-16BQI	3732	2	2709	4	3325
GTEX-1F6IF	11308	9	7566	38	10217
GTEX-ZWKS	1698	2	1229	1	1586
GTEX-Q2AG	2080	0	1317	2	1753
GTEX-OOBK	3459	3	2371	4	3365
GTEX-15CHQ	11526	6	8080	37	11219
GTEX-Y9LG	6733	5	4610	9	6344
GTEX-1EWIQ	4509	1	2983	14	4063
GTEX-17KNJ	7108	1	4858	8	6367
GTEX-1A8FM	6011	4	4050	9	5535
GTEX-15RIF	3217	0	2128	4	2769
GTEX-XPVG	2097	1	1371	0	1774
GTEX-1JN6P	9076	10	6506	24	8438
GTEX-1IDJF	8188	4	5686	5	7276
GTEX-1GN73	8241	5	5268	11	7671
GTEX-11LCK	2725	1	1797	3	2499
GTEX-RTLS	6001	5	4031	11	5418
GTEX-15CHC	2214	1	1569	3	2128
GTEX-13O21	2049	0	1461	3	1950
GTEX-1399U	4702	7	2919	10	4191
GTEX-13112	4051	0	2518	5	3633
GTEX-11TT1	832	0	599	1	818
GTEX-18A7A	4850	1	3522	3	4522
GTEX-WHSB	5504	4	3893	3	5305
GTEX-WOFL	2600	0	1752	2	2318
GTEX-1GZ4I	3268	0	2350	3	3133
GTEX-13OW8	4148	0	2771	13	4024
GTEX-1E2YA	5828	3	3754	7	5356
GTEX-16XZY	4465	3	3235	10	4034
GTEX-13X6H	1400	0	982	3	1298
GTEX-OIZG	8245	5	5938	12	7683
