individual	chr6:75697517:75702645:cluster15627	chr6:75697517:75709527:cluster15627	chr6:75703024:75709527:cluster15627	chr6:75703072:75709527:cluster15627
GTEX-QVUS	39	17	50	42
GTEX-1IDJC	71	5	0	114
GTEX-13OVL	43	3	0	59
GTEX-139TU	58	3	0	75
GTEX-11P82	54	4	0	96
GTEX-QEG4	47	3	0	58
GTEX-R55E	47	3	0	73
GTEX-1KD4Q	32	2	0	61
GTEX-15EO6	66	5	0	119
GTEX-1QMI2	48	3	0	79
GTEX-14PJO	35	3	0	57
GTEX-1CAMR	61	3	0	89
GTEX-1AX8Z	34	3	0	65
GTEX-1KXAM	77	7	0	141
GTEX-14A6H	71	6	0	95
GTEX-13OVJ	15	1	0	29
GTEX-13W46	55	4	0	73
GTEX-13OW5	34	1	0	50
GTEX-139T4	101	13	0	174
GTEX-13NZA	32	2	0	42
GTEX-1C475	47	3	0	76
GTEX-ZF28	41	2	0	67
GTEX-XPT6	48	3	0	76
GTEX-1AX9I	38	2	0	48
GTEX-17F96	100	5	0	154
GTEX-1B8KE	45	4	0	66
GTEX-1KANA	59	2	0	83
GTEX-1JN76	36	2	0	57
GTEX-X4XX	71	7	0	109
GTEX-1RQEC	60	5	0	82
GTEX-Y5V5	118	7	0	164
GTEX-1C64N	73	4	0	115
GTEX-13JVG	46	3	0	71
GTEX-1CB4G	46	2	0	61
GTEX-1122O	48	2	0	65
GTEX-15SHU	28	1	0	47
GTEX-13FTX	56	7	0	96
GTEX-15UF6	58	4	0	76
GTEX-1399R	48	3	0	79
GTEX-X4XY	58	5	0	100
GTEX-113JC	31	3	0	40
GTEX-13CF2	42	2	0	58
GTEX-1OFPY	36	3	0	70
GTEX-1F75B	73	5	0	104
GTEX-11NUK	36	2	0	59
GTEX-14PJN	38	4	0	69
GTEX-XQ8I	45	3	0	62
GTEX-1AX9K	39	2	0	67
GTEX-WZTO	71	3	0	99
GTEX-1GZ2Q	41	4	0	59
