individual	chr5:79613075:79615075:cluster40531	chr5:79613075:79619612:cluster40531	chr5:79615163:79619612:cluster40531	chr5:79641196:79642832:cluster40531	chr5:79641196:79642844:cluster40531	chr5:79641196:79645123:cluster40531	chr5:79642910:79645123:cluster40531	chr5:79642985:79645123:cluster40531
GTEX-1AMFI	26	20	21	29	17	6	50	2
GTEX-139TU	0	17	0	19	7	2	24	1
GTEX-UPJH	0	10	0	9	3	3	13	0
GTEX-14JIY	0	16	0	10	6	2	17	0
GTEX-R55E	0	11	0	14	8	3	19	0
GTEX-YEC4	0	26	0	22	12	0	31	2
GTEX-YB5E	0	30	0	23	14	3	41	3
GTEX-1QW4Y	0	18	0	15	10	4	35	1
GTEX-12WSM	0	16	0	9	6	4	14	1
GTEX-15EO6	0	23	0	20	7	4	32	2
GTEX-YF7O	0	32	0	27	14	0	36	2
GTEX-1QMI2	0	22	0	14	13	1	26	4
GTEX-13X6I	0	12	0	12	7	1	15	2
GTEX-14PJO	0	12	0	14	4	2	14	3
GTEX-ZQG8	0	12	0	17	12	2	20	2
GTEX-13NZA	0	6	0	12	4	1	13	0
GTEX-1GN1V	0	13	0	7	6	1	23	2
GTEX-ZF28	0	17	0	15	7	3	20	1
GTEX-14BMV	0	7	0	9	6	2	17	0
GTEX-XPT6	0	27	0	28	20	3	34	6
GTEX-146FR	0	24	0	18	19	3	37	3
GTEX-1AX9I	0	14	0	7	6	1	16	1
GTEX-1B8KE	0	22	0	12	11	5	23	2
GTEX-ZVT2	0	23	0	20	7	4	34	2
GTEX-14JG6	0	23	0	22	15	7	27	5
GTEX-1RQEC	0	19	0	14	6	6	36	1
GTEX-16YQH	0	16	0	13	6	2	23	0
GTEX-S33H	0	14	0	19	7	3	32	1
GTEX-13JVG	0	15	0	15	7	1	16	0
GTEX-1CB4G	0	13	0	17	5	2	20	3
GTEX-P78B	0	17	0	30	11	3	41	1
GTEX-ZAB5	0	22	0	20	14	2	39	2
GTEX-17MFQ	0	20	0	13	8	5	24	2
GTEX-13FTX	0	14	0	19	7	2	34	2
GTEX-14DAR	0	18	0	18	11	2	35	0
GTEX-131XW	0	13	0	12	4	4	20	0
GTEX-1399R	0	19	0	17	15	4	32	3
GTEX-15UF7	0	43	0	41	13	4	52	6
GTEX-113JC	0	10	0	7	4	0	10	0
GTEX-13CF2	0	11	0	12	2	2	21	2
GTEX-13RTK	0	16	0	11	10	0	27	2
GTEX-ZXG5	0	12	0	22	7	2	27	1
GTEX-1CB4H	0	18	0	13	8	0	22	2
GTEX-1A32A	0	9	0	10	3	4	12	1
GTEX-14PJ4	0	14	0	19	11	4	29	4
GTEX-1OFPY	0	10	0	14	6	0	19	1
GTEX-1F75B	0	22	0	14	10	2	33	2
GTEX-11NUK	0	9	0	13	4	1	12	1
GTEX-147F4	0	9	0	11	6	3	18	1
GTEX-1B933	0	6	0	7	4	1	9	0
GTEX-11VI4	0	26	0	27	21	7	40	3
GTEX-XUW1	0	14	0	12	8	1	14	0
GTEX-WZTO	0	8	0	11	7	0	22	2
GTEX-1313W	0	11	0	5	4	2	21	1
GTEX-XUZC	0	19	0	22	10	3	37	0
GTEX-XBEW	0	31	0	33	11	3	52	0
GTEX-R53T	0	13	0	8	7	1	17	0
GTEX-1KD5A	0	29	0	26	12	6	30	1
GTEX-1LSNL	0	7	0	12	5	2	12	2
GTEX-1GF9W	0	10	0	13	7	0	14	2
GTEX-11EM3	0	16	0	18	11	3	26	1
GTEX-16NPX	0	14	0	15	9	0	23	1
GTEX-15ETS	0	35	0	24	17	7	60	6
GTEX-WK11	0	25	0	20	14	7	36	5
GTEX-1GPI7	0	21	0	27	9	5	35	0
GTEX-1RAZR	0	39	0	35	23	4	64	4
GTEX-1S82P	0	11	0	10	6	2	23	2
GTEX-OHPL	0	10	0	15	9	0	23	2
GTEX-TMMY	0	53	0	51	30	10	91	1
GTEX-13O3O	0	10	0	14	4	3	16	2
GTEX-1K2DA	0	47	0	47	36	6	99	12
GTEX-18D9A	0	19	0	18	17	6	44	4
GTEX-U8T8	0	15	0	20	9	5	28	1
GTEX-ZV6S	0	45	0	30	32	8	65	4
GTEX-1399T	0	10	0	12	3	0	18	1
GTEX-1QP9N	0	17	0	13	7	3	28	4
GTEX-1B97J	0	37	0	37	22	13	54	4
GTEX-139UW	0	14	0	14	8	2	15	2
GTEX-13QBU	0	26	0	29	17	7	34	2
GTEX-1A3MX	0	18	0	24	10	1	37	3
GTEX-17GQL	0	49	0	52	31	17	79	5
GTEX-1FIGZ	0	20	0	26	11	2	36	1
GTEX-QEG5	0	21	0	26	10	2	27	5
GTEX-15G1A	0	34	0	30	18	9	71	5
GTEX-ZZ64	0	22	0	17	13	2	34	6
GTEX-1P4AB	0	14	0	15	7	4	19	3
GTEX-11UD2	0	8	0	10	3	2	8	0
GTEX-1M4P7	0	2	0	5	2	0	7	1
GTEX-17EVQ	0	19	0	25	6	5	33	1
GTEX-ZF3C	0	16	0	20	17	4	34	2
GTEX-PWCY	0	17	0	23	17	3	38	3
GTEX-14BIL	0	18	0	17	3	3	31	3
GTEX-18A67	0	24	0	22	18	2	40	3
GTEX-1GMRU	0	21	0	13	10	3	38	3
GTEX-1A3MW	0	13	0	16	8	3	27	2
GTEX-OIZH	0	30	0	21	13	0	32	3
GTEX-YEC3	0	21	0	29	18	7	45	2
GTEX-1269C	0	13	0	14	7	1	16	0
GTEX-S32W	0	33	0	25	14	9	32	3
GTEX-1192X	0	9	0	10	4	3	18	1
GTEX-1LSNM	0	30	0	23	15	6	38	7
GTEX-15D79	0	9	0	15	5	4	16	1
GTEX-1EU9M	0	15	0	15	6	1	20	1
GTEX-U3ZN	0	35	0	34	21	5	59	6
GTEX-11ZTS	0	10	0	9	5	0	18	1
GTEX-145MO	0	25	0	17	10	2	40	2
GTEX-16BQI	0	29	0	15	8	5	32	2
GTEX-117YW	0	11	0	14	5	4	25	0
GTEX-16MT8	0	24	0	29	14	2	37	2
GTEX-111VG	0	12	0	12	5	4	19	1
GTEX-Q2AG	0	5	0	8	4	1	16	1
GTEX-1AX9J	0	22	0	11	10	2	23	4
GTEX-1F7RK	0	7	0	9	3	2	13	0
GTEX-11EI6	0	21	0	14	9	3	31	2
GTEX-17KNJ	0	13	0	11	6	2	21	0
GTEX-QDT8	0	25	0	30	9	4	29	2
GTEX-1A8FM	0	8	0	12	4	3	18	0
GTEX-1ICLZ	0	13	0	10	6	0	16	3
GTEX-XPVG	0	33	0	28	15	6	48	2
GTEX-1IDJF	0	28	0	21	20	4	47	3
GTEX-11LCK	0	12	0	11	8	2	22	2
GTEX-RTLS	0	12	0	16	8	4	28	0
GTEX-18A66	0	20	0	17	9	6	27	4
GTEX-15CHC	0	10	0	12	3	3	12	0
GTEX-1QCLZ	0	24	0	21	10	6	46	4
GTEX-1314G	0	14	0	7	5	1	24	1
GTEX-ZTPG	0	14	0	18	9	0	27	1
GTEX-YB5K	0	15	0	16	10	2	21	1
GTEX-ZE7O	0	6	0	8	2	0	14	1
GTEX-QDVN	0	15	0	17	6	0	18	1
GTEX-1PIEJ	0	35	0	31	18	6	40	6
GTEX-15CHR	0	13	0	13	7	3	23	2
GTEX-132Q8	0	12	0	10	8	1	16	0
GTEX-1RQED	0	20	0	15	9	1	20	0
GTEX-13OW8	0	10	0	7	3	2	18	1
GTEX-R55G	0	9	0	8	9	1	22	1
GTEX-1E2YA	0	13	0	9	8	3	22	1
GTEX-1F52S	0	18	0	22	9	2	29	1
GTEX-1F5PK	0	23	0	27	11	1	53	4
GTEX-N7MS	0	2	0	7	3	1	9	1
GTEX-1IDJE	0	21	0	16	9	4	31	0
GTEX-133LE	0	13	0	16	7	0	20	2
GTEX-1K2DU	0	24	0	33	10	8	48	5
GTEX-14PII	0	20	0	13	6	2	15	1
GTEX-T8EM	0	59	0	35	20	6	56	6
GTEX-WOFM	0	39	0	34	13	7	64	2
