individual	chr17:81891833:81893552:cluster6714	chr17:81891833:81894467:cluster6714	chr17:81891841:81893552:cluster6714	chr17:81891841:81894467:cluster6714	chr17:81891863:81893552:cluster6714	chr17:81891863:81894467:cluster6714	chr17:81893614:81894467:cluster6714
GTEX-1EH9U	60	102	64	80	8	19	178
GTEX-1IDJD	87	55	133	52	16	17	359
GTEX-1IDJC	128	63	191	72	30	21	458
GTEX-132NY	122	58	155	61	27	13	403
GTEX-14ABY	105	55	145	73	25	18	449
GTEX-13OVL	94	41	152	64	23	17	340
GTEX-UPJH	78	55	121	55	17	10	312
GTEX-11P82	156	92	190	91	29	22	547
GTEX-14JIY	103	48	153	50	23	10	398
GTEX-R55E	76	43	103	41	21	8	304
GTEX-YEC4	78	35	101	46	16	13	235
GTEX-ZYT6	89	56	121	65	26	13	356
GTEX-Y8E4	132	69	175	72	33	20	434
GTEX-12WSM	82	37	102	45	14	13	246
GTEX-1CAMR	58	44	79	31	14	8	231
GTEX-1AX8Z	100	43	108	35	19	16	289
GTEX-13PL7	100	40	124	51	15	19	310
GTEX-11EQ9	76	32	118	35	23	10	253
GTEX-ZQG8	154	91	214	94	46	24	530
GTEX-1C475	103	49	133	41	27	8	326
GTEX-ZF28	110	62	150	51	32	19	334
GTEX-14BMV	102	35	142	49	18	11	338
GTEX-1KANA	131	52	162	66	36	23	433
GTEX-Y5V5	110	55	186	61	37	12	422
GTEX-1C64N	170	75	209	86	33	21	520
GTEX-S33H	102	54	135	56	30	17	383
GTEX-1CB4G	86	46	110	50	16	15	316
GTEX-P78B	77	38	99	28	16	11	297
GTEX-13S7M	48	16	69	29	8	8	173
GTEX-1LB8K	133	76	192	70	16	16	478
GTEX-TMZS	37	17	38	18	9	8	131
GTEX-14753	76	33	115	38	12	11	250
GTEX-12ZZZ	83	50	132	54	26	14	339
GTEX-15UF6	57	32	104	37	12	13	243
GTEX-131XW	84	54	121	52	27	11	326
GTEX-P4PP	51	31	85	26	14	8	163
GTEX-1PPGY	148	68	182	82	28	19	549
GTEX-13CF2	83	29	108	31	18	8	286
GTEX-13RTK	96	46	119	48	25	10	319
GTEX-1A32A	98	45	133	36	20	7	293
GTEX-14PJ4	66	35	117	35	19	16	297
GTEX-11NUK	75	48	129	47	20	9	341
GTEX-131YS	127	49	174	57	22	17	424
GTEX-12696	71	32	103	34	10	6	245
GTEX-147F4	79	49	143	38	18	15	355
GTEX-WZTO	101	58	165	61	26	17	445
GTEX-12ZZY	88	44	141	49	19	13	309
GTEX-XQ3S	127	44	138	49	26	15	412
GTEX-1C6WA	132	53	187	56	25	18	430
GTEX-1JKYN	37	17	40	20	13	5	112
GTEX-145LU	133	59	141	61	24	12	400
GTEX-1KD5A	187	82	239	74	35	14	633
GTEX-1S83E	151	86	236	87	52	35	640
GTEX-ZDYS	63	32	83	32	17	8	211
GTEX-ZUA1	101	65	162	52	26	10	360
GTEX-1GF9W	46	23	65	20	12	3	174
GTEX-18A6Q	134	83	192	59	36	17	499
GTEX-13FTZ	90	51	129	48	21	10	300
GTEX-1L5NE	101	43	123	43	17	11	328
GTEX-169BO	123	74	156	48	28	19	438
GTEX-131XG	92	49	137	48	34	19	340
GTEX-13FTY	88	55	113	49	22	13	318
GTEX-1PPH7	121	59	183	58	18	12	394
GTEX-1GPI7	97	62	151	53	28	25	393
GTEX-OHPL	99	41	145	38	26	14	380
GTEX-1QPFJ	81	40	100	39	26	15	312
GTEX-W5WG	98	44	125	58	31	10	357
GTEX-1K2DA	164	86	250	77	58	30	681
GTEX-18D9A	124	62	219	66	37	20	498
GTEX-T5JC	148	70	184	68	30	27	515
GTEX-ZV6S	78	34	106	45	22	16	301
GTEX-WEY5	171	101	258	103	46	24	675
GTEX-1399T	112	50	152	54	16	7	372
GTEX-1QP9N	84	51	131	45	18	8	308
GTEX-11ZUS	91	64	121	54	21	17	346
GTEX-1B97J	122	64	190	93	33	19	498
GTEX-131XF	73	26	94	30	16	13	218
GTEX-P44G	35	16	42	8	8	5	111
GTEX-13G51	66	48	120	43	22	13	267
GTEX-RNOR	57	25	65	17	13	4	170
GTEX-WYJK	113	79	186	70	35	10	450
GTEX-1B97I	86	57	116	45	28	19	324
GTEX-XOT4	89	45	113	37	16	18	320
GTEX-1FIGZ	77	37	114	52	25	8	275
GTEX-OXRK	61	27	86	22	11	8	223
GTEX-1E1VI	71	39	112	43	23	7	256
GTEX-11ZVC	106	41	141	43	26	13	354
GTEX-1C6VR	106	47	141	63	19	14	382
GTEX-ZV68	114	53	150	50	24	6	406
GTEX-11UD2	82	37	126	32	20	7	293
GTEX-1CB4F	56	32	73	38	8	10	220
GTEX-1M4P7	132	63	175	56	17	16	446
GTEX-1A3MW	46	20	68	18	11	5	191
GTEX-OIZH	124	56	139	67	18	18	426
GTEX-YEC3	121	81	167	77	36	19	427
GTEX-Y3I4	64	52	111	41	20	11	292
GTEX-1269C	117	65	143	66	24	15	381
GTEX-1R9PM	94	45	126	48	31	18	335
GTEX-1192X	79	34	94	36	18	9	210
GTEX-13OVH	87	41	101	33	14	9	298
GTEX-1EU9M	127	56	175	51	29	14	468
GTEX-145MO	119	56	164	53	22	11	410
GTEX-WYVS	126	55	167	49	25	18	440
GTEX-13N1W	79	40	125	43	24	11	296
GTEX-117YW	99	52	131	53	17	14	316
GTEX-111VG	110	46	139	60	30	23	359
GTEX-Q2AG	26	11	27	11	3	5	66
GTEX-ZC5H	100	54	129	37	26	10	306
GTEX-1EWIQ	110	74	170	63	17	17	414
GTEX-Y5LM	124	68	144	57	25	19	403
GTEX-11EI6	81	50	116	56	21	16	277
GTEX-1JN6P	100	56	142	60	23	13	385
GTEX-1AMEY	100	56	159	56	28	12	406
GTEX-RTLS	42	23	50	15	8	3	148
GTEX-OXRP	20	14	30	14	8	5	84
GTEX-14E6D	140	66	182	73	34	20	473
GTEX-18A66	53	34	81	30	6	9	211
GTEX-XBEC	80	40	116	43	18	5	273
GTEX-15CHC	82	41	103	54	23	15	302
GTEX-1399U	84	33	100	48	24	9	309
GTEX-YB5K	79	41	104	51	20	9	308
GTEX-ZE7O	125	70	159	63	19	20	444
GTEX-1PDJ9	127	67	182	61	45	14	509
GTEX-13SLW	73	44	93	29	19	10	241
GTEX-16GPK	104	47	136	47	16	20	362
GTEX-13112	89	42	127	50	22	11	351
GTEX-11TT1	49	18	49	21	10	3	137
GTEX-1GZ4I	151	63	179	55	36	20	506
GTEX-13OW8	68	33	80	31	12	3	205
GTEX-1E2YA	89	41	116	51	17	6	276
GTEX-16XZY	55	31	88	24	11	9	213
GTEX-13X6H	80	46	128	39	17	14	307
GTEX-1F52S	127	61	153	52	24	23	386
GTEX-11GSP	101	55	119	38	24	9	333
GTEX-12WSJ	63	22	84	25	15	6	218
GTEX-N7MS	88	37	133	47	22	13	316
GTEX-1LVAM	123	66	207	72	30	9	502
GTEX-14PJ5	76	45	140	38	21	11	310
GTEX-X5EB	48	15	66	25	6	7	158
GTEX-1K2DU	80	54	146	54	26	13	392
GTEX-O5YV	54	25	79	32	9	9	176
GTEX-15ER7	277	151	359	137	42	29	857
GTEX-ZPCL	83	41	126	54	25	13	318
GTEX-WOFM	173	94	249	75	54	30	617
GTEX-1LG7Z	130	73	199	61	34	9	437
GTEX-WFON	98	52	131	57	32	9	377
GTEX-13VXU	140	68	171	65	21	12	485
GTEX-RN64	63	27	92	33	15	8	242
GTEX-R55C	49	26	57	23	11	4	178
GTEX-14PJ6	57	33	106	33	16	15	258
GTEX-OXRL	81	36	104	49	24	9	281
GTEX-14PJM	88	39	121	48	15	17	343
GTEX-117XS	131	52	181	65	22	17	419
GTEX-VUSG	55	31	75	29	14	12	192
GTEX-12WSL	61	25	83	38	19	9	234
GTEX-12KS4	65	30	94	36	14	10	238
GTEX-1GPI6	97	38	138	46	14	14	339
GTEX-Z93S	98	47	159	56	26	17	387
GTEX-111YS	67	46	107	47	26	10	268
GTEX-13111	65	44	95	38	19	8	250
GTEX-14H4A	79	36	113	41	16	15	331
GTEX-14PK6	73	43	133	41	20	10	334
GTEX-13QJ3	89	36	137	49	23	18	364
GTEX-ZA64	101	53	144	43	30	19	387
GTEX-1PIIG	134	69	168	44	28	19	409
GTEX-17JCI	148	83	212	82	23	25	573
GTEX-WRHU	126	54	177	62	35	12	432
GTEX-YECK	152	80	218	87	36	22	567
GTEX-WHSE	103	61	153	56	16	10	354
GTEX-1JMQK	60	31	90	28	11	6	250
GTEX-13D11	100	45	144	63	23	12	342
GTEX-ZGAY	149	71	190	59	39	28	531
GTEX-14C39	80	40	130	38	13	11	270
GTEX-1B8SF	121	59	154	58	15	17	385
GTEX-17EVP	78	39	129	29	16	13	298
GTEX-147GR	114	51	118	53	24	12	388
GTEX-13CF3	79	42	103	36	19	3	280
GTEX-11O72	77	31	101	42	13	11	260
GTEX-Q734	75	37	100	29	18	12	298
GTEX-1A8G7	79	39	100	33	14	9	258
GTEX-1B932	111	51	135	45	32	11	335
GTEX-1EX96	52	33	83	25	13	5	218
GTEX-14DAQ	147	70	183	52	32	21	473
GTEX-15RIE	98	47	148	61	18	18	348
GTEX-1GF9V	117	61	127	51	25	9	352
GTEX-12WSN	75	34	101	28	20	14	253
GTEX-1R7EV	95	42	139	41	14	14	322
GTEX-1477Z	60	30	93	29	20	10	200
GTEX-17F98	40	23	61	22	13	8	176
GTEX-111CU	83	45	128	46	28	11	281
GTEX-ZF29	96	49	148	63	28	12	362
GTEX-13PVQ	98	35	122	43	17	15	314
GTEX-17HHY	48	24	73	26	10	5	194
GTEX-Z9EW	58	41	93	36	19	16	246
GTEX-11GS4	102	44	137	60	25	12	330
