individual	chr15:40954263:40955373:cluster48070	chr15:40954263:40955401:cluster48070	chr15:40954263:40955500:cluster48070
GTEX-1GF9W	62	61	18
GTEX-1IDJD	28	0	0
GTEX-1IDJC	170	0	0
GTEX-132NY	19	0	0
GTEX-14ABY	1	0	0
GTEX-13OVL	6	0	0
GTEX-139TU	292	0	0
GTEX-ZYY3	32	0	0
GTEX-UPJH	99	0	0
GTEX-11P82	276	0	0
GTEX-QEG4	9	0	0
GTEX-14JIY	8	0	0
GTEX-R55E	1	0	0
GTEX-147F3	95	0	0
GTEX-YEC4	664	0	0
GTEX-YB5E	581	0	0
GTEX-SUCS	143	0	0
GTEX-ZYT6	6	0	0
GTEX-1QW4Y	177	0	0
GTEX-Y8E4	2	0	0
GTEX-1KD4Q	42	0	0
GTEX-12WSM	236	0	0
GTEX-15EO6	139	0	0
GTEX-YF7O	1065	0	0
GTEX-1QMI2	17	0	0
GTEX-13X6I	38	0	0
GTEX-14PJO	21	0	0
GTEX-WHPG	1	0	0
GTEX-1CAMR	194	0	0
GTEX-1AX8Z	1	0	0
GTEX-1KXAM	875	0	1
GTEX-14A6H	5	0	0
GTEX-13PL7	401	0	0
GTEX-11EQ9	222	0	0
GTEX-13OVJ	38	0	0
GTEX-13W46	11	0	0
GTEX-13OW5	330	0	0
GTEX-16MTA	188	0	0
GTEX-ZQG8	261	0	0
GTEX-1F88E	57	0	0
GTEX-U3ZG	1	0	0
GTEX-139T4	252	0	0
GTEX-1K9T9	4	0	0
GTEX-13NZA	79	0	0
GTEX-1GN1V	6	0	0
GTEX-14C38	792	0	0
GTEX-1C475	365	0	0
GTEX-XBED	760	0	0
GTEX-ZF28	275	0	0
GTEX-XPT6	378	0	0
GTEX-U4B1	320	0	0
GTEX-1F75W	10	0	0
GTEX-146FR	155	0	0
GTEX-1AX9I	218	0	0
GTEX-17F96	201	0	0
GTEX-ZVT2	810	0	0
GTEX-14JG6	507	0	0
GTEX-1KANA	362	0	0
GTEX-R55D	753	0	0
GTEX-1JN76	32	0	0
GTEX-X4XX	101	0	0
GTEX-1RQEC	6	0	0
GTEX-Y5V5	120	0	0
GTEX-1S5VW	97	0	0
GTEX-1C64N	9	0	0
GTEX-16YQH	38	0	0
GTEX-14PQA	86	0	0
GTEX-S33H	3	0	0
GTEX-13JVG	655	0	0
GTEX-ZPIC	569	0	0
GTEX-1CB4G	6	0	0
GTEX-SIU8	42	0	0
GTEX-P78B	21	0	0
GTEX-13S7M	320	0	0
GTEX-1122O	304	0	0
GTEX-ZAB5	2	0	0
GTEX-1LB8K	9	0	0
GTEX-15SHU	351	0	0
GTEX-17MFQ	2	0	0
GTEX-11TTK	60	0	0
GTEX-T5JW	535	0	0
GTEX-TMZS	3	0	0
GTEX-1LC47	783	0	0
GTEX-14753	128	0	0
GTEX-11DXX	480	0	1
GTEX-139T6	666	0	1
GTEX-1MJK3	61	0	0
GTEX-13PL6	23	0	0
GTEX-12ZZZ	15	0	0
GTEX-13FTX	239	0	0
GTEX-14DAR	239	0	0
GTEX-15UF6	48	0	0
GTEX-RWS6	169	0	0
GTEX-ZDXO	104	0	0
GTEX-1I6K7	137	0	0
GTEX-131XW	180	0	0
GTEX-11EMC	76	0	0
GTEX-1399R	207	0	0
GTEX-X4XY	58	0	0
GTEX-15UF7	739	0	0
GTEX-113JC	148	0	0
GTEX-P4PP	160	0	0
GTEX-1PPGY	40	0	0
GTEX-13RTK	276	0	0
GTEX-ZXG5	17	0	0
GTEX-1CB4H	342	0	0
