individual	chr9:136942943:136943349:cluster30181	chr9:136942973:136943349:cluster30181	chr9:136942997:136943349:cluster30181
GTEX-1GF9V	455	17	33
GTEX-1IDJD	411	4	1
GTEX-13OVL	352	4	1
GTEX-ZYY3	697	5	2
GTEX-QEG4	289	3	0
GTEX-147F3	251	2	0
GTEX-SUCS	512	6	1
GTEX-ZYT6	392	3	1
GTEX-1AX8Z	511	4	2
GTEX-13OVJ	516	6	2
GTEX-1C475	454	4	1
GTEX-1F75W	328	3	0
GTEX-1AX9I	309	2	1
GTEX-1B8KE	244	2	0
GTEX-R55D	740	8	1
GTEX-1JN76	247	2	0
GTEX-Y5V5	447	3	1
GTEX-1C64N	818	8	3
GTEX-ZPIC	263	3	1
GTEX-SIU8	346	2	1
GTEX-14753	287	4	1
GTEX-1MJK3	284	2	1
GTEX-ZDXO	185	2	0
GTEX-11NUK	301	3	0
GTEX-131YS	358	5	1
GTEX-14PJN	229	3	0
GTEX-12696	458	4	1
GTEX-11VI4	338	3	0
GTEX-WZTO	386	4	0
GTEX-1JKYN	217	2	0
GTEX-13X6J	406	3	1
GTEX-1LSNL	350	3	1
GTEX-ZDYS	231	2	1
GTEX-ZLV1	468	5	2
GTEX-1LGOU	336	3	0
GTEX-X8HC	413	4	1
GTEX-1JMQJ	485	5	2
GTEX-13FTY	348	4	0
GTEX-1212Z	516	7	1
GTEX-1RAZR	732	5	1
GTEX-1N2DW	568	6	1
GTEX-PLZ5	549	5	1
GTEX-WEY5	619	5	1
GTEX-11ZUS	302	3	0
GTEX-131XF	274	3	0
GTEX-13O3Q	341	4	1
GTEX-XGQ4	239	2	0
GTEX-13G51	241	2	1
GTEX-RNOR	375	4	0
GTEX-PLZ4	254	2	0
GTEX-1FIGZ	253	2	0
GTEX-QEG5	643	6	1
GTEX-1339X	484	4	2
GTEX-15G1A	746	7	3
GTEX-1CB4F	299	4	1
GTEX-1M4P7	354	5	1
GTEX-PWCY	435	3	1
GTEX-Y111	269	3	0
GTEX-OIZH	576	5	1
GTEX-YEC3	373	5	1
GTEX-1269C	256	2	0
GTEX-O5YT	514	6	2
GTEX-1LSNM	625	5	2
GTEX-15D79	389	3	1
GTEX-U3ZN	1030	10	2
GTEX-16MT8	977	10	1
GTEX-1F7RK	292	3	0
GTEX-YJ8O	170	2	0
GTEX-Y5LM	333	2	1
GTEX-11EI6	566	5	2
GTEX-XPVG	670	6	2
GTEX-1AMEY	335	3	0
GTEX-183WM	357	4	1
GTEX-18A66	438	3	1
GTEX-13O21	427	3	1
GTEX-1RB15	342	5	1
GTEX-1314G	633	5	1
GTEX-ZE7O	322	3	1
GTEX-QVUS	259	2	0
GTEX-1GZ4I	822	6	2
GTEX-1PBJJ	697	6	2
GTEX-1QP2A	276	3	0
GTEX-R55G	324	2	1
GTEX-144GM	381	4	0
GTEX-14PJ5	342	2	1
GTEX-1R9PO	810	9	2
GTEX-X5EB	177	2	0
GTEX-O5YV	533	6	1
GTEX-15ER7	891	8	2
GTEX-ZPCL	244	2	1
GTEX-WOFM	800	9	2
GTEX-1C4CL	747	7	2
GTEX-T6MN	131	2	0
GTEX-18465	383	4	0
GTEX-14PJ2	504	4	2
GTEX-144GL	316	3	0
GTEX-1MCQQ	322	3	0
GTEX-1EH9U	665	6	1
GTEX-139YR	722	7	1
GTEX-1BAJH	347	4	0
GTEX-WY7C	910	7	1
GTEX-12WSL	283	3	0
GTEX-12KS4	437	5	1
GTEX-14H4A	296	3	0
GTEX-139TS	650	8	2
GTEX-14JG1	359	4	0
GTEX-ZA64	360	5	1
GTEX-11XUK	269	3	0
GTEX-WHSE	368	4	0
GTEX-1F88F	484	5	2
GTEX-1LG7Y	868	11	1
GTEX-1GN2E	357	4	0
GTEX-ZZPU	324	2	1
GTEX-15DZA	960	7	2
GTEX-ZGAY	566	7	1
GTEX-13CF3	292	3	0
GTEX-ZVT4	400	3	1
GTEX-1R9K5	593	6	2
GTEX-1R9JW	763	8	1
GTEX-SE5C	383	4	0
GTEX-11O72	772	9	1
GTEX-WWTW	724	5	1
GTEX-13X6K	344	3	1
GTEX-ZEX8	673	5	2
GTEX-WFG8	263	3	0
GTEX-14BIM	565	4	2
GTEX-17F98	362	3	1
GTEX-1GTWX	413	4	1
GTEX-111CU	283	3	0
GTEX-1CB4J	607	8	1
GTEX-13PVQ	366	4	0
GTEX-17HHY	204	2	0
GTEX-Z9EW	225	3	0
GTEX-XV7Q	798	8	1
