individual	chr12:54580392:54580704:cluster26855	chr12:54580392:54580944:cluster26855	chr12:54580392:54581976:cluster26855	chr12:54580392:54582732:cluster26855	chr12:54580392:54583211:cluster26855	chr12:54580778:54580944:cluster26855	chr12:54580778:54581976:cluster26855	chr12:54581050:54581976:cluster26855	chr12:54581050:54582732:cluster26855	chr12:54581050:54583211:cluster26855	chr12:54582131:54582732:cluster26855	chr12:54582131:54583211:cluster26855	chr12:54582795:54583211:cluster26855
GTEX-ZA64	104	1272	658	42	12	32	82	1197	40	15	2316	39	2711
GTEX-1IDJD	63	4182	0	1	0	82	0	3314	150	78	3911	69	4572
GTEX-1IDJC	35	3932	0	1	0	34	0	3227	122	58	3624	46	4412
GTEX-14ABY	55	4411	0	0	1	59	0	4003	102	40	4881	39	5544
GTEX-UPJH	35	3242	0	0	0	39	0	2708	97	40	3433	20	3844
GTEX-11P82	40	2543	0	0	1	50	0	2345	87	55	2788	46	3196
GTEX-QEG4	16	2108	0	0	0	19	0	1852	44	35	2256	12	2559
GTEX-14JIY	22	2586	0	0	0	22	0	2314	96	44	2735	20	3208
GTEX-147F3	23	1760	0	0	0	28	0	1497	68	43	1622	16	1950
GTEX-YEC4	31	2618	0	0	0	45	0	2243	58	32	2879	54	3285
GTEX-ZYT6	41	3345	0	0	0	37	0	2771	99	50	3425	24	3974
GTEX-1QW4Y	27	4273	0	0	0	23	0	3215	112	88	4302	33	4680
GTEX-Y8E4	41	4457	0	1	0	41	0	3796	150	60	4802	62	5329
GTEX-1KD4Q	18	2486	1	0	0	26	0	2236	49	37	2817	23	3153
GTEX-15EO6	24	3215	0	0	0	30	0	2870	80	28	3467	17	3798
GTEX-1QMI2	27	4281	0	0	0	33	0	3383	70	38	4166	30	4502
GTEX-13X6I	39	1916	0	1	0	28	0	1764	68	40	1876	13	2207
GTEX-14PJO	38	3035	1	0	0	29	0	2915	88	33	3185	25	3655
GTEX-WHPG	39	2484	0	0	0	39	0	2301	46	30	2709	48	3060
GTEX-1AX8Z	12	1862	0	0	0	12	0	1712	57	20	1950	16	2158
GTEX-1KXAM	27	2763	2	1	0	39	0	2355	113	53	2751	34	3317
GTEX-14A6H	30	1972	0	1	0	41	0	1579	45	40	1938	36	2145
GTEX-11EQ9	22	2042	0	0	1	15	0	1652	60	22	2121	8	2589
GTEX-13W46	54	3503	0	0	0	67	0	3210	96	68	4150	33	4623
GTEX-13OW5	21	2765	0	0	2	22	0	2462	102	38	2987	29	3531
GTEX-ZQG8	29	2191	0	1	2	35	0	1625	61	37	2030	15	2430
GTEX-1GN1V	17	3808	0	0	0	24	0	2967	104	61	3513	27	4135
GTEX-14C38	8	1647	0	2	0	8	0	1329	52	27	1554	6	1851
GTEX-1C475	41	2993	0	0	0	46	0	2493	121	64	3151	23	3434
GTEX-ZF28	30	2465	0	0	0	26	0	1798	70	33	2227	20	2818
GTEX-XPT6	43	3535	0	0	0	63	0	2999	110	64	3502	46	4261
GTEX-U4B1	12	1772	0	0	0	23	0	1642	30	25	1784	24	1987
GTEX-146FR	28	2336	0	0	0	44	0	1841	84	38	2423	22	2958
GTEX-1AX9I	28	2662	2	0	0	13	0	2293	64	39	2711	23	3098
GTEX-14JG6	34	2391	0	1	0	36	0	2189	59	59	2527	35	2912
GTEX-1RQEC	41	4095	0	0	0	38	0	3474	94	34	4255	37	4729
GTEX-Y5V5	28	1723	0	0	0	32	0	1560	46	17	1823	25	2074
GTEX-16YQH	24	4488	0	0	0	34	0	3621	126	67	4252	21	4983
GTEX-14PQA	53	3591	0	2	1	46	0	3018	87	80	3432	30	3805
GTEX-S33H	49	4309	0	0	0	57	0	3362	91	67	3979	52	4652
GTEX-1CB4G	29	3796	0	0	0	35	0	3370	115	66	3981	21	4510
GTEX-P78B	43	2733	0	0	0	43	0	2512	72	35	2880	13	3359
GTEX-1122O	11	1035	0	0	0	19	0	901	42	12	1079	11	1289
GTEX-ZAB5	51	2900	1	0	0	42	0	2753	80	43	3300	28	4016
GTEX-1LB8K	52	5207	0	0	0	46	0	4459	83	54	5226	42	6092
GTEX-15SHU	18	2172	1	0	1	17	0	1636	61	31	2042	15	2371
GTEX-17MFQ	2	649	0	0	0	11	0	593	24	13	689	12	735
GTEX-11TTK	23	1946	0	0	0	24	0	1628	49	13	1966	8	2183
GTEX-1LC47	19	4806	0	0	0	22	0	4238	138	53	4618	36	5284
GTEX-14753	13	2297	0	0	0	23	0	2034	59	23	2246	14	2755
GTEX-139T6	52	2581	3	1	0	49	0	2254	93	62	2626	26	3026
GTEX-13PL6	21	3135	0	0	1	20	0	2701	121	78	3530	28	4021
GTEX-12ZZZ	14	2008	0	0	0	15	0	1540	69	27	2011	15	2220
GTEX-14DAR	43	2794	0	0	0	38	0	2798	83	54	3224	29	3691
GTEX-ZDXO	4	648	0	0	0	6	0	498	25	6	584	1	710
GTEX-1I6K7	31	3256	0	1	0	40	0	2669	68	40	2907	35	3571
GTEX-X4XY	23	2893	0	0	1	25	0	2178	108	59	2753	41	3237
GTEX-15UF7	26	2019	0	0	0	22	0	1810	81	30	2133	9	2449
GTEX-1PPGY	50	5586	0	0	0	45	0	4558	133	74	5710	38	6366
GTEX-13CF2	7	1811	0	0	0	9	0	1544	56	36	2027	11	2249
GTEX-PWN1	12	1115	0	0	0	17	0	1039	33	27	1158	23	1367
GTEX-1A32A	22	4932	0	0	0	29	0	4411	128	48	4923	38	6085
GTEX-14PJ4	20	1815	0	0	0	30	0	1728	60	30	1942	15	2288
GTEX-1OFPY	21	2105	0	0	0	25	0	1747	35	26	2036	21	2291
GTEX-1QP6S	31	3574	0	0	0	29	0	3159	92	60	3785	36	4311
