individual	chr16:5082673:5083682:cluster27632	chr16:5082673:5084750:cluster27632	chr16:5083757:5084750:cluster27632
GTEX-1O9I2	23	18	17
GTEX-1IDJC	20	0	22
GTEX-132NY	15	0	14
GTEX-139TU	19	0	16
GTEX-ZYY3	49	0	49
GTEX-UPJH	14	0	16
GTEX-R55E	14	0	15
GTEX-147F3	14	0	11
GTEX-SUCS	26	0	25
GTEX-12WSM	16	0	15
GTEX-15EO6	47	0	41
GTEX-1QMI2	22	0	19
GTEX-1AX8Z	23	0	21
GTEX-14A6H	27	0	30
GTEX-13PL7	16	0	15
GTEX-13OVJ	23	0	19
GTEX-ZQG8	32	0	34
GTEX-1F88E	27	0	27
GTEX-1K9T9	8	0	9
GTEX-13NZA	11	0	9
GTEX-1GN1V	20	0	16
GTEX-14C38	15	0	17
GTEX-1C475	25	0	23
GTEX-R55D	56	0	51
GTEX-1JN76	32	0	27
GTEX-1RQEC	32	0	31
GTEX-1S5VW	19	0	17
GTEX-16YQH	18	0	16
GTEX-S33H	24	0	24
GTEX-ZAB5	18	0	16
GTEX-1LC47	37	0	31
GTEX-14753	9	0	11
GTEX-11DXX	14	0	14
GTEX-15UF6	22	0	24
GTEX-ZDXO	14	0	16
GTEX-131XW	9	0	10
GTEX-1399R	16	0	14
GTEX-X4XY	27	0	28
GTEX-P4PP	31	0	33
GTEX-1PPGY	20	0	18
GTEX-ZXG5	21	0	23
GTEX-1A32A	10	0	9
GTEX-14PJ4	25	0	27
GTEX-1OFPY	15	0	17
GTEX-1QP6S	9	0	8
GTEX-147F4	10	0	9
GTEX-11VI4	25	0	24
GTEX-XUW1	9	0	11
GTEX-1313W	15	0	15
GTEX-12ZZY	9	0	9
GTEX-1GMR3	12	0	11
GTEX-1C6WA	16	0	14
GTEX-18A7B	29	0	28
GTEX-XBEW	31	0	32
GTEX-R53T	10	0	12
GTEX-183FY	22	0	23
GTEX-111FC	12	0	11
GTEX-13X6J	19	0	20
GTEX-1LNCM	10	0	8
GTEX-ZDYS	9	0	8
GTEX-ZUA1	11	0	11
GTEX-1GF9W	19	0	20
GTEX-18A6Q	27	0	23
GTEX-13FTZ	25	0	22
GTEX-17EUY	26	0	25
GTEX-1LGOU	20	0	17
GTEX-X8HC	26	0	22
GTEX-169BO	65	0	66
GTEX-11EM3	18	0	15
GTEX-1MCYP	28	0	28
GTEX-131XG	31	0	29
GTEX-1JMQJ	23	0	21
GTEX-15ETS	44	0	38
GTEX-1PPH7	16	0	14
GTEX-1212Z	25	0	21
GTEX-1F5PL	17	0	16
GTEX-1GPI7	22	0	21
GTEX-1S82P	17	0	18
GTEX-OHPL	14	0	15
GTEX-12C56	18	0	17
GTEX-1211K	23	0	20
GTEX-TSE9	17	0	18
GTEX-W5WG	28	0	27
GTEX-1ICG6	56	0	48
GTEX-1N2DW	18	0	17
GTEX-SN8G	35	0	31
GTEX-1K2DA	64	0	65
GTEX-U8T8	30	0	28
GTEX-ZV6S	28	0	23
GTEX-14BMU	20	0	22
GTEX-11ZUS	14	0	14
GTEX-P44G	12	0	10
GTEX-14LZ3	10	0	9
GTEX-13N2G	18	0	19
GTEX-146FQ	35	0	36
GTEX-13U4I	18	0	17
GTEX-ZDTS	14	0	13
GTEX-1B97I	44	0	40
GTEX-XOT4	19	0	21
GTEX-1FIGZ	20	0	16
GTEX-17HII	22	0	18
GTEX-1E1VI	15	0	12
GTEX-ZZ64	12	0	13
GTEX-1C6VR	17	0	14
GTEX-QV44	16	0	17
GTEX-1JMQI	25	0	22
GTEX-1R46S	27	0	22
GTEX-1P4AB	23	0	23
GTEX-11UD2	13	0	12
GTEX-1KWVE	9	0	8
GTEX-1CB4F	14	0	14
GTEX-1M4P7	23	0	22
GTEX-17EVQ	50	0	51
GTEX-ZF3C	28	0	31
GTEX-14BIL	18	0	15
GTEX-18A67	18	0	19
GTEX-1A3MW	17	0	16
GTEX-13FH7	30	0	26
GTEX-OIZH	12	0	13
GTEX-YEC3	29	0	28
GTEX-Y3I4	16	0	15
GTEX-11ZU8	17	0	19
GTEX-18D9U	37	0	31
GTEX-1LVA9	17	0	17
GTEX-1192X	10	0	11
GTEX-15D79	20	0	19
GTEX-13OVH	20	0	17
GTEX-11ZTS	6	0	4
GTEX-145MO	18	0	19
GTEX-16BQI	33	0	33
GTEX-117YW	13	0	11
GTEX-1F6IF	22	0	19
GTEX-Q2AG	2	0	2
GTEX-1F7RK	9	0	11
GTEX-1R9K4	35	0	29
GTEX-Y5LM	42	0	38
GTEX-11EI6	15	0	14
GTEX-V1D1	16	0	16
GTEX-15RIF	45	0	46
GTEX-1M5QR	19	0	20
GTEX-V955	48	0	42
GTEX-ZT9X	14	0	11
GTEX-P4PQ	41	0	42
GTEX-1GN73	20	0	19
GTEX-11LCK	17	0	16
GTEX-14E6D	17	0	15
GTEX-18A66	13	0	14
GTEX-XBEC	15	0	13
GTEX-13PVR	9	0	8
GTEX-ZTPG	11	0	10
GTEX-PLZ6	10	0	12
GTEX-1399U	18	0	17
GTEX-YB5K	14	0	11
GTEX-1PDJ9	31	0	31
GTEX-13SLW	17	0	17
GTEX-15CHR	18	0	18
GTEX-132Q8	10	0	11
GTEX-13112	14	0	13
GTEX-18A7A	19	0	19
GTEX-WOFL	35	0	34
GTEX-1RQED	26	0	29
GTEX-ZAK1	15	0	16
GTEX-13OW8	15	0	13
GTEX-1QP2A	10	0	8
GTEX-145MH	17	0	14
GTEX-1E2YA	20	0	20
GTEX-13X6H	27	0	25
GTEX-OIZG	24	0	25
GTEX-1F52S	11	0	12
GTEX-1F5PK	46	0	39
GTEX-N7MS	17	0	17
GTEX-1IDJE	52	0	50
GTEX-14PJ5	12	0	12
GTEX-133LE	18	0	16
GTEX-1R9PO	18	0	18
GTEX-X5EB	13	0	10
GTEX-16XZZ	37	0	33
GTEX-14PII	22	0	24
GTEX-13OW6	15	0	13
GTEX-17HHE	33	0	30
GTEX-1LG7Z	41	0	38
GTEX-1R7EU	20	0	19
GTEX-13VXU	8	0	8
GTEX-T6MN	3	0	4
GTEX-13PLJ	19	0	20
GTEX-18465	21	0	17
GTEX-RN64	14	0	15
GTEX-1GZHY	12	0	12
GTEX-144GL	16	0	18
GTEX-13RTJ	42	0	38
GTEX-1CB4E	20	0	20
GTEX-11NSD	22	0	19
GTEX-14PJM	16	0	14
GTEX-1B8KZ	18	0	17
GTEX-1EH9U	42	0	36
GTEX-139YR	45	0	43
GTEX-15SKB	20	0	18
GTEX-U8XE	6	0	7
GTEX-ZVZP	28	0	31
GTEX-WY7C	46	0	43
GTEX-12WSL	6	0	5
GTEX-12KS4	8	0	7
GTEX-1GMR8	14	0	13
GTEX-Z93S	16	0	18
GTEX-111YS	11	0	10
GTEX-14H4A	31	0	27
GTEX-139TS	21	0	21
GTEX-14PK6	6	0	7
GTEX-1CAMQ	26	0	25
GTEX-XMD2	22	0	19
GTEX-144FL	27	0	25
GTEX-1B8L1	7	0	6
GTEX-13QJ3	17	0	15
GTEX-1PIIG	19	0	20
GTEX-ZVE1	15	0	13
GTEX-11XUK	13	0	10
GTEX-1JJ6O	22	0	18
GTEX-WRHU	26	0	28
GTEX-12ZZX	14	0	16
GTEX-WHSE	10	0	11
GTEX-1JMQK	42	0	35
GTEX-ZZPU	43	0	38
GTEX-14E6E	21	0	18
GTEX-ZP4G	38	0	41
GTEX-15DZA	29	0	28
GTEX-ZGAY	36	0	33
GTEX-1B8SF	21	0	17
GTEX-17EVP	10	0	10
GTEX-ZVT4	11	0	10
GTEX-1R9K5	41	0	37
GTEX-12WSF	15	0	14
GTEX-1CB4I	24	0	22
GTEX-16NPV	14	0	15
GTEX-QESD	5	0	5
GTEX-1399S	21	0	23
GTEX-11O72	6	0	6
GTEX-1EX96	9	0	7
GTEX-TKQ2	22	0	22
GTEX-1S82U	29	0	27
GTEX-ZEX8	52	0	44
GTEX-WL46	29	0	27
GTEX-15RIE	18	0	17
GTEX-1GF9V	12	0	9
GTEX-PX3G	13	0	10
GTEX-13FHO	10	0	10
GTEX-146FH	15	0	14
GTEX-RUSQ	4	0	4
GTEX-1ICLY	17	0	16
GTEX-1GTWX	33	0	34
GTEX-VJWN	14	0	15
GTEX-111CU	23	0	19
GTEX-13NZB	13	0	14
GTEX-PSDG	15	0	14
GTEX-ZVE2	12	0	9
GTEX-13O3P	7	0	8
GTEX-11GS4	15	0	12
GTEX-1QP67	21	0	21
GTEX-1QP28	16	0	14
GTEX-XV7Q	17	0	17
GTEX-13OW7	15	0	12
