individual	chr1:26183830:26184071:cluster67558	chr1:26183830:26184214:cluster67558	chr1:26184141:26184214:cluster67558	chr1:26184141:26184401:cluster67558	chr1:26184287:26184401:cluster67558
GTEX-OHPN	108	5	57	58	47
GTEX-1IDJD	79	5	93	0	118
GTEX-14ABY	120	14	118	0	164
GTEX-11P82	102	8	106	1	156
GTEX-YEC4	48	6	52	0	67
GTEX-YB5E	122	7	117	0	160
GTEX-Y8E4	108	8	124	0	139
GTEX-1KD4Q	108	5	123	0	160
GTEX-12WSM	48	5	67	0	83
GTEX-YF7O	103	10	105	1	130
GTEX-13X6I	54	5	64	0	78
GTEX-WHPG	143	10	176	0	196
GTEX-1KXAM	141	12	175	0	204
GTEX-11EQ9	75	5	80	0	96
GTEX-1F88E	50	4	71	0	88
GTEX-1K9T9	60	5	77	0	87
GTEX-1AX9I	82	7	108	1	128
GTEX-17F96	90	7	92	1	134
GTEX-ZPIC	43	4	61	0	72
GTEX-13S7M	61	5	64	0	77
GTEX-1122O	48	5	52	0	82
GTEX-ZAB5	130	15	139	0	179
GTEX-15SHU	85	5	81	0	115
GTEX-11TTK	66	8	71	0	109
GTEX-TMZS	55	5	59	0	73
GTEX-139T6	79	5	92	0	115
GTEX-13FTX	76	9	96	0	125
GTEX-RWS6	76	7	97	0	106
GTEX-131XW	83	7	101	0	112
GTEX-11EMC	82	9	107	0	137
GTEX-1399R	66	5	76	0	95
GTEX-1PPGY	170	14	221	1	252
GTEX-13CF2	80	7	94	0	115
GTEX-1C6VQ	65	6	69	1	94
GTEX-14PJ4	74	5	71	0	96
GTEX-1B933	90	8	99	0	114
GTEX-11VI4	79	7	95	0	110
GTEX-12ZZY	84	9	90	0	124
GTEX-XQ3S	86	6	86	0	109
GTEX-1C6WA	104	7	105	0	144
GTEX-1JKYN	52	2	57	0	81
GTEX-XBEW	190	18	204	0	295
GTEX-R53T	47	6	53	0	83
GTEX-145LU	72	6	81	0	102
GTEX-111FC	85	10	88	0	120
GTEX-1S83E	103	7	123	0	156
GTEX-ZDYS	57	5	75	0	88
GTEX-ZUA1	112	10	118	0	161
GTEX-1GF9W	49	3	53	0	68
GTEX-18A6Q	100	6	115	0	148
GTEX-17EUY	68	6	64	0	84
GTEX-11EM3	49	3	64	0	78
GTEX-16NPX	90	9	107	0	150
GTEX-1S82P	132	9	140	1	187
GTEX-Y8DK	122	8	119	0	151
GTEX-OHPL	114	12	122	0	142
GTEX-12C56	80	4	94	0	109
GTEX-TSE9	54	5	76	0	91
GTEX-1N2DW	106	7	114	0	144
GTEX-PLZ5	81	8	84	0	111
GTEX-13O3O	85	10	104	0	120
GTEX-1LH75	58	6	61	0	74
GTEX-T5JC	94	10	99	0	129
GTEX-WEY5	128	8	156	0	206
GTEX-1399T	62	5	79	0	90
GTEX-1B97J	92	11	117	0	162
GTEX-13O3Q	67	8	64	0	87
GTEX-13QBU	70	6	73	0	94
GTEX-RNOR	116	10	119	0	173
GTEX-WYJK	88	6	96	1	123
GTEX-11GSO	59	7	66	0	100
GTEX-13FTW	75	8	94	0	113
GTEX-1E1VI	58	5	62	0	78
GTEX-1339X	82	7	76	0	101
GTEX-13RTL	94	8	107	0	130
GTEX-17HGU	58	3	73	0	92
GTEX-11OF3	67	3	70	0	91
GTEX-1P4AB	59	8	61	0	92
GTEX-Y111	105	6	119	1	150
GTEX-X261	147	9	159	0	230
GTEX-13FH7	62	8	77	0	101
GTEX-Y3I4	71	6	67	0	83
GTEX-1269C	72	6	72	0	88
GTEX-O5YT	73	5	89	0	102
GTEX-1LVA9	100	12	115	0	139
GTEX-1MUQO	61	5	61	0	69
GTEX-1EU9M	101	11	114	0	136
GTEX-WYVS	155	12	161	0	196
GTEX-13N1W	89	7	91	0	132
GTEX-16MT8	121	9	156	0	201
GTEX-111VG	72	5	86	0	118
GTEX-1F6IF	82	10	96	0	141
GTEX-1R9K4	69	7	69	0	95
GTEX-1QEPI	141	12	162	0	207
GTEX-1LVAO	23	3	25	0	32
GTEX-Y9LG	67	6	87	0	99
GTEX-17KNJ	76	5	78	0	115
GTEX-1A8FM	68	6	78	0	100
GTEX-1M5QR	123	8	123	1	169
GTEX-1JN6P	89	7	111	0	149
GTEX-11LCK	42	3	57	0	71
GTEX-RTLS	49	7	57	0	82
GTEX-18A66	120	8	128	0	145
GTEX-ZTPG	43	6	49	0	58
GTEX-ZE7O	54	6	78	0	93
GTEX-QDVN	61	8	68	0	78
GTEX-1PDJ9	120	10	153	0	185
GTEX-ZAK1	85	7	84	0	114
GTEX-1QP2A	84	8	93	0	111
GTEX-11GSP	71	8	82	1	100
GTEX-12WSJ	55	4	50	0	68
GTEX-144GM	91	6	114	0	127
GTEX-1LVAM	108	9	126	0	163
GTEX-133LE	92	10	96	0	126
GTEX-1R9PO	107	8	131	0	175
GTEX-16XZZ	93	9	99	0	146
GTEX-1K2DU	86	8	95	1	137
GTEX-14PII	56	5	78	0	88
GTEX-13OW6	63	4	74	0	95
GTEX-17HHE	74	7	92	0	96
GTEX-U3ZM	94	5	111	0	149
GTEX-1A8G6	101	12	102	0	152
GTEX-WFON	151	15	157	0	223
GTEX-13VXU	92	9	90	1	136
GTEX-14PJ2	57	3	66	0	73
GTEX-15SB6	114	9	135	0	170
GTEX-R55C	72	5	69	0	86
GTEX-14PJ6	118	8	131	0	166
GTEX-1CB4E	82	8	100	0	127
GTEX-OXRL	111	10	111	0	131
GTEX-11NSD	71	7	78	0	92
GTEX-14PJM	64	7	84	0	108
GTEX-1B8KZ	81	9	94	0	102
GTEX-15SKB	162	19	189	0	256
GTEX-ZVZP	69	5	84	0	121
GTEX-11ONC	84	6	99	0	114
GTEX-VUSG	69	7	76	0	92
GTEX-11ZTT	73	4	90	0	100
GTEX-1GPI6	68	6	81	0	96
GTEX-139TS	128	9	121	1	170
GTEX-14PK6	76	7	84	0	122
GTEX-1O9I2	57	4	60	0	87
GTEX-1CAMQ	79	8	104	0	125
GTEX-XMD2	28	3	28	0	39
GTEX-144FL	56	3	62	0	90
GTEX-13QJ3	108	8	117	0	145
GTEX-ZYFD	31	4	31	0	45
GTEX-1PIIG	107	9	128	1	176
GTEX-11XUK	47	3	64	0	72
GTEX-REY6	77	7	89	0	94
GTEX-WRHU	112	9	123	0	154
GTEX-13OVG	42	5	61	0	67
GTEX-YECK	95	9	114	0	143
GTEX-1F88F	91	13	104	0	136
GTEX-14XAO	41	3	46	0	61
GTEX-ZP4G	84	10	98	1	130
GTEX-15DZA	130	9	125	0	161
GTEX-ZGAY	136	11	164	0	201
GTEX-14C39	45	4	47	0	58
GTEX-1B8SF	109	9	126	0	142
GTEX-147GR	107	8	131	0	177
GTEX-11P81	64	6	59	0	94
GTEX-1CB4I	92	6	94	0	127
GTEX-1399S	90	11	100	0	138
GTEX-11O72	61	7	76	0	111
GTEX-P4QT	112	9	111	1	144
GTEX-13X6K	63	3	66	0	92
GTEX-14DAQ	146	12	185	0	217
GTEX-WFG7	25	1	33	0	44
GTEX-15RIE	75	7	79	0	102
GTEX-1GF9V	97	6	103	0	137
GTEX-12WSN	90	9	94	0	139
GTEX-1JKYR	48	6	52	0	75
GTEX-14BIM	104	10	118	1	165
GTEX-Y5V6	41	4	42	0	56
GTEX-111CU	43	2	50	0	66
GTEX-ZF29	108	7	111	0	161
GTEX-PSDG	77	4	93	0	109
GTEX-Z9EW	52	7	61	0	73
GTEX-11GS4	52	7	71	0	90
GTEX-ZVT3	75	4	84	0	105
GTEX-S95S	53	4	49	0	65
GTEX-13OW7	164	15	157	0	230
