individual	chr1:201415252:201417779:cluster67746	chr1:201415252:201421667:cluster67746	chr1:201415254:201416027:cluster67746	chr1:201415254:201417116:cluster67746	chr1:201415254:201417779:cluster67746	chr1:201415254:201417783:cluster67746	chr1:201415254:201421673:cluster67746	chr1:201417119:201417783:cluster67746	chr1:201417812:201421673:cluster67746	chr1:201417812:201427175:cluster67746	chr1:201421726:201421887:cluster67746	chr1:201421726:201422019:cluster67746	chr1:201421726:201427175:cluster67746	chr1:201421726:201428084:cluster67746	chr1:201421726:201428838:cluster67746	chr1:201421726:201429181:cluster67746	chr1:201422033:201427175:cluster67746	chr1:201427293:201428084:cluster67746	chr1:201427293:201428838:cluster67746	chr1:201427293:201429181:cluster67746
GTEX-11NSD	0	0	0	2793	292	11	4	2717	2537	0	5	21	1	1	0	0	1	0	0	0
GTEX-132NY	5	0	0	15814	81	31	3	15515	10342	1	7	21	11	2	4	0	0	4	7	0
GTEX-14ABY	0	0	0	10281	29	33	4	10193	7042	6	6	39	11	3	7	1	0	4	4	1
GTEX-ZYY3	1	0	0	1331	5	5	0	1319	884	0	0	0	1	0	0	0	1	0	0	0
GTEX-UPJH	0	0	0	6517	18	9	1	6407	4254	0	1	5	0	2	0	0	0	1	0	0
GTEX-QEG4	3	0	0	9461	77	13	4	9385	6374	4	10	16	6	0	11	1	0	5	5	0
GTEX-14JIY	3	0	0	19377	63	20	4	19318	13321	6	9	52	30	4	13	4	3	4	20	2
GTEX-147F3	1	0	0	5154	27	5	0	5122	3369	0	1	9	1	0	0	0	0	0	0	0
GTEX-YEC4	1	0	0	7888	35	14	1	7881	5412	1	6	18	5	0	1	0	0	0	2	0
GTEX-YB5E	0	0	0	447	0	0	1	446	293	0	0	0	0	0	0	0	0	0	0	0
GTEX-SUCS	1	1	0	9209	36	16	0	9148	7024	0	5	22	5	0	0	1	0	0	3	0
GTEX-ZYT6	4	0	0	18505	132	37	4	18296	12388	2	10	26	17	2	13	6	3	6	6	3
GTEX-1KD4Q	0	0	5	15280	37	22	4	15095	11170	4	14	39	17	0	14	2	2	6	6	6
GTEX-12WSM	2	0	0	15079	51	17	3	15004	9892	0	3	23	10	2	2	0	0	5	4	0
GTEX-15EO6	2	0	0	11922	59	26	1	11766	8006	4	5	22	6	5	8	3	5	3	1	1
