individual	chr2:219279898:219280578:cluster21630	chr2:219279975:219280578:cluster21630	chr2:219280687:219281434:cluster21630	chr2:219280687:219281718:cluster21630
GTEX-14E6E	132	37	2	182
GTEX-13OVL	176	0	1	205
GTEX-139TU	178	1	1	241
GTEX-QEG4	113	0	0	138
GTEX-R55E	160	1	1	211
GTEX-SUCS	203	1	0	268
GTEX-15EO6	211	1	2	253
GTEX-13X6I	107	1	0	133
GTEX-WHPG	209	1	1	243
GTEX-1KXAM	313	1	1	383
GTEX-13OVJ	171	1	2	207
GTEX-16MTA	157	1	0	209
GTEX-ZQG8	208	0	3	263
GTEX-1F88E	142	2	1	177
GTEX-139T4	182	1	1	247
GTEX-1F75W	176	0	1	223
GTEX-ZVT2	144	1	0	175
GTEX-1RQEC	248	3	3	310
GTEX-Y5V5	310	2	5	386
GTEX-16YQH	156	1	0	198
GTEX-ZPIC	111	1	0	146
GTEX-13S7M	104	1	0	144
GTEX-12ZZZ	141	0	1	195
GTEX-14DAR	135	1	0	179
GTEX-15UF6	139	0	2	193
GTEX-131XW	130	0	2	156
GTEX-15UF7	252	3	1	321
GTEX-113JC	123	1	1	161
GTEX-13CF2	132	0	1	185
GTEX-1C6VQ	130	1	0	152
GTEX-1OFPY	74	0	0	98
GTEX-1F75B	181	1	2	240
GTEX-14PJN	130	0	1	160
GTEX-11VI4	186	0	2	238
GTEX-WZTO	186	1	1	263
GTEX-1313W	219	1	2	258
GTEX-12ZZY	151	1	0	199
GTEX-1GMR3	156	1	1	218
GTEX-R53T	98	0	0	130
GTEX-183FY	237	0	3	288
GTEX-13X6J	177	1	1	205
GTEX-ZLV1	236	0	1	289
GTEX-1NUQO	184	0	1	226
GTEX-13FTZ	182	1	2	228
GTEX-1L5NE	123	0	1	142
GTEX-11EM3	122	1	1	172
GTEX-13FTY	180	1	0	231
GTEX-16NPX	155	0	2	196
GTEX-15ETS	253	2	1	354
GTEX-1RAZR	295	2	2	335
GTEX-1QPFJ	173	0	2	212
GTEX-ZYFG	197	0	2	262
GTEX-1ICG6	231	1	2	269
GTEX-TMMY	268	3	3	327
GTEX-1N2DW	248	1	0	315
GTEX-PLZ5	151	1	1	196
GTEX-13O3O	158	1	2	187
GTEX-SN8G	255	1	1	310
GTEX-1K2DA	343	2	5	403
GTEX-U8T8	167	0	1	210
GTEX-ZV6S	189	2	2	256
GTEX-WEY5	326	0	4	407
GTEX-14BMU	192	0	1	234
GTEX-14LZ3	310	1	1	407
GTEX-139UW	130	0	2	159
GTEX-146FQ	266	3	4	345
GTEX-13QBU	188	0	1	243
GTEX-XGQ4	110	1	1	130
GTEX-WYJK	287	3	2	364
GTEX-XOT4	186	1	1	244
GTEX-1IDFM	223	2	2	298
GTEX-WRHK	235	1	3	281
GTEX-1E1VI	130	1	0	177
GTEX-15G1A	273	0	2	325
GTEX-1C6VR	155	1	0	180
GTEX-1JMQI	274	1	1	328
GTEX-11OF3	200	1	1	263
GTEX-1P4AB	139	1	0	164
GTEX-11UD2	172	0	1	219
GTEX-1CB4F	112	1	0	130
GTEX-Y111	176	1	0	225
GTEX-1A3MW	145	0	2	183
GTEX-X261	171	0	2	196
GTEX-OIZH	179	1	1	197
GTEX-YEC3	220	0	3	263
GTEX-1269C	147	1	0	186
GTEX-1AMFI	146	0	2	184
GTEX-15D79	179	1	0	218
GTEX-1RAZA	242	2	1	281
GTEX-13OVH	204	0	2	254
GTEX-13N1W	175	1	1	214
GTEX-16MT8	304	3	1	374
GTEX-1F6IF	287	1	4	354
GTEX-1AX9J	170	1	1	206
GTEX-1F7RK	161	1	0	203
GTEX-OOBK	101	1	0	128
GTEX-ZC5H	233	2	2	329
GTEX-Y5LM	120	0	1	149
GTEX-15RIF	265	2	1	310
GTEX-1GN73	206	2	2	251
GTEX-OXRP	64	0	0	84
GTEX-1S82Y	287	2	3	364
GTEX-XBEC	140	0	2	171
GTEX-13O21	156	1	1	191
GTEX-ZTPG	139	1	0	162
GTEX-PLZ6	106	0	1	140
GTEX-1399U	104	0	1	135
GTEX-16GPK	144	0	2	186
GTEX-1GZ4I	306	2	0	398
GTEX-13OW8	163	1	1	213
GTEX-OIZG	213	1	3	273
GTEX-12WSJ	167	0	2	193
GTEX-144GM	137	0	1	184
GTEX-1K2DU	292	2	4	351
GTEX-15ER7	496	2	1	634
GTEX-WOFM	427	3	4	563
GTEX-1LG7Z	217	1	3	265
GTEX-WFON	247	1	2	298
GTEX-15SHV	240	3	2	310
GTEX-1128S	217	1	1	301
GTEX-RN64	165	1	1	197
GTEX-1QP66	489	3	3	600
GTEX-14PJ6	177	0	2	206
GTEX-1GF9U	171	1	2	197
GTEX-14PJM	158	1	0	185
GTEX-1B8KZ	183	1	0	240
GTEX-139YR	190	2	2	253
GTEX-15SKB	259	0	1	322
GTEX-U8XE	164	0	2	188
GTEX-14LLW	201	1	1	281
GTEX-Z93S	212	1	3	292
GTEX-X4EO	300	1	2	393
GTEX-13111	137	1	1	184
GTEX-139TS	232	1	0	307
GTEX-14PK6	81	0	1	98
GTEX-13QJ3	258	3	3	316
GTEX-1PIIG	218	1	2	253
GTEX-ZVE1	176	0	1	241
GTEX-17JCI	183	1	2	249
GTEX-WRHU	190	2	1	260
GTEX-1F88F	172	0	1	198
GTEX-12WSA	262	1	0	334
GTEX-OIZF	168	0	2	227
GTEX-15DZA	279	2	1	360
GTEX-14C39	173	0	1	239
GTEX-11P81	133	1	0	164
GTEX-11O72	200	1	2	240
GTEX-Q734	240	1	3	328
GTEX-1A8G7	211	1	1	272
GTEX-RM2N	59	0	1	80
GTEX-14DAQ	247	2	0	301
GTEX-ZEX8	268	0	1	348
GTEX-WL46	206	0	2	272
GTEX-1RAZQ	230	2	2	271
GTEX-WFG8	123	0	1	170
GTEX-12WSN	138	1	0	169
GTEX-14BIM	208	0	2	271
GTEX-1CB4J	151	1	2	206
GTEX-PSDG	143	0	2	175
GTEX-1QP67	207	1	1	286
GTEX-ZVT3	130	1	0	176
GTEX-OXRN	346	2	2	441
GTEX-S95S	81	1	1	100
GTEX-13OW7	257	1	3	339
