individual	chr3:49116943:49117059:cluster18840	chr3:49116943:49117209:cluster18840	chr3:49116943:49117437:cluster18840	chr3:49117358:49117437:cluster18840	chr3:49117361:49117437:cluster18840
GTEX-11P82	76	62	9	16	118
GTEX-14ABY	100	0	7	14	65
GTEX-13OVL	58	0	2	7	38
GTEX-14JIY	67	0	5	8	48
GTEX-1QW4Y	115	0	6	13	85
GTEX-YF7O	95	1	3	8	67
GTEX-WHPG	182	1	12	17	113
GTEX-1CAMR	155	0	6	20	117
GTEX-1AX8Z	79	0	6	6	56
GTEX-13W46	83	0	2	10	58
GTEX-U3ZG	41	1	2	7	34
GTEX-1C475	114	2	10	11	89
GTEX-1F75W	72	0	3	9	54
GTEX-146FR	79	1	4	7	52
GTEX-S33H	118	1	5	10	80
GTEX-1122O	89	1	4	9	74
GTEX-T5JW	92	0	7	13	65
GTEX-TMZS	34	0	1	4	28
GTEX-11DXX	126	2	10	10	92
GTEX-1MJK3	88	0	4	14	69
GTEX-13PL6	62	0	2	10	48
GTEX-13FTX	87	1	5	8	73
GTEX-14DAR	121	1	8	13	77
GTEX-ZDXO	49	0	4	3	38
GTEX-1399R	111	0	5	10	82
GTEX-X4XY	51	0	2	5	44
GTEX-15UF7	148	1	12	18	129
GTEX-P4PP	111	1	4	8	83
GTEX-1PPGY	128	0	8	14	80
GTEX-13CF2	64	1	6	11	47
GTEX-ZXG5	98	0	4	9	76
GTEX-PWN1	59	1	4	7	47
GTEX-1F75B	116	0	8	15	105
GTEX-13W3W	105	0	6	15	67
GTEX-QV31	46	0	3	3	29
GTEX-1GZ2Q	55	1	5	7	40
GTEX-1313W	98	1	8	8	80
GTEX-XQ3S	58	0	3	6	48
GTEX-1C6WA	117	1	5	8	76
GTEX-145LU	92	2	6	9	58
GTEX-111FC	61	0	5	6	37
GTEX-1NUQO	154	3	8	20	123
GTEX-1GF9W	81	1	7	10	59
GTEX-1I4MK	122	2	10	13	97
GTEX-11EM3	83	0	6	10	49
GTEX-131XG	108	0	6	14	81
GTEX-1JMQJ	75	0	3	9	60
GTEX-16NPX	114	0	4	14	73
GTEX-WK11	124	1	11	20	99
GTEX-1GPI7	113	0	7	11	67
GTEX-1RAZR	147	3	9	18	113
GTEX-1QPFJ	95	1	10	12	75
GTEX-1ICG6	109	1	5	10	67
GTEX-SN8G	113	0	5	12	76
GTEX-1K2DA	302	1	11	31	198
GTEX-1LH75	70	0	4	8	41
GTEX-ZV6S	140	0	10	14	116
GTEX-14BMU	120	2	11	12	95
GTEX-1QP9N	90	0	4	10	62
GTEX-11ZUS	64	0	6	7	53
GTEX-1F75A	94	1	6	9	63
GTEX-P44G	52	0	4	6	39
GTEX-139UW	71	0	5	10	58
GTEX-146FQ	84	1	6	11	60
GTEX-13G51	41	0	3	7	26
GTEX-R3RS	62	1	4	5	49
GTEX-PLZ4	80	0	6	7	48
GTEX-1IDFM	52	0	3	6	42
GTEX-WRHK	135	1	5	19	109
GTEX-11ZVC	117	1	6	13	70
GTEX-15G1A	151	0	10	23	112
GTEX-ZZ64	93	1	5	12	70
GTEX-1C6VR	70	0	5	9	58
GTEX-11OF3	97	1	9	9	78
GTEX-ZV68	73	1	5	8	43
GTEX-1P4AB	76	0	7	12	64
GTEX-11UD2	76	0	3	9	45
GTEX-1KWVE	74	1	4	7	66
GTEX-18A67	133	0	6	17	98
GTEX-1A3MW	89	1	6	10	62
GTEX-1AMFI	127	0	9	9	94
GTEX-11ZU8	104	1	7	9	62
GTEX-1R9PM	62	1	4	8	60
GTEX-1LVA9	93	2	7	9	70
GTEX-1LSNM	118	2	11	13	97
GTEX-15D79	63	0	5	9	50
GTEX-1RAZA	160	1	13	15	110
GTEX-13OVH	84	0	6	9	67
GTEX-1EU9M	104	2	5	12	84
GTEX-11ZTS	51	1	4	5	36
GTEX-16MT8	170	1	6	19	124
GTEX-ZWKS	52	0	3	8	31
GTEX-ZC5H	99	1	5	10	77
GTEX-1LVAO	28	0	1	3	26
GTEX-1EWIQ	67	0	5	4	51
GTEX-11EI6	70	0	6	8	61
GTEX-QDT8	123	1	10	16	87
GTEX-1A8FM	77	0	3	9	50
GTEX-15RIF	138	0	7	18	88
GTEX-1JN6P	98	1	6	12	64
GTEX-ZT9X	76	0	6	5	58
GTEX-1AMEY	73	0	5	10	64
GTEX-1GN73	93	2	6	14	62
GTEX-OXRP	35	0	4	3	28
GTEX-1QCLZ	102	0	7	15	78
GTEX-PLZ6	34	0	2	3	21
GTEX-1399U	83	0	3	12	62
GTEX-ZE7O	16	0	0	1	9
GTEX-QVUS	63	0	4	8	38
GTEX-13112	60	0	3	7	49
GTEX-1RQED	63	0	3	5	41
GTEX-13OW8	51	1	4	7	45
GTEX-16XZY	68	1	5	8	55
GTEX-11GSP	58	0	4	4	36
GTEX-12WSG	90	0	5	12	67
GTEX-N7MS	82	0	5	8	60
GTEX-1A3MV	126	1	9	13	87
GTEX-1K2DU	156	1	11	23	138
GTEX-15ER7	240	0	14	23	169
GTEX-13OW6	56	1	6	7	50
GTEX-17HHE	124	1	7	14	89
GTEX-1A8G6	97	2	8	12	70
GTEX-15SHV	110	0	6	13	86
GTEX-1QP66	194	0	10	17	132
GTEX-144GL	67	0	6	10	46
GTEX-14PJ6	106	0	6	10	83
GTEX-1GF9U	80	0	4	11	48
GTEX-117XS	70	1	5	10	53
GTEX-1445S	70	0	4	9	59
GTEX-1BAJH	94	0	6	9	60
GTEX-VUSG	85	0	3	12	66
GTEX-11ZTT	105	0	6	14	75
GTEX-1GPI6	47	1	2	7	35
GTEX-14H4A	102	1	8	15	77
GTEX-14PK6	73	1	2	9	44
GTEX-1CAMQ	54	0	2	6	40
GTEX-144FL	146	1	8	14	99
GTEX-1B8L1	64	1	4	9	50
GTEX-13QJ3	126	0	5	16	86
GTEX-ZYFD	29	0	2	4	18
GTEX-1PIIG	102	1	8	11	90
GTEX-11XUK	68	0	3	7	60
GTEX-13OVK	54	0	2	6	41
GTEX-Y8LW	73	0	3	8	53
GTEX-YECK	26	0	2	1	18
GTEX-WHSE	45	0	4	3	32
GTEX-ZZPU	136	3	9	18	100
GTEX-ZP4G	130	2	9	17	97
GTEX-ZVT4	46	1	3	4	38
GTEX-12584	75	0	2	10	50
GTEX-1CB4I	110	0	7	13	90
GTEX-1399S	76	0	5	12	53
GTEX-Q734	101	2	7	8	78
GTEX-TKQ2	121	1	9	11	75
GTEX-14DAQ	127	1	8	13	85
GTEX-ZEX8	200	4	15	21	154
GTEX-12WSN	74	1	3	12	65
GTEX-1R7EV	84	0	3	7	66
GTEX-U3ZH	122	2	6	15	84
GTEX-1GTWX	112	2	5	13	68
GTEX-PW2O	35	0	2	5	25
GTEX-1CB4J	135	1	12	12	90
GTEX-13NZB	96	0	6	11	59
GTEX-ZVE2	77	0	7	8	67
GTEX-13PVQ	50	0	1	5	39
GTEX-17HHY	71	0	6	9	47
GTEX-13O3P	46	0	3	3	34
GTEX-11GS4	53	0	3	3	39
